measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,5943.0,97616.0,97616.0
2003-02-01,,,,0.0,0.0,0.0,6317.0,109209.0,109209.0
2003-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0,8639.0,127449.0,127449.0
2003-05-01,,,,0.0,0.0,0.0,8795.0,126828.0,126828.0
2003-06-01,,,,0.0,0.0,0.0,10262.0,137729.0,137729.0
2003-07-01,,,,0.0,0.0,0.0,10905.0,152380.0,152380.0
2003-08-01,,,,0.0,0.0,0.0,10833.0,151906.0,151906.0
2003-09-01,,,,0.0,0.0,0.0,9253.0,165474.0,165474.0
2003-10-01,,,,0.0,0.0,0.0,8457.0,133137.0,133137.0
2003-11-01,,,,0.0,0.0,0.0,10155.0,166676.0,166676.0
2003-12-01,,,,0.0,0.0,0.0,8502.0,147087.0,147087.0
2004-01-01,,,,0.0,0.0,0.0,6329.0,123410.0,123410.0
2004-02-01,,,,0.0,0.0,0.0,5849.0,106999.0,106999.0
2004-03-01,,,,0.0,0.0,0.0,9776.0,159171.0,159171.0
2004-04-01,,,,0.0,0.0,0.0,8002.0,140297.0,140297.0
2004-05-01,,,,0.0,0.0,0.0,8139.0,101168.0,101168.0
2004-06-01,,,,0.0,0.0,0.0,10555.0,143144.0,143144.0
2004-07-01,,,,0.0,0.0,0.0,10906.0,137519.0,137519.0
2004-08-01,,,,0.0,0.0,0.0,9973.0,157953.0,157953.0
2004-09-01,,,,0.0,0.0,0.0,11607.0,149954.0,149954.0
2004-10-01,,,,0.0,0.0,0.0,6954.0,99685.0,99685.0
2004-11-01,,,,0.0,0.0,0.0,7073.0,104985.0,104985.0
2004-12-01,,,,0.0,0.0,0.0,12032.0,193721.0,193721.0
2005-01-01,,,,,,,11673.0,192844.56,192844.56
2005-02-01,,,,,,,9143.0,167252.77,167252.77
2005-03-01,,,,,,,10928.0,183114.92,183114.92
2005-04-01,,,,,,,4439.0,72555.83,72555.83
2005-05-01,,,,,,,11148.0,170465.47,170465.47
2005-06-01,,,,,,,10416.0,154694.85,154694.85
2005-07-01,,,,,,,12085.0,169559.33,169559.33
2005-08-01,,,,,,,12530.0,183142.38,183142.38
