measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2013-11-01,422.523,6461.0,6461.0,12149.477,185769.0,185769.0
2013-12-01,770.533,12785.0,12785.0,3101.467,51462.0,51462.0
2014-01-01,600.281,8071.0,8071.0,12610.719,169560.0,169560.0
2014-02-01,422.947,7009.0,7009.0,4407.053,73035.0,73035.0
2014-03-01,311.262,4283.0,4283.0,16161.738,222408.0,222408.0
2014-04-01,177.374,2213.0,2213.0,17199.626,214542.0,214542.0
2014-05-01,0.0,0.0,0.0,12082.0,154584.0,154584.0
2014-06-01,0.0,0.0,0.0,21683.0,274095.0,274095.0
2014-07-01,0.0,0.0,0.0,30070.0,393102.0,393102.0
2014-08-01,0.0,0.0,0.0,24136.0,297630.0,297630.0
2014-09-01,0.0,0.0,0.0,24411.0,304929.0,304929.0
2014-10-01,0.0,0.0,0.0,43654.0,542619.0,542619.0
2014-11-01,0.0,0.0,0.0,44031.0,537759.0,537759.0
2014-12-01,0.0,0.0,0.0,33377.0,413442.0,413442.0
2015-01-01,0.0,0.0,0.0,21038.0,322173.0,322173.0
2015-02-01,0.0,0.0,0.0,27680.0,455571.0,455571.0
2015-03-01,0.0,0.0,0.0,23187.0,362988.0,362988.0
2015-04-01,0.0,0.0,0.0,42601.0,544365.0,544365.0
2015-05-01,0.0,0.0,0.0,46010.0,645687.0,645687.0
2015-06-01,0.0,0.0,0.0,26348.0,393849.0,393849.0
2015-07-01,0.0,0.0,0.0,45909.0,646470.0,646470.0
