measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,8422.4063,188995.4,188995.4,6891.059700000001,154632.6,154632.6
2003-02-01,7188.733200000001,161312.25,161312.25,5881.6908,131982.75,131982.75
2003-03-01,6570.8907,147448.4,147448.4,5376.183300000001,120639.6,120639.6
2003-04-01,5707.85215,128081.8,128081.8,4670.06085,104794.2,104794.2
2003-05-01,6027.03145,135244.45,135244.45,4931.20755,110654.55,110654.55
2003-06-01,7129.51745,159983.45,159983.45,5833.24155,130895.55,130895.55
2003-07-01,8802.3727,197522.05,197522.05,7201.9413,161608.95,161608.95
2003-08-01,9346.71925,209736.45,209736.45,7647.31575,171602.55,171602.55
2003-09-01,6927.2302,155444.3,155444.3,5667.7338,127181.7,127181.7
2003-10-01,6372.219700000001,142990.1,142990.1,5213.634300000001,116991.9,116991.9
2003-11-01,6535.74185,146659.7,146659.7,5347.42515,119994.3,119994.3
2003-12-01,8600.23505,192985.65,192985.65,7036.55595,157897.35,157897.35
2004-01-01,7700.8998,150767.65,150767.65,6300.7362,123355.35,123355.35
2004-02-01,7298.852000000001,142896.05,142896.05,5971.7880000000005,116914.95,116914.95
2004-03-01,7927.4844,155203.4,155203.4,6486.1236,126984.6,126984.6
2004-04-01,8101.4483,158609.55,158609.55,6628.4577,129771.45,129771.45
2004-05-01,9074.406,177657.7,177657.7,7424.514,145356.3,145356.3
2004-06-01,8960.59725,175429.65,175429.65,7331.39775,143533.35,143533.35
2004-07-01,9610.333700000001,188150.05,188150.05,7863.000300000001,153940.95,153940.95
2004-08-01,8668.38225,169708.55,169708.55,7092.31275,138852.45,138852.45
2004-09-01,8458.21295,165594.0,165594.0,6920.35605,135486.0,135486.0
2004-10-01,7402.69915,144929.4,144929.4,6056.75385,118578.6,118578.6
2004-11-01,7414.33605,145157.1,145157.1,6066.27495,118764.9,118764.9
2004-12-01,8738.7476,171086.3,171086.3,7149.8844,139979.7,139979.7
2005-01-01,9090.4184,176221.25,176221.25,7142.471600000001,138459.56,138459.56
2005-02-01,7752.88976,150292.74,150292.74,6091.55624,118087.16,118087.16
2005-03-01,8661.17616,167900.23,167900.23,6805.20984,131921.61,131921.61
2005-04-01,7996.86888,155022.37,155022.37,6283.25412,121803.29,121803.29
2005-05-01,8761.85184,169851.86,169851.86,6884.31216,133455.03,133455.03
2005-06-01,8495.7796,164693.96,164693.96,6675.2554,129402.39,129402.39
2005-07-01,9127.5044,176940.18,176940.18,7171.6106,139024.42,139024.42
2005-08-01,8792.29008,170441.91,170441.91,6908.22792,133918.65,133918.65
2005-09-01,8370.857600000001,162272.29,162272.29,6577.102400000001,127499.66,127499.66
2005-10-01,7223.9748,140039.52,140039.52,5675.9802,110031.06,110031.06
2005-11-01,8043.86856,155933.48,155933.48,6320.18244,122519.16,122519.16
2005-12-01,9001.08048,174489.4,174489.4,7072.27752,137098.82,137098.82
