measured_on,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2002-01-01,3906.918,77502.0,333246.0
2002-02-01,3415.2180000000003,67748.0,291306.0
2002-03-01,3807.1820000000002,75524.0,324739.0
2002-04-01,3462.3590000000004,68683.0,295327.0
2002-05-01,3314.554,65751.0,282720.0
2002-06-01,3674.9880000000003,72901.0,313464.0
2002-07-01,4284.011,84982.0,365411.0
2002-08-01,4465.095,88575.0,380857.0
2002-09-01,4019.246,79730.0,342828.0
2002-10-01,3972.1090000000004,78795.0,338807.0
2002-11-01,3925.856,77878.0,334862.0
2002-12-01,4274.508,84794.0,364601.0
2004-01-01,4411.37,24873.92,360878.13
2004-02-01,3678.869,20743.64,300954.88
2004-03-01,3339.5370000000003,18830.29,273195.5
2004-04-01,3090.559,17426.41,252827.38
2004-05-01,3269.183,18433.59,267439.91
2004-06-01,3666.6670000000004,20674.84,299956.81
2004-07-01,3970.73,22389.33,324830.96
2004-08-01,3969.927,22384.8,324765.3
2004-09-01,3964.5190000000002,22354.31,324322.99
2004-10-01,4103.124,23135.84,335661.74
2004-11-01,3725.949,21009.11,304806.38
2004-12-01,4036.7830000000004,22761.77,330234.63
2006-01-01,3895.0840000000003,21962.79,250446.58
2006-02-01,3662.25,20649.94,235475.63
2006-03-01,3576.25,20165.02,229946.03
2006-04-01,3579.657,20184.23,230165.14
2006-05-01,3764.7160000000003,21227.7,242064.12
2006-06-01,3851.2090000000003,21715.4,247625.52
2006-07-01,4044.28,22804.05,260039.53
2006-08-01,4042.51,22794.07,259925.7
2006-09-01,3650.8120000000004,20585.44,234740.18
2006-10-01,3574.357,20154.34,229824.39
2006-11-01,3623.771,20432.96,233001.64
2006-12-01,3862.414,21778.58,248345.9
2007-01-01,5064.645,28551.0,363314.0
2007-02-01,4386.052000000001,24738.0,314638.0
2007-03-01,4678.979,26375.0,335656.0
2007-04-01,3774.52,21278.0,270779.0
2007-05-01,4068.259,22934.0,291834.0
2007-06-01,4498.232,25370.0,322691.0
2007-07-01,4991.668000000001,28142.0,358087.0
2007-08-01,5001.247,28198.0,358775.0
2007-09-01,4255.054,23994.0,305245.0
2007-10-01,3681.356,20758.0,264083.0
2007-11-01,3814.3120000000004,21502.0,273625.0
2007-12-01,4866.015,27435.0,349066.0
2008-01-01,4216.173,23773.0,351252.0
2008-02-01,4239.946,23907.0,353214.0
2008-03-01,3490.8,19683.0,290808.0
2008-04-01,3083.656,17387.0,256896.0
2008-05-01,3156.8230000000003,17800.0,262980.0
2008-06-01,3505.837,19768.0,292068.0
2008-07-01,3926.57,22140.0,327114.0
2008-08-01,3775.9700000000003,21291.0,314568.0
2008-09-01,3359.6890000000003,18944.0,279882.0
2008-10-01,2978.255,16793.0,248112.0
2008-11-01,3140.935,17710.0,261666.0
2008-12-01,3717.076,20959.0,309654.0
2009-01-01,4270.694,24081.0,339804.0
2009-02-01,3881.415,21886.0,308808.0
2009-03-01,3823.597,21560.0,304200.0
2009-04-01,3296.742,18589.0,262296.0
2009-05-01,3055.665,17230.0,243108.0
2009-06-01,3200.065,18044.0,254592.0
2009-07-01,3740.134,21089.0,297558.0
2009-08-01,3592.2580000000003,20255.0,285804.0
2009-09-01,3409.068,19222.0,271224.0
2009-10-01,3366.9410000000003,18985.0,267876.0
2009-11-01,3350.996,18895.0,266598.0
2009-12-01,4094.9750000000004,23090.0,325800.0
2010-01-01,3821.465,21548.0,292374.0
2010-02-01,3514.233,19815.0,268884.0
2010-03-01,3079.319,17363.0,235620.0
2010-04-01,2974.66,16773.0,227610.0
2010-05-01,3504.237,19759.0,268128.0
2010-06-01,3598.52,20291.0,275346.0
2010-07-01,3880.67,21882.0,296928.0
2010-08-01,3683.3030000000003,20769.0,281826.0
2010-09-01,2481.464,13992.0,189864.0
2010-10-01,1930.38,10885.0,147708.0
2010-11-01,2717.049,15320.0,207900.0
2010-12-01,3963.9,22351.0,303300.0
2011-01-01,3112.794,17552.0,336619.0
2011-02-01,2458.883,13865.0,265914.0
2011-03-01,2941.769,16587.0,318124.0
2011-04-01,2088.592,11777.0,225859.0
2011-05-01,2589.901,14603.0,280070.0
2011-06-01,2522.428,14223.0,272777.0
2011-07-01,3006.318,16951.0,325118.0
2011-08-01,2970.181,16748.0,321210.0
2011-09-01,2176.803,12274.0,235414.0
2011-10-01,2096.468,11821.0,226719.0
2011-11-01,2163.177,12197.0,233937.0
2011-12-01,2270.546,12803.0,245550.0
2012-01-01,3129.229,17644.0,242950.0
2012-02-01,2809.615,15842.0,218136.0
2012-03-01,2252.908,12703.0,174901.0
2012-04-01,2067.791,11659.0,160540.0
2012-05-01,1776.498,10017.0,137913.0
2012-06-01,2414.066,13612.0,187411.0
2012-07-01,3306.426,18644.0,256695.0
2012-08-01,3253.705,18346.0,252600.0
2012-09-01,2799.581,15786.0,217350.0
2012-10-01,2856.001,16104.0,221726.0
2012-11-01,2908.575,16400.0,225803.0
2012-12-01,3688.845,20800.0,286391.0
2013-01-01,3674.666,20720.0,355992.0
2013-02-01,3107.004,17519.0,301033.0
2013-03-01,3042.693,17157.0,294787.0
2013-04-01,2431.308,13709.0,235564.0
2013-05-01,2393.884,13498.0,231936.0
2013-06-01,2681.055,15117.0,259762.0
2013-07-01,3482.81,19638.0,337442.0
2013-08-01,3577.043,20169.0,346567.0
2013-09-01,2807.583,15831.0,272010.0
