measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2004-01-01,20044.17993,97364.57,1067316.9,3187.32007,15482.4,169719.12
2004-02-01,19343.90952,93963.01,1071047.56,3277.46048,15920.26,181468.8
2004-03-01,4146.33071,20140.79,1055080.5,796.7892899999999,3870.4,202752.0
2004-04-01,19803.4513,96195.23,1064850.05,3718.0787,18060.56,199924.56
2004-05-01,20180.88904,98028.64,1061547.87,4238.86096,20590.26,222971.04
2004-06-01,18389.95662,89329.18,962819.28,4061.66338,19729.52,212651.28
2004-07-01,19270.10852,93604.52,1042343.52,5084.65148,24698.69,275034.96
2004-08-01,19941.20817,96864.39,1088232.08,4514.43183,21928.85,246361.68
2004-09-01,20121.07967,97738.11,1074482.61,4215.25033,20475.57,225097.92
2004-10-01,20812.2142,101095.3,1174274.16,4161.4058,20214.02,234796.32
2004-11-01,19874.19034,96538.85,1077906.33,3810.29966,18508.52,206657.28
2004-12-01,20654.10151,100327.26,1125125.65,3697.74849,17961.81,201433.68
2005-01-01,21238.06839,103163.88,1174713.97,3576.47161,17372.7,197820.78
2005-02-01,18108.22305,87960.66,996734.09,4040.75695,19627.97,222416.09
2005-03-01,18982.74059,92208.63,943009.29,5675.62941,27569.36,281949.34
2005-04-01,17650.75845,85738.53,991764.34,5986.20155,29077.96,336353.89
2005-05-01,16605.50192,80661.2,843802.78,6902.44808,33528.63,350745.49
2005-06-01,11615.25731,56421.09,692493.72,10994.47269,53405.63,655482.96
2005-07-01,11587.00086,56283.84,700787.28,8803.36914,42762.35,532431.92
2005-08-01,13399.33536,65087.25,813939.99,10392.82464,50483.13,631310.09
2005-09-01,12648.34572,61439.32,783872.23,7135.77428,34662.01,442234.54
2005-10-01,15558.1714,75573.79,1028208.83,6756.6786,32820.56,446535.55
2005-11-01,11284.93419,54816.55,826119.74,5552.32581,26970.41,406461.03
2005-12-01,16882.97451,82009.02,856457.36,4909.04549,23845.68,249031.24
2006-01-01,16385.65847,79593.31,894331.49,6447.17153,31317.13,351887.51
2006-02-01,14045.59291,68226.44,930460.8,4671.52709,22691.94,309468.8
2006-03-01,18130.33433,88068.07,1049436.1,5497.89567,26706.02,318234.08
2006-04-01,18210.09225,88455.49,1103917.95,4193.02775,20367.63,254186.44
2006-05-01,17657.0868,85769.27,1002476.34,5600.6032000000005,27204.92,317972.74
2006-06-01,12146.31413,59000.7,805886.42,7318.67587,35550.46,485581.18
2006-07-01,14225.16873,69098.73,1001457.67,9594.15127,46603.57,675432.16
2006-08-01,13479.28774,65475.62,877119.16,9701.77226,47126.34,631310.09
2006-09-01,15966.57569,77557.62,887014.37,4500.42431,21860.8,250018.61
2006-10-01,13380.45398,64995.53,865683.07,7063.26602,34309.8,456976.26
2006-11-01,13519.11256,65669.07,905197.99,4067.95744,19760.1,272377.86
2006-12-01,13198.32111,64110.82,832671.57,4086.10889,19848.27,257789.36
2007-01-01,17434.61,84689.0,1024252.0,3972.32,19295.0,233367.0
2007-02-01,17306.1,84064.0,1025467.0,3480.03,16904.0,206208.0
2007-03-01,14066.464,68328.0,829399.0,5025.076,24409.0,296293.0
2007-04-01,15428.257000000001,74943.0,869533.0,5915.6230000000005,28735.0,333403.0
2007-05-01,12877.793,62554.0,735439.0,6273.887000000001,30475.0,358296.0
2007-06-01,15658.017,76058.0,813688.0,6872.173000000001,33381.0,357121.0
2007-07-01,18079.277000000002,87820.0,926126.0,6073.723,29503.0,311131.0
2007-08-01,15873.001,77103.0,815926.0,6774.559,32907.0,348235.0
2007-09-01,17433.365,84682.0,948909.0,3966.775,19268.0,215914.0
2007-10-01,21187.667,102919.0,788494.0,1678.143,8152.0,62452.0
2007-11-01,19090.22,92731.0,867331.0,1777.39,8634.0,80753.0
2007-12-01,19545.735,94943.0,860020.0,1377.165,6690.0,60596.0
2008-01-01,16956.691,80367.0,785000.0,4.309,20.0,200.0
2008-02-01,17011.001,80623.0,675000.0,2.999,14.0,119.0
2008-03-01,19782.521,93682.0,816000.0,3.479,16.0,144.0
2008-04-01,13691.064,64980.0,802000.0,1.9360000000000002,9.0,113.0
2008-05-01,16983.064,80491.0,752000.0,3.9360000000000004,19.0,174.0
2008-06-01,15721.289,74546.0,694000.0,3.7110000000000003,18.0,164.0
2008-07-01,16514.241,78282.0,750000.0,2.7590000000000003,13.0,125.0
2008-08-01,18537.834000000003,87817.0,794000.0,3.1660000000000004,15.0,136.0
2008-09-01,13743.654,65228.0,696000.0,2.346,11.0,119.0
2008-10-01,21099.54,99887.0,851000.0,4.46,21.0,180.0
2008-11-01,18425.472999999998,87288.0,718000.0,4.527,21.0,176.0
2008-12-01,15691.885,74408.0,646000.0,4.115,20.0,169.0
2009-01-01,16517.208,78278.0,785000.0,662.792,3141.0,31500.0
2009-02-01,15859.756000000001,75183.0,749000.0,563.244,2670.0,26600.0
2009-03-01,9932.488000000001,47255.0,721000.0,337.512,1606.0,24500.0
2009-04-01,19839.042,93928.0,832000.0,867.9580000000001,4109.0,36400.0
2009-05-01,19278.0,91280.0,756000.0,1071.0,5071.0,42000.0
2009-06-01,15610.811000000002,75366.0,748000.0,628.1890000000001,3033.0,30100.0
2009-07-01,17118.044,81108.0,719000.0,749.956,3553.0,31500.0
2009-08-01,8831.507,42068.0,681000.0,290.493,1384.0,22400.0
2009-09-01,21551.108,102000.0,902000.0,735.892,3483.0,30800.0
2009-10-01,20863.135,98753.0,910000.0,946.865,4482.0,41300.0
2009-11-01,19593.616,92773.0,817000.0,839.384,3974.0,35000.0
2009-12-01,20161.35,95447.0,825000.0,906.65,4292.0,37100.0
2010-01-01,19665.014000000003,93103.0,812689.0,1125.986,5331.0,46533.0
2010-02-01,13256.665,62905.0,595335.0,869.335,4125.0,39040.0
2010-03-01,20001.82,94692.0,859372.0,1055.18,4995.0,45336.0
2010-04-01,21580.471,102128.0,881117.0,1215.529,5752.0,49629.0
2010-05-01,20985.416,99318.0,847674.0,1531.584,7249.0,61866.0
2010-06-01,19978.224000000002,94568.0,836448.0,1646.776,7795.0,68947.0
2010-07-01,20921.945,99022.0,845718.0,1330.055,6295.0,53764.0
2010-08-01,20715.294,98051.0,847803.0,1196.7060000000001,5664.0,48977.0
2010-09-01,20081.344,95063.0,837563.0,1225.656,5802.0,51120.0
2010-10-01,19853.803,93979.0,855908.0,1769.1970000000001,8375.0,76271.0
2010-11-01,18724.29,88670.0,840182.0,1066.71,5051.0,47865.0
2010-12-01,20134.433,95315.0,853182.0,1129.567,5347.0,47865.0
2011-01-01,12701.749,60303.0,795052.0,442.251,2100.0,27682.0
2011-02-01,92.421,449.0,760280.0,4.579,22.0,37666.0
2011-03-01,12351.056,58647.0,897342.0,543.944,2583.0,39519.0
2011-04-01,21396.167,101265.0,897692.0,948.833,4491.0,39809.0
2011-05-01,22912.693,108408.0,982520.0,1157.307,5476.0,49627.0
2011-06-01,20860.34,98737.0,886292.0,1068.66,5058.0,45404.0
2011-07-01,19763.197,93570.0,858385.0,923.803,4374.0,40124.0
2011-08-01,19872.297,94085.0,862182.0,886.703,4198.0,38471.0
2011-09-01,15601.209,73956.0,699700.0,846.791,4014.0,37978.0
2011-10-01,16479.618,78097.0,728301.0,840.382,3983.0,37140.0
2011-11-01,15179.103,71969.0,694452.0,775.897,3679.0,35498.0
2011-12-01,17879.888,84650.0,723921.0,878.112,4157.0,35553.0
2012-01-01,14081.3,66781.0,758240.0,1237.7,5870.0,66647.0
2012-02-01,14226.747,67466.0,752715.0,1253.253,5943.0,66308.0
2012-03-01,16266.846,77077.0,884350.0,1510.154,7156.0,82100.0
2012-04-01,14532.188,68902.0,779476.0,1390.812,6594.0,74600.0
2012-05-01,20489.357,96979.0,848070.0,1565.643,7410.0,64803.0
2012-06-01,17674.665,83708.0,774445.0,1739.335,8238.0,76212.0
2012-07-01,18325.055,86773.0,763227.0,1767.945,8372.0,73634.0
2012-08-01,15199.32,72045.0,708225.0,1468.68,6962.0,68434.0
2012-09-01,13489.385,63988.0,638079.0,1314.615,6236.0,62184.0
2012-10-01,17399.985,82410.0,760017.0,1896.015,8980.0,82816.0
2012-11-01,15398.717,72977.0,702950.0,1785.283,8461.0,81498.0
2012-12-01,16537.462,78344.0,781084.0,1885.538,8932.0,89056.0
2013-01-01,11935.076,56638.0,721526.0,2027.924,9624.0,122597.0
2013-02-01,13745.446,65180.0,688479.0,1878.554,8908.0,94093.0
2013-03-01,12666.333,60093.0,730609.0,1830.667,8685.0,105595.0
2013-04-01,12494.021,59261.0,690015.0,2517.979,11943.0,139062.0
2013-05-01,13458.914,63811.0,726354.0,2565.086,12162.0,138433.0
2013-06-01,12521.587,59398.0,670904.0,2264.413,10742.0,121327.0
2013-07-01,13814.316,65494.0,709695.0,2284.684,10832.0,117373.0
2013-08-01,14319.771,67900.0,718224.0,1421.229,6739.0,71283.0
2013-09-01,14924.687,70766.0,693312.0,917.313,4349.0,42613.0
2013-10-01,15192.874,72027.0,712729.0,1002.126,4751.0,47012.0
2013-11-01,14438.733,68456.0,709680.0,1590.267,7540.0,78163.0
2013-12-01,15216.949,72144.0,733461.0,888.051,4210.0,42804.0
2014-01-01,17203.83,81512.0,817969.0,737.17,3493.0,35049.0
2014-02-01,13802.038,65459.0,703281.0,1429.962,6782.0,72863.0
2014-03-01,14682.553,69616.0,757550.0,1227.447,5820.0,63330.0
2014-04-01,17636.735,83541.0,881377.0,1214.265,5752.0,60682.0
2014-05-01,13001.783,61687.0,705538.0,1381.217,6553.0,74951.0
2014-06-01,11321.382,53759.0,665099.0,1515.618,7197.0,89038.0
2014-07-01,18168.263,86034.0,891679.0,1762.737,8347.0,86513.0
2014-08-01,17922.883,84885.0,881821.0,1418.117,6716.0,69773.0
2014-09-01,15808.688,74923.0,816192.0,1271.312,6025.0,65637.0
2014-10-01,15750.411,74645.0,849481.0,1401.589,6642.0,75593.0
2014-11-01,18633.758,88225.0,925145.0,1942.242,9196.0,96430.0
2014-12-01,18649.211,88300.0,979919.0,1818.789,8612.0,95568.0
2015-01-01,18593.119,88036.0,820942.0,1800.881,8527.0,79514.0
2015-02-01,16501.443,78183.0,679120.0,1500.557,7110.0,61756.0
2015-03-01,16334.395,77288.0,596096.0,7388.605,34960.0,269635.0
2015-04-01,13265.293,62843.0,534434.0,5136.707,24335.0,206948.0
2015-05-01,16176.11,76642.0,640611.0,1823.89,8641.0,72230.0
2015-06-01,12253.963,58038.0,482619.0,6990.037,33107.0,275301.0
2015-07-01,12622.858,59800.0,481070.0,5750.142,27241.0,219144.0
2015-08-01,8369.823,39742.0,404675.0,4562.177,21662.0,220578.0
2015-09-01,11287.821,53561.0,518153.0,2898.179,13752.0,133037.0
2015-10-01,9235.627,43899.0,429644.0,2129.373,10121.0,99059.0
2015-11-01,13146.876,62350.0,575980.0,2150.124,10197.0,94199.0
2015-12-01,17800.402,84269.0,658669.0,3286.598,15559.0,121614.0
2016-01-01,17836.568,72788.0,659350.0,3651.432,14901.0,134979.0
2016-02-01,17760.081,72506.0,653887.0,1951.919,7969.0,71865.0
2016-03-01,16013.81,65394.0,568045.0,2719.19,11104.0,96456.0
2016-04-01,14284.287,58369.0,517710.0,2431.713,9936.0,88133.0
2016-05-01,11623.991,47520.0,501347.0,3873.009,15833.0,167044.0
2016-06-01,11635.705,47571.0,509563.0,3731.295,15255.0,163405.0
2016-07-01,12198.65,49878.0,587467.0,2878.35,11769.0,138617.0
2016-08-01,11064.745,45289.0,504802.0,1946.255,7966.0,88793.0
2016-09-01,10819.607,44243.0,458876.0,4109.393,16804.0,174286.0
2016-10-01,10701.801,43759.0,429831.0,4305.199,17604.0,172915.0
2016-11-01,12459.753,50932.0,492961.0,3277.247,13396.0,129662.0
2016-12-01,-2191.456,53255.0,512942.0,-529.544,12869.0,123947.0
2017-01-01,16052.041,65581.0,964335.0,1161.959,4747.0,69805.0
2017-02-01,16103.716,65800.0,913191.0,726.284,2968.0,41185.0
2017-03-01,19277.643,78696.0,1089865.0,675.357,2757.0,38181.0
2017-04-01,15968.362,65254.0,1057628.0,596.638,2438.0,39517.0
2017-05-01,18490.114,75492.0,998420.0,928.886,3792.0,50157.0
2017-06-01,15224.867,62219.0,961532.0,1197.133,4892.0,75605.0
2017-07-01,16800.052,68626.0,1002234.0,880.948,3599.0,52554.0
2017-08-01,12333.611,50485.0,848445.0,605.389,2478.0,41645.0
2017-09-01,11256.942,46100.0,750930.0,932.058,3817.0,62176.0
2017-10-01,16527.37,67517.0,1101390.0,923.63,3773.0,61551.0
2017-11-01,15146.727,61907.0,950255.0,923.273,3774.0,57923.0
2017-12-01,19517.162,79656.0,1038887.0,1382.838,5644.0,73608.0
2018-01-01,17788.701,72637.0,959672.0,1188.299,4852.0,64107.0
2018-02-01,19908.231,81254.0,916715.0,920.769,3758.0,42399.0
2018-03-01,20225.643,82538.0,974503.0,1176.357,4801.0,56679.0
2018-04-01,18558.017,75763.0,947116.0,1168.983,4772.0,59660.0
2018-05-01,18040.685,73656.0,976242.0,1429.315,5836.0,77345.0
2018-06-01,15768.719,64430.0,904417.0,1132.281,4626.0,64942.0
2018-07-01,18759.091,76581.0,1000685.0,1137.909,4645.0,60701.0
2018-08-01,18491.945,75491.0,978209.0,1358.055,5544.0,71840.0
2018-09-01,18330.891,74842.0,941917.0,1061.109,4332.0,54524.0
2018-10-01,17616.145,71940.0,976693.0,952.855,3891.0,52829.0
2018-11-01,17949.662,73293.0,970655.0,1100.338,4493.0,59502.0
2018-12-01,16935.211,69168.0,971475.0,1244.789,5084.0,71406.0
2019-01-01,16972.703,69330.0,1026885.0,779.297,3183.0,47149.0
2019-02-01,16051.687,65573.0,903500.0,1454.313,5941.0,81859.0
2019-03-01,16300.069,66591.0,984058.0,1025.931,4191.0,61937.0
2019-04-01,14551.774,59475.0,835629.0,1558.226,6369.0,89480.0
2019-05-01,15263.499,62374.0,867807.0,1273.501,5204.0,72405.0
2019-06-01,13892.379,56802.0,854349.0,1256.621,5138.0,77279.0
2019-07-01,16848.91,68819.0,994130.0,1164.09,4755.0,68684.0
2019-08-01,17796.539,72665.0,1007359.0,1367.461,5583.0,77404.0
2019-09-01,17144.333,70022.0,884719.0,1003.667,4099.0,51793.0
2019-10-01,19715.812,80465.0,1021373.0,1278.188,5217.0,66216.0
2019-11-01,16991.848,69397.0,917068.0,1298.152,5302.0,70063.0
2019-12-01,19725.378,80506.0,1054217.0,1167.622,4765.0,62403.0
2020-01-01,20579.267,83970.0,1074466.0,1500.733,6123.0,78355.0
2020-02-01,15813.54,64600.0,758822.0,1675.46,6844.0,80398.0
2020-03-01,16897.642,69009.0,944226.0,1552.358,6340.0,86744.0
2020-04-01,13397.39,54790.0,757593.0,1280.61,5237.0,72416.0
2020-05-01,15728.751,64260.0,792907.0,1487.249,6076.0,74974.0
2020-06-01,16510.931,67444.0,785676.0,1228.069,5016.0,58438.0
2020-07-01,19015.566,77618.0,977956.0,1380.434,5635.0,70995.0
2020-08-01,16663.218,68062.0,834009.0,1256.782,5133.0,62903.0
2020-09-01,18016.656,73563.0,902017.0,1199.344,4897.0,60046.0
2020-10-01,15312.945,62568.0,831246.0,1598.055,6530.0,86749.0
2020-11-01,18998.949,77553.0,972961.0,1250.051,5103.0,64017.0
2020-12-01,20139.367,82178.0,1058733.0,1758.633,7176.0,92452.0
2021-01-01,21261.262,86737.0,1156032.0,1740.738,7101.0,94649.0
2021-02-01,9150.467,37533.0,497525.0,1049.533,4305.0,57065.0
2021-03-01,120.137,869.0,230592.0,7.863,57.0,15092.0
2021-04-01,13331.896,54500.0,839737.0,2251.104,9202.0,141790.0
2021-05-01,16586.573,67735.0,996536.0,2040.427,8333.0,122591.0
2021-06-01,7505.661,30853.0,799080.0,840.339,3454.0,89465.0
2021-07-01,13858.804,56662.0,720567.0,1405.196,5745.0,73061.0
2021-08-01,13907.125,56861.0,799166.0,1300.875,5319.0,74754.0
2021-09-01,1140.882,5011.0,667315.0,90.118,396.0,52711.0
2021-10-01,0.0,0.0,326022.0,0.0,0.0,4916.0
2021-11-01,0.0,0.0,914542.0,0.0,0.0,7389.0
2021-12-01,6124.341,25255.0,1018639.0,452.659,1867.0,75289.0
2022-01-01,18028.875,73620.0,1096822.0,835.125,3410.0,50806.0
2022-02-01,17124.859,69940.0,952950.0,1179.141,4816.0,65616.0
2022-03-01,18674.653,76236.0,1070149.0,1230.347,5023.0,70505.0
2022-04-01,19647.504,80192.0,1087248.0,1068.496,4361.0,59128.0
2022-05-01,18304.247,74729.0,1012991.0,1325.753,5413.0,73370.0
2022-06-01,19359.143,79016.0,994477.0,1300.857,5310.0,66825.0
2022-07-01,20060.522,81871.0,1006931.0,984.478,4018.0,49416.0
2022-08-01,19321.704,78873.0,957247.0,815.296,3328.0,40392.0
2022-09-01,17755.821,72502.0,892083.0,1238.179,5056.0,62208.0
2022-10-01,19698.474,80391.0,1016943.0,1497.526,6112.0,77310.0
2022-11-01,19755.588,80621.0,1003273.0,1577.412,6437.0,80108.0
2022-12-01,9966.367,40855.0,867270.0,885.633,3631.0,77067.0
2023-01-01,15134.374,61844.0,963916.0,1488.626,6083.0,94811.0
2023-02-01,14517.401,59340.0,897299.0,1350.599,5521.0,83479.0
2023-03-01,18922.839,77224.0,1040597.0,2365.161,9652.0,130064.0
2023-04-01,16845.55,68789.0,988975.0,1954.45,7981.0,114743.0
2023-05-01,17957.043,73292.0,999165.0,2777.957,11338.0,154571.0
2023-06-01,18725.917,76419.0,966096.0,2649.083,10811.0,136670.0
2023-07-01,19081.644,77865.0,1017556.0,2622.356,10701.0,139841.0
2023-08-01,18445.512,75278.0,1017260.0,2726.488,11127.0,150364.0
2023-09-01,17496.411,71422.0,938202.0,2610.589,10657.0,139986.0
2023-10-01,19830.075,80895.0,1119234.0,3364.925,13727.0,189921.0
2023-11-01,19446.325,79342.0,1101806.0,2910.675,11876.0,164916.0
2023-12-01,11578.268,47388.0,940614.0,1535.732,6286.0,124762.0
2024-01-01,15280.699,62426.0,1095785.0,2109.301,8617.0,151259.0
2024-02-01,19456.467,79380.0,1076678.0,3173.533,12948.0,175616.0
2024-03-01,18720.119,76391.0,1109992.0,2884.881,11772.0,171056.0
2024-04-01,11584.477,47408.0,1049832.0,1730.523,7082.0,156827.0
2024-05-01,17857.638,72893.0,1008703.0,2477.362,10112.0,139936.0
2024-06-01,19561.877,79812.0,982214.0,2927.123,11943.0,146973.0
2024-07-01,18588.772,75863.0,996742.0,2549.228,10404.0,136691.0
2024-08-01,11687.744,47827.0,834979.0,1785.256,7305.0,127540.0
2024-09-01,17524.051,71531.0,924245.0,2793.949,11405.0,147357.0
2024-10-01,16668.863,68042.0,795615.0,3584.137,14630.0,171073.0
2024-11-01,16753.554,68384.0,999114.0,3680.446,15023.0,219487.0
2024-12-01,17292.748,70585.0,1065858.0,3146.252,12842.0,193923.0
