measured_on,"Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,15.078000000000001,178.0,178.0,216.95100000000002,2581.0,2581.0,,,
2003-02-01,,,,0.0,0.0,0.0,12.112,143.0,143.0,174.274,2073.0,2073.0,,,
2003-03-01,,,,0.0,0.0,0.0,11.78,139.0,139.0,169.5,2017.0,2017.0,,,
2003-04-01,,,,0.0,0.0,0.0,13.249,157.0,157.0,190.627,2268.0,2268.0,,,
2003-05-01,,,,0.0,0.0,0.0,14.922,177.0,177.0,214.70600000000002,2554.0,2554.0,,,
2003-06-01,,,,0.0,0.0,0.0,14.073,167.0,167.0,202.488,2409.0,2409.0,,,
2003-07-01,,,,0.0,0.0,0.0,16.024,190.0,190.0,230.561,2743.0,2743.0,,,
2003-08-01,,,,0.0,0.0,0.0,15.768,187.0,187.0,226.871,2699.0,2699.0,,,
2003-09-01,,,,0.0,0.0,0.0,14.43,171.0,171.0,207.62400000000002,2470.0,2470.0,,,
2003-10-01,,,,0.0,0.0,0.0,14.311,169.0,169.0,205.907,2450.0,2450.0,,,
2003-11-01,,,,0.0,0.0,0.0,13.905,165.0,165.0,200.073,2380.0,2380.0,,,
2003-12-01,,,,0.0,0.0,0.0,14.346,170.0,170.0,206.418,2456.0,2456.0,,,
2004-01-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,146.562,1723.0,1723.0,,,
2004-02-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,148.43800000000002,1746.0,1746.0,,,
2004-03-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,170.12900000000002,2001.0,2001.0,,,
2004-04-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,159.69400000000002,1878.0,1878.0,,,
2004-05-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,153.948,1810.0,1810.0,,,
2004-06-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,150.31400000000002,1768.0,1768.0,,,
2004-07-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,147.148,1730.0,1730.0,,,
2004-08-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,152.893,1798.0,1798.0,,,
