measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,0.446,3.0,3.0
2001-02-01,0.388,2.0,3.0
2001-03-01,0.41800000000000004,3.0,3.0
2001-04-01,0.41100000000000003,2.0,3.0
2001-05-01,0.431,3.0,3.0
2001-06-01,0.42400000000000004,3.0,3.0
2001-07-01,0.48700000000000004,3.0,3.0
2001-08-01,0.504,3.0,3.0
2001-09-01,0.41900000000000004,3.0,3.0
2001-10-01,0.396,2.0,3.0
2001-11-01,0.326,2.0,2.0
2001-12-01,0.35100000000000003,2.0,2.0
