measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2018-05-01,260.198,2369.0,2369.0
2018-06-01,279.622,2546.0,2546.0
2018-07-01,243.725,2219.0,2219.0
2018-08-01,243.337,2215.0,2215.0
2018-09-01,233.877,2129.0,2129.0
2018-10-01,174.398,1588.0,1588.0
2018-11-01,143.757,1309.0,1309.0
2018-12-01,104.086,948.0,948.0
2019-01-01,330.617,2944.0,2944.0
2019-02-01,348.373,3102.0,3102.0
2019-03-01,518.977,4621.0,4621.0
2019-04-01,610.953,5441.0,5441.0
2019-05-01,650.436,5792.0,5792.0
2019-06-01,731.618,6515.0,6515.0
2019-07-01,692.505,6167.0,6167.0
2019-08-01,704.96,6278.0,6278.0
2019-09-01,581.92,5182.0,5182.0
2019-10-01,572.001,5094.0,5094.0
2019-11-01,355.509,3166.0,3166.0
2019-12-01,259.131,2308.0,2308.0
2020-01-01,196.265,1721.0,1721.0
2020-02-01,206.747,1813.0,1813.0
2020-03-01,316.724,2777.0,2777.0
2020-04-01,353.971,3103.0,3103.0
2020-05-01,411.034,3604.0,3604.0
2020-06-01,398.492,3494.0,3494.0
2020-07-01,413.003,3621.0,3621.0
2020-08-01,336.606,2951.0,2951.0
2020-09-01,328.048,2876.0,2876.0
2020-10-01,247.176,2167.0,2167.0
2020-11-01,212.997,1867.0,1867.0
2020-12-01,160.937,1411.0,1411.0
2021-01-01,340.039,3007.0,3007.0
2021-02-01,375.245,3319.0,3319.0
2021-03-01,479.641,4242.0,4242.0
2021-04-01,582.384,5151.0,5151.0
2021-05-01,573.8,5075.0,5075.0
2021-06-01,713.401,6309.0,6309.0
2021-07-01,768.21,6794.0,6794.0
2021-08-01,729.24,6449.0,6449.0
2021-09-01,623.997,5519.0,5519.0
2021-10-01,483.47,4276.0,4276.0
2021-11-01,361.06,3193.0,3193.0
2021-12-01,323.513,2861.0,2861.0
2022-01-01,275.402,940.0,940.0
2022-02-01,345.696,1180.0,1180.0
2022-03-01,418.558,1428.0,1428.0
2022-04-01,506.783,1729.0,1729.0
2022-05-01,519.792,1774.0,1774.0
2022-06-01,461.398,1574.0,1574.0
2022-07-01,534.458,1824.0,1824.0
2022-08-01,538.626,1838.0,1838.0
2022-09-01,469.288,1601.0,1601.0
2022-10-01,387.284,1321.0,1321.0
2022-11-01,283.894,969.0,969.0
2022-12-01,250.821,856.0,856.0
2023-01-01,311.0,1061.0,1061.0
2023-02-01,487.0,1662.0,1662.0
2023-03-01,660.0,2252.0,2252.0
2023-04-01,731.0,2494.0,2494.0
2023-05-01,686.0,2341.0,2341.0
2023-06-01,564.0,1924.0,1924.0
2023-07-01,166.0,566.0,566.0
2023-08-01,232.0,792.0,792.0
2023-09-01,709.0,2419.0,2419.0
2023-10-01,581.0,1982.0,1982.0
2023-11-01,336.0,1146.0,1146.0
2023-12-01,320.0,1092.0,1092.0
2024-01-01,163.0,556.0,556.0
2024-02-01,226.0,771.0,771.0
2024-03-01,330.0,1126.0,1126.0
2024-04-01,306.0,1044.0,1044.0
2024-05-01,373.0,1273.0,1273.0
2024-06-01,305.0,1041.0,1041.0
2024-07-01,348.0,1187.0,1187.0
2024-08-01,245.0,836.0,836.0
2024-09-01,283.0,966.0,966.0
2024-10-01,221.0,754.0,754.0
2024-11-01,129.0,440.0,440.0
2024-12-01,133.0,454.0,454.0
