measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,0.438,7.0,7.0
2003-02-01,0.366,6.0,6.0
2003-03-01,0.377,6.0,6.0
2003-04-01,0.386,6.0,6.0
2003-05-01,0.42,7.0,7.0
2003-06-01,0.435,7.0,7.0
2003-07-01,0.48400000000000004,8.0,8.0
2003-08-01,0.505,8.0,8.0
2003-09-01,0.42900000000000005,7.0,7.0
2003-10-01,0.367,6.0,6.0
2003-11-01,0.355,6.0,6.0
2003-12-01,0.439,7.0,7.0
2004-01-01,0.036000000000000004,2.0,2.0
2004-02-01,0.032,2.0,2.0
2004-03-01,0.019,1.0,1.0
2004-04-01,0.054,3.0,3.0
2004-05-01,0.12100000000000001,7.0,7.0
2004-06-01,0.135,8.0,8.0
2004-07-01,0.20400000000000001,12.0,12.0
2004-08-01,0.198,12.0,12.0
2004-09-01,0.116,7.0,7.0
2004-10-01,0.037000000000000005,2.0,2.0
2004-11-01,0.027,2.0,2.0
2004-12-01,0.025,1.0,1.0
2005-01-01,0.069,8.88,8.88
2005-02-01,0.063,8.02,8.02
2005-03-01,0.068,8.65,8.65
2005-04-01,0.068,8.69,8.69
2005-05-01,0.075,9.55,9.55
2005-06-01,0.096,12.26,12.26
2005-07-01,0.12300000000000001,15.7,15.7
2005-08-01,0.127,16.27,16.27
2005-09-01,0.096,12.27,12.27
2005-10-01,0.07400000000000001,9.53,9.53
2005-11-01,0.066,8.5,8.5
2005-12-01,0.076,9.7,9.7
2006-01-01,2.011,10.0,10.0
2006-02-01,1.7730000000000001,9.0,9.0
2006-03-01,1.9640000000000002,10.0,10.0
2006-04-01,1.871,9.0,9.0
2006-05-01,2.181,11.0,11.0
2006-06-01,2.3120000000000003,11.0,11.0
2006-07-01,2.603,13.0,13.0
2006-08-01,2.689,13.0,13.0
2006-09-01,2.189,11.0,11.0
2006-10-01,2.295,11.0,11.0
2006-11-01,1.939,10.0,10.0
2006-12-01,2.174,11.0,11.0
2007-01-01,0.08900000000000001,1.0,1.0
2007-02-01,0.091,1.0,1.0
2007-03-01,0.082,1.0,1.0
2007-04-01,0.12200000000000001,1.0,1.0
2007-05-01,0.139,1.0,1.0
2007-06-01,0.225,2.0,2.0
2007-07-01,0.24,3.0,3.0
2007-08-01,0.47600000000000003,5.0,5.0
2007-09-01,0.22,2.0,2.0
2007-10-01,0.139,1.0,1.0
2007-11-01,0.07400000000000001,1.0,1.0
2007-12-01,0.10300000000000001,1.0,1.0
2008-01-01,0.092,1.0,1.0
2008-02-01,0.05,1.0,1.0
2008-03-01,0.035,0.0,0.0
2008-04-01,0.036000000000000004,0.0,0.0
2008-05-01,0.036000000000000004,0.0,0.0
2008-06-01,0.131,1.0,1.0
2008-07-01,0.134,1.0,1.0
2008-08-01,0.139,3.0,3.0
2008-09-01,0.11,1.0,1.0
2008-10-01,0.095,1.0,1.0
2008-11-01,0.08700000000000001,1.0,1.0
2008-12-01,0.055,1.0,1.0
2009-01-01,0.133,1.0,1.0
2009-02-01,0.159,3.0,3.0
2009-03-01,0.151,2.0,2.0
2009-04-01,0.14800000000000002,1.0,1.0
2009-05-01,0.156,2.0,2.0
2009-06-01,0.23600000000000002,2.0,2.0
2009-07-01,0.233,2.0,2.0
2009-08-01,0.216,2.0,2.0
2009-09-01,0.17600000000000002,2.0,2.0
2009-10-01,0.11,1.0,1.0
2009-11-01,0.137,1.0,1.0
2009-12-01,0.145,1.0,1.0
2010-01-01,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0
