measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2001-01-01,5.555,64.0,64.0,297.53200000000004,3074.4,3074.4
2001-02-01,4.759,55.0,55.0,254.89700000000002,2633.85,2633.85
2001-03-01,5.1690000000000005,59.0,59.0,276.843,2860.62,2860.62
2001-04-01,4.532,52.0,52.0,242.711,2507.93,2507.93
2001-05-01,4.444,51.0,51.0,238.024,2459.5,2459.5
2001-06-01,4.492,52.0,52.0,240.58700000000002,2485.99,2485.99
2001-07-01,4.723,54.0,54.0,252.93800000000002,2613.61,2613.61
2001-08-01,4.695,54.0,54.0,251.43800000000002,2598.11,2598.11
2001-09-01,5.545,64.0,64.0,296.999,3068.89,3068.89
2001-10-01,5.325,61.0,61.0,285.17,2946.66,2946.66
2001-11-01,5.515,63.0,63.0,295.349,3051.84,3051.84
2001-12-01,6.246,72.0,72.0,334.511,3456.5,3456.5
2002-01-01,29.478,288.0,288.0,335.54200000000003,3413.47,3413.47
2002-02-01,25.081,245.0,245.0,285.492,2904.31,2904.31
2002-03-01,26.57,260.0,260.0,302.442,3076.74,3076.74
2002-04-01,24.334,238.0,238.0,276.992,2817.84,2817.84
2002-05-01,23.614,231.0,231.0,268.79,2734.4,2734.4
2002-06-01,24.366,238.0,238.0,277.354,2821.52,2821.52
2002-07-01,23.682000000000002,232.0,232.0,269.569,2742.33,2742.33
2002-08-01,22.142,217.0,217.0,252.035,2563.95,2563.95
2002-09-01,23.177,227.0,227.0,263.814,2683.78,2683.78
2002-10-01,25.229000000000003,247.0,247.0,287.177,2921.45,2921.45
2002-11-01,26.199,256.0,256.0,298.22,3033.79,3033.79
2002-12-01,29.129,285.0,285.0,331.572,3373.08,3373.08
2003-01-01,8.371,170.0,170.0,330.896,3388.71,3388.71
2003-02-01,7.416,150.0,150.0,293.137,3002.02,3002.02
2003-03-01,7.659000000000001,155.0,155.0,302.76800000000003,3100.65,3100.65
2003-04-01,6.726,136.0,136.0,265.863,2722.7,2722.7
2003-05-01,6.601,134.0,134.0,260.91900000000004,2672.07,2672.07
2003-06-01,6.281000000000001,127.0,127.0,248.27800000000002,2542.61,2542.61
2003-07-01,6.722,136.0,136.0,265.719,2721.23,2721.23
2003-08-01,6.436,130.0,130.0,254.4,2605.31,2605.31
2003-09-01,6.884,140.0,140.0,272.118,2786.76,2786.76
2003-10-01,7.421,150.0,150.0,293.338,3004.07,3004.07
2003-11-01,7.787000000000001,158.0,158.0,307.798,3152.16,3152.16
2003-12-01,8.697000000000001,176.0,176.0,343.766,3520.51,3520.51
2004-01-01,7.743,164.0,164.0,0.0,0.0,0.0
2004-02-01,10.015,212.0,212.0,0.0,0.0,0.0
2004-03-01,8.988,190.0,190.0,0.0,0.0,0.0
2004-04-01,6.095,129.0,129.0,0.0,0.0,0.0
2004-05-01,6.609,140.0,140.0,0.0,0.0,0.0
2004-06-01,6.349,134.0,134.0,0.0,0.0,0.0
2004-07-01,10.111,214.0,214.0,0.0,0.0,0.0
2004-08-01,10.704,227.0,227.0,0.0,0.0,0.0
2004-09-01,8.717,185.0,185.0,0.0,0.0,0.0
2004-10-01,6.375,135.0,135.0,0.0,0.0,0.0
2004-11-01,3.705,78.0,78.0,0.0,0.0,0.0
2004-12-01,3.589,76.0,76.0,0.0,0.0,0.0
2005-01-01,15.928,293.13,293.13,0.0,0.0,0.0
2005-02-01,5.472,100.71,100.71,0.0,0.0,0.0
2005-03-01,6.065,111.63,111.63,0.0,0.0,0.0
2005-04-01,7.347,135.21,135.21,0.0,0.0,0.0
2005-05-01,6.823,125.58,125.58,0.0,0.0,0.0
2005-06-01,8.856,162.99,162.99,0.0,0.0,0.0
2005-07-01,9.014000000000001,165.9,165.9,0.0,0.0,0.0
2005-08-01,10.59,194.89,194.89,0.0,0.0,0.0
2005-09-01,6.932,127.58,127.58,0.0,0.0,0.0
2005-10-01,7.698,141.68,141.68,0.0,0.0,0.0
2005-11-01,6.189,113.9,113.9,0.0,0.0,0.0
2005-12-01,13.086,240.83,240.83,0.0,0.0,0.0
2006-01-01,0.8230000000000001,56.0,56.0,0.0,0.0,0.0
2006-02-01,0.43,29.0,29.0,0.0,0.0,0.0
2006-03-01,0.36200000000000004,25.0,25.0,0.0,0.0,0.0
2006-04-01,0.6930000000000001,47.0,47.0,0.0,0.0,0.0
2006-05-01,0.647,44.0,44.0,0.0,0.0,0.0
2006-06-01,0.5890000000000001,40.0,40.0,0.0,0.0,0.0
2006-07-01,0.8520000000000001,58.0,58.0,0.0,0.0,0.0
2006-08-01,0.8270000000000001,56.0,56.0,0.0,0.0,0.0
2006-09-01,0.38,26.0,26.0,0.0,0.0,0.0
2006-10-01,0.401,27.0,27.0,0.0,0.0,0.0
