measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,2565.654,52333.0,52333.0,0.0,0.0,0.0
2003-02-01,2201.194,44899.0,44899.0,0.0,0.0,0.0
2003-03-01,2374.235,48428.0,48428.0,0.0,0.0,0.0
2003-04-01,2407.674,49110.0,49110.0,0.0,0.0,0.0
2003-05-01,2665.5640000000003,54370.0,54370.0,0.0,0.0,0.0
2003-06-01,2618.338,53407.0,53407.0,0.0,0.0,0.0
2003-07-01,2847.288,58077.0,58077.0,0.0,0.0,0.0
2003-08-01,2943.518,60040.0,60040.0,0.0,0.0,0.0
2003-09-01,2253.2290000000003,45960.0,45960.0,0.0,0.0,0.0
2003-10-01,2265.302,46206.0,46206.0,0.0,0.0,0.0
2003-11-01,2210.766,45094.0,45094.0,0.0,0.0,0.0
2003-12-01,2631.2380000000003,53670.0,53670.0,0.0,0.0,0.0
2004-01-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2004-02-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2004-03-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2004-04-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2004-05-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2004-06-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2004-07-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2004-08-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2004-09-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2004-10-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2004-11-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2004-12-01,2017.75,42601.0,42601.0,0.0,0.0,0.0
2005-01-01,2388.732,52440.9,52440.9,26.621000000000002,431.09,431.09
2005-02-01,2079.788,45658.5,45658.5,22.099,357.87,357.87
2005-03-01,2157.774,47370.57,47370.57,27.368000000000002,443.19,443.19
2005-04-01,1923.0020000000002,42216.49,42216.49,26.966,436.68,436.68
2005-05-01,2111.069,46345.22,46345.22,31.789,514.78,514.78
2005-06-01,2351.293,51618.99,51618.99,40.119,649.66,649.66
2005-07-01,2485.5660000000003,54566.72,54566.72,50.281000000000006,814.22,814.22
2005-08-01,2513.22,55173.83,55173.83,52.085,843.44,843.44
2005-09-01,2303.157,50562.23,50562.23,39.634,641.81,641.81
2005-10-01,2174.9,47746.53,47746.53,31.662000000000003,512.73,512.73
2005-11-01,2120.427,46550.66,46550.66,27.013,437.44,437.44
2005-12-01,2368.0730000000003,51987.34,51987.34,26.362000000000002,426.9,426.9
2006-01-01,196.699,4812.0,4812.0,-0.998,95.0,95.0
2006-02-01,179.42100000000002,4389.0,4389.0,-1.1840000000000002,113.0,113.0
2006-03-01,182.80700000000002,4472.0,4472.0,-1.351,128.0,128.0
2006-04-01,166.484,4073.0,4073.0,-1.5110000000000001,144.0,144.0
2006-05-01,194.889,4767.0,4767.0,-1.75,166.0,166.0
2006-06-01,210.566,5151.0,5151.0,-2.23,212.0,212.0
2006-07-01,224.88,5501.0,5501.0,-2.8040000000000003,266.0,266.0
2006-08-01,227.54,5566.0,5566.0,-2.839,270.0,270.0
2006-09-01,200.892,4914.0,4914.0,-1.9320000000000002,184.0,184.0
2006-10-01,191.57,4686.0,4686.0,-1.749,166.0,166.0
2006-11-01,188.661,4615.0,4615.0,-1.2990000000000002,123.0,123.0
2006-12-01,206.59,5054.0,5054.0,-1.354,129.0,129.0
2007-01-01,0.0,0.0,0.0,678.7130000000001,6116.0,6116.0
2007-02-01,0.0,0.0,0.0,617.453,5564.0,5564.0
2007-03-01,0.0,0.0,0.0,624.313,5626.0,5626.0
2007-04-01,0.0,0.0,0.0,579.793,5225.0,5225.0
2007-05-01,0.0,0.0,0.0,684.615,6169.0,6169.0
2007-06-01,0.0,0.0,0.0,857.8580000000001,7730.0,7730.0
2007-07-01,0.0,0.0,0.0,1100.496,9917.0,9917.0
2007-08-01,0.0,0.0,0.0,1157.7,10433.0,10433.0
2007-09-01,0.0,0.0,0.0,965.923,8704.0,8704.0
2007-10-01,0.0,0.0,0.0,883.47,7961.0,7961.0
2007-11-01,0.0,0.0,0.0,701.101,6318.0,6318.0
2007-12-01,0.0,0.0,0.0,780.565,7034.0,7034.0
2008-01-01,0.0,0.0,0.0,48.612,454.0,454.0
2008-02-01,0.0,0.0,0.0,41.104,386.0,386.0
2008-03-01,0.0,0.0,0.0,46.602000000000004,437.0,437.0
2008-04-01,0.0,0.0,0.0,49.182,462.0,462.0
2008-05-01,0.0,0.0,0.0,55.409000000000006,520.0,520.0
2008-06-01,0.0,0.0,0.0,58.870000000000005,552.0,552.0
2008-07-01,0.0,0.0,0.0,58.535000000000004,549.0,549.0
2008-08-01,0.0,0.0,0.0,58.399,548.0,548.0
2008-09-01,0.0,0.0,0.0,52.885000000000005,496.0,496.0
2008-10-01,0.0,0.0,0.0,65.095,611.0,611.0
2008-11-01,0.0,0.0,0.0,47.863,449.0,449.0
2008-12-01,0.0,0.0,0.0,62.444,586.0,586.0
2009-01-01,0.0,0.0,0.0,10.945,95.0,95.0
2009-02-01,0.0,0.0,0.0,10.052,86.0,86.0
2009-03-01,0.0,0.0,0.0,11.381,98.0,98.0
2009-04-01,0.0,0.0,0.0,9.202,79.0,79.0
2009-05-01,0.0,0.0,0.0,9.546000000000001,83.0,83.0
2009-06-01,0.0,0.0,0.0,11.731,101.0,101.0
2009-07-01,0.0,0.0,0.0,14.636000000000001,126.0,126.0
2009-08-01,0.0,0.0,0.0,14.016,121.0,121.0
