measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,158413.0,1631764.0,1631764.0,170.0,2040.0,2040.0,,,
2001-02-01,132296.0,1264498.0,1264498.0,202.0,2376.0,2376.0,,,
2001-03-01,16481.0,178356.0,178356.0,0.0,0.0,0.0,,,
2001-04-01,47101.0,567709.0,567709.0,0.0,0.0,0.0,,,
2001-05-01,59058.0,635377.0,635377.0,606.0,5263.0,5263.0,,,
2001-06-01,113480.0,1196478.0,1196478.0,383.0,3258.0,3258.0,,,
2001-07-01,127919.0,1363979.0,1363979.0,404.0,3481.0,3481.0,,,
2001-08-01,149763.0,1593871.0,1593871.0,127.0,1088.0,1088.0,,,
2001-09-01,114736.0,1204921.0,1204921.0,437.0,3704.0,3704.0,,,
2001-10-01,113701.0,1119185.0,1119185.0,226.0,1799.0,1799.0,,,
2001-11-01,142031.0,1429210.0,1429210.0,1310.0,10649.0,10649.0,,,
2001-12-01,107324.0,1078152.0,1078152.0,608.0,4933.0,4933.0,,,
2002-01-01,149622.0,1574495.0,1574495.0,221.0,1839.0,1839.0,,,
2002-02-01,127606.0,1343278.0,1343278.0,207.0,1728.0,1728.0,,,
2002-03-01,116135.0,1227531.0,1227531.0,386.0,3225.0,3225.0,,,
2002-04-01,142849.0,1474990.0,1474990.0,212.0,1728.0,1728.0,,,
2002-05-01,112068.0,1147557.0,1147557.0,407.0,3300.0,3300.0,,,
2002-06-01,127181.0,1384239.0,1384239.0,233.0,2007.0,2007.0,,,
2002-07-01,152895.0,1639389.0,1639389.0,272.0,2308.0,2308.0,,,
2002-08-01,153228.0,1662337.0,1662337.0,78.0,824.0,824.0,,,
2002-09-01,136664.0,1450044.0,1450044.0,262.0,2720.0,2720.0,,,
2002-10-01,128298.0,1337409.0,1337409.0,227.0,2308.0,2308.0,,,
2002-11-01,117892.0,1293538.0,1293538.0,380.0,4072.0,4072.0,,,
2002-12-01,141354.0,1484300.0,1484300.0,370.0,3793.0,3793.0,,,
2003-01-01,158146.0,1639200.0,1639200.0,233.0,2482.0,2482.0,,,
2003-02-01,109448.0,1163832.0,1163832.0,343.0,3753.0,3753.0,,,
2003-03-01,106594.0,1131216.0,1131216.0,273.0,2987.0,2987.0,,,
2003-04-01,110407.0,1111824.0,1111824.0,597.0,6189.0,6189.0,,,
2003-05-01,133305.0,1358784.0,1358784.0,610.0,6403.0,6403.0,,,
2003-06-01,134060.0,1350336.0,1350336.0,412.0,4269.0,4269.0,,,
2003-07-01,149464.0,1552392.0,1552392.0,391.0,4182.0,4182.0,,,
2003-08-01,153054.0,1581072.0,1581072.0,217.0,2308.0,2308.0,,,
2003-09-01,122993.0,1312200.0,1312200.0,530.0,5823.0,5823.0,,,
2003-10-01,131715.0,1335240.0,1335240.0,455.0,4750.0,4750.0,,,
2003-11-01,143610.0,1481592.0,1481592.0,147.0,1566.0,1566.0,,,
2003-12-01,160706.0,1637136.0,1637136.0,157.0,1647.0,1647.0,,,
2004-01-01,144468.0,1477632.0,1477632.0,329.0,3463.0,3463.0,,,
2004-02-01,139732.0,1423728.0,1423728.0,150.0,1578.0,1578.0,,,
2004-03-01,102854.0,1052376.0,1052376.0,368.0,3874.0,3874.0,,,
2004-04-01,43151.0,518088.0,518088.0,0.0,0.0,0.0,,,
2004-05-01,113159.0,1234800.0,1234800.0,299.0,3358.0,3358.0,,,
2004-06-01,120596.0,1298016.0,1298016.0,283.0,3132.0,3132.0,,,
2004-07-01,130190.0,1326768.0,1326768.0,314.0,3294.0,3294.0,,,
2004-08-01,130742.0,1332384.0,1332384.0,307.0,3213.0,3213.0,,,
2004-09-01,122287.0,1229568.0,1229568.0,236.0,2442.0,2442.0,,,
2004-10-01,77873.0,782136.0,782136.0,182.0,2970.0,2970.0,,,
2004-11-01,98070.0,957888.0,957888.0,401.0,4037.0,4037.0,,,
2004-12-01,148910.0,1499376.0,1499376.0,245.0,2540.0,2540.0,,,
