measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2024-01-01,83.0,283.0,283.0
2024-02-01,98.0,334.0,334.0
2024-03-01,127.0,433.0,433.0
2024-04-01,187.0,638.0,638.0
2024-05-01,178.0,607.0,607.0
2024-06-01,202.0,689.0,689.0
2024-07-01,214.0,730.0,730.0
2024-08-01,191.0,652.0,652.0
2024-09-01,193.0,659.0,659.0
2024-10-01,192.0,655.0,655.0
2024-11-01,114.0,389.0,389.0
2024-12-01,97.0,331.0,331.0
