measured_on,"Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-10-01,30967.62707,276400.03,851021.44,0.0,0.0,0.0,4987.69399,44517.42,137066.83,24679.37894,220274.58,678214.08
2006-11-01,16136.11405,144022.09,572989.38,0.0,0.0,0.0,3807.84751,33986.76,135215.72,17398.12844,155286.14,617803.2
2006-12-01,19893.81039,177561.23,680911.7,0.0,0.0,0.0,9785.88847,87343.47,334944.68,16223.61114,144803.04,555290.64
2007-01-01,47072.526,420144.0,1299515.0,0.0,0.0,0.0,6406.97,57186.0,176875.0,21675.134,193460.0,598378.0
2007-02-01,17570.64,156826.0,604057.0,0.0,0.0,0.0,8002.595,71427.0,275119.0,14951.423999999999,133448.0,514011.0
2007-03-01,49824.485,444706.0,1182480.0,0.0,0.0,0.0,7577.135,67630.0,179827.0,24843.711,221741.0,589614.0
2007-04-01,43148.874,385123.0,857852.0,0.0,0.0,0.0,8334.29,74387.0,165696.0,33840.946,302046.0,672799.0
2007-05-01,38183.047,340801.0,764238.0,0.0,0.0,0.0,8268.371000000001,73799.0,165492.0,36539.842000000004,326135.0,731349.0
2007-06-01,33096.114,295398.0,757601.0,0.0,0.0,0.0,7863.347000000001,70184.0,179999.0,31404.479,280299.0,718878.0
2007-07-01,48543.542,433273.0,1181660.0,0.0,0.0,0.0,6203.487,55368.0,151007.0,26466.222,236223.0,644248.0
2007-08-01,47325.438,422401.0,1160601.0,0.0,0.0,0.0,5295.173000000001,47262.0,129858.0,25777.698,230078.0,632168.0
2007-09-01,47351.715,422635.0,1159640.0,0.0,0.0,0.0,4889.691,43642.0,119748.0,23736.753,211861.0,581311.0
2007-10-01,49020.784,437533.0,1169527.0,0.0,0.0,0.0,5249.142,46851.0,125233.0,23256.354,207573.0,554845.0
2007-11-01,42657.256,380735.0,1099903.0,0.0,0.0,0.0,4460.8640000000005,39815.0,115022.0,19818.67,176891.0,511018.0
2007-12-01,47964.481,428105.0,1187679.0,0.0,0.0,0.0,7321.819,65350.0,181300.0,19926.53,177853.0,493414.0
2008-01-01,46970.06,430845.0,1235287.0,0.0,0.0,0.0,7356.451,67479.0,193471.0,18187.489,166829.0,478321.0
2008-02-01,45602.686,417169.0,1169036.0,0.0,0.0,0.0,11102.552,101565.0,284617.0,13444.762,122991.0,344660.0
2008-03-01,49356.466,451833.0,1249894.0,0.0,0.0,0.0,8090.63,74066.0,204886.0,14437.904,132172.0,365623.0
2008-04-01,47231.909,428674.0,1116581.0,0.0,0.0,0.0,5458.664000000001,49542.0,129045.0,23753.427,215585.0,561541.0
2008-05-01,46032.465,415275.0,1072951.0,0.0,0.0,0.0,5690.293000000001,51334.0,132633.0,26413.242,238283.0,615655.0
2008-06-01,46147.872,416386.0,1052134.0,0.0,0.0,0.0,4028.909,36352.0,91856.0,27279.219,246137.0,621944.0
2008-07-01,55252.08,498894.0,1278396.0,0.0,0.0,0.0,5977.363,53972.0,138301.0,25409.557,229434.0,587914.0
2008-08-01,57600.481,519543.0,1315257.0,0.0,0.0,0.0,3787.7720000000004,34165.0,86490.0,27438.747,247491.0,626540.0
2008-09-01,45407.907,398808.0,1050882.0,0.0,0.0,0.0,7616.564,66895.0,176271.0,25941.529000000002,227839.0,600369.0
2008-10-01,18394.577,187523.0,439954.0,0.0,0.0,0.0,12658.059000000001,129042.0,302750.0,28928.364,294910.0,691897.0
2008-11-01,19994.614,184562.0,445715.0,0.0,0.0,0.0,13892.152,128233.0,309680.0,24051.233,222007.0,536144.0
2008-12-01,16433.821,153783.0,428750.0,0.0,0.0,0.0,18111.936,169486.0,472531.0,21715.243,203205.0,566540.0
2009-01-01,15877.312,146206.0,459446.0,0.0,0.0,0.0,14966.512999999999,137819.0,433090.0,20223.175,186225.0,585204.0
2009-02-01,19379.667,181032.0,581451.0,0.0,0.0,0.0,6750.631,63060.0,202540.0,18053.702,168646.0,541668.0
2009-03-01,21007.317,196765.0,606210.0,0.0,0.0,0.0,10919.491,102277.0,315105.0,18860.192000000003,176654.0,544250.0
2009-04-01,16888.131,156284.0,468099.0,0.0,0.0,0.0,12649.512,117060.0,350614.0,16698.357,154528.0,462839.0
2009-05-01,16060.244999999999,154268.0,513745.0,0.0,0.0,0.0,10967.211,105346.0,350826.0,19235.544,184768.0,615318.0
2009-06-01,26247.576,242519.0,648540.0,0.0,0.0,0.0,11173.598,103240.0,276084.0,14391.826000000001,132976.0,355601.0
2009-07-01,27856.738,255807.0,725863.0,0.0,0.0,0.0,9396.285,86286.0,244839.0,18622.977,171014.0,485259.0
2009-08-01,30545.864,277910.0,749855.0,0.0,0.0,0.0,7269.092000000001,66135.0,178445.0,19248.044,175121.0,472510.0
2009-09-01,28585.669,260522.0,700323.0,0.0,0.0,0.0,9737.341,88743.0,238556.0,18402.99,167720.0,450857.0
2009-10-01,30009.986,273344.0,752130.0,0.0,0.0,0.0,10937.945,99627.0,274134.0,18807.069000000003,171303.0,471355.0
2009-11-01,27596.706,251102.0,684019.0,0.0,0.0,0.0,11595.946,105511.0,287420.0,19016.347999999998,173029.0,471344.0
2009-12-01,26006.167,237776.0,690943.0,0.0,0.0,0.0,16037.942,146636.0,426103.0,19388.891,177274.0,515132.0
2010-01-01,18034.609,167795.0,572109.0,0.0,0.0,0.0,9951.648000000001,92591.0,315695.0,15250.743,141894.0,483797.0
2010-02-01,18163.573,167078.0,522656.0,0.0,0.0,0.0,12355.516,113653.0,355529.0,17886.911,164534.0,514695.0
2010-03-01,23271.834,212136.0,633429.0,0.0,0.0,0.0,8353.991,76151.0,227385.0,21979.175,200353.0,598245.0
2010-04-01,15859.49,146298.0,456831.0,0.0,0.0,0.0,8796.923,81148.0,253394.0,19829.587,182920.0,571189.0
2010-05-01,22047.433,200523.0,536763.0,0.0,0.0,0.0,7495.369000000001,68171.0,182481.0,28178.198,256283.0,686021.0
2010-06-01,19791.086000000003,180353.0,512075.0,0.0,0.0,0.0,5954.485000000001,54262.0,154066.0,27892.429,254180.0,721689.0
2010-07-01,18499.693,168126.0,440934.0,0.0,0.0,0.0,7604.96,69114.0,181262.0,30446.347,276698.0,725679.0
2010-08-01,24747.114,226071.0,645353.0,0.0,0.0,0.0,6180.428,56460.0,161173.0,28791.458,263017.0,750821.0
2010-09-01,35034.227,320572.0,851975.0,0.0,0.0,0.0,3441.349,31489.0,83688.0,25274.424,231268.0,614633.0
2010-10-01,20308.817,187362.0,605582.0,0.0,0.0,0.0,10011.563,92363.0,298532.0,19753.62,182240.0,589027.0
2010-11-01,26066.225,238925.0,719425.0,0.0,0.0,0.0,13090.946,119993.0,361309.0,19746.828999999998,181001.0,545010.0
2010-12-01,32746.706,298738.0,894730.0,0.0,0.0,0.0,13382.276,122083.0,365641.0,20226.018,184516.0,552631.0
2011-01-01,19932.762,183586.0,660327.0,0.0,0.0,0.0,14971.294,137890.0,495965.0,18396.944,169441.0,609449.0
2011-02-01,16724.932,156148.0,688768.0,0.0,0.0,0.0,10540.057,98405.0,434062.0,11815.011,110308.0,486567.0
2011-03-01,22094.153,205799.0,882512.0,0.0,0.0,0.0,8146.067,75878.0,325380.0,15224.78,141814.0,608127.0
2011-04-01,14927.275,139195.0,591403.0,0.0,0.0,0.0,6343.363,59151.0,251317.0,17618.362,164289.0,698021.0
2011-05-01,21540.181,199636.0,750300.0,0.0,0.0,0.0,3479.723,32250.0,121208.0,18044.096,167234.0,628523.0
2011-06-01,31582.742,289550.0,806006.0,0.0,0.0,0.0,6922.123,63462.0,176656.0,27511.135,252221.0,702097.0
2011-07-01,34847.607,317586.0,862791.0,0.0,0.0,0.0,6691.86,60987.0,165684.0,28709.533,261646.0,710819.0
2011-08-01,34625.307,317820.0,855119.0,0.0,0.0,0.0,7415.774,68068.0,183143.0,27830.919,255456.0,687322.0
2011-09-01,34145.703,313034.0,786929.0,0.0,0.0,0.0,7660.802,70231.0,176553.0,26652.495,244339.0,614239.0
2011-10-01,28927.95,269956.0,796946.0,0.0,0.0,0.0,10370.462,96777.0,285700.0,19747.588,184285.0,544033.0
2011-11-01,26348.06,245070.0,713509.0,0.0,0.0,0.0,12528.514,116531.0,339274.0,18594.426,172951.0,503540.0
2011-12-01,23581.171,221591.0,764636.0,0.0,0.0,0.0,9057.565,85113.0,293698.0,16232.264,152534.0,526343.0
2012-01-01,22684.075,211215.0,713997.0,0.0,0.0,0.0,13116.294,122128.0,412844.0,17180.631,159972.0,540772.0
2012-02-01,22369.402,206073.0,615650.0,0.0,0.0,0.0,13693.001,126143.0,376859.0,20794.597,191565.0,572309.0
2012-03-01,41683.971,380415.0,1036557.0,0.0,0.0,0.0,11224.848,102440.0,279129.0,24876.181,227024.0,618597.0
2012-04-01,26894.169,248428.0,753929.0,0.0,0.0,0.0,11358.337,104920.0,318410.0,20230.494,186874.0,567125.0
2012-05-01,37498.523,342259.0,892648.0,0.0,0.0,0.0,9304.813,84928.0,221500.0,28197.664,257368.0,671242.0
2012-06-01,39379.074,360687.0,944652.0,0.0,0.0,0.0,5390.895,49377.0,129320.0,27659.031,253339.0,663503.0
2012-07-01,38379.122,351696.0,970422.0,0.0,0.0,0.0,6901.194,63241.0,174498.0,26216.684,240243.0,662893.0
2012-08-01,37112.224,340309.0,959673.0,0.0,0.0,0.0,8768.582,80406.0,226744.0,25894.194,237443.0,669590.0
2012-09-01,32123.994,294329.0,817521.0,0.0,0.0,0.0,8645.801,79215.0,220026.0,23416.205,214546.0,595917.0
2012-10-01,19924.793,186186.0,599925.0,0.0,0.0,0.0,11786.062,110134.0,354872.0,18023.145,168416.0,542668.0
2012-11-01,33717.701,311679.0,976118.0,0.0,0.0,0.0,5587.586,51650.0,161759.0,19280.713,178227.0,558171.0
2012-12-01,28663.589,269850.0,927900.0,0.0,0.0,0.0,3843.416,36183.0,124419.0,16817.995,158331.0,544433.0
2013-01-01,32812.956,303045.0,959014.0,0.0,0.0,0.0,8265.124,76333.0,241562.0,19782.92,182706.0,578189.0
2013-02-01,28316.153,265714.0,924632.0,0.0,0.0,0.0,3381.211,31729.0,110410.0,15124.636,141927.0,493878.0
2013-03-01,25408.578,239991.0,947077.0,0.0,0.0,0.0,7129.515,67340.0,265745.0,14322.907,135284.0,533871.0
2013-04-01,20186.959,187106.0,584393.0,0.0,0.0,0.0,12225.231,113311.0,353909.0,21238.81,196855.0,614843.0
2013-05-01,20580.242,192567.0,647493.0,0.0,0.0,0.0,5630.568,52685.0,177148.0,19813.19,185390.0,623360.0
2013-06-01,24710.387,230545.0,778996.0,0.0,0.0,0.0,7670.63,71566.0,241817.0,19704.983,183845.0,621200.0
2013-07-01,36234.274,335995.0,1020625.0,0.0,0.0,0.0,6438.776,59706.0,181364.0,22768.95,211133.0,641342.0
2013-08-01,37942.402,349975.0,1066892.0,0.0,0.0,0.0,6608.693,60958.0,185828.0,22610.905,208560.0,635790.0
2013-09-01,33884.96,311628.0,908571.0,0.0,0.0,0.0,6260.117,57572.0,167855.0,23226.923,213610.0,622793.0
2013-10-01,29232.671,273632.0,971804.0,0.0,0.0,0.0,3504.472,32804.0,116502.0,17413.857,163002.0,578902.0
2013-11-01,24594.557,231032.0,867609.0,0.0,0.0,0.0,3256.62,30591.0,114882.0,14464.823,135877.0,510268.0
2013-12-01,22776.421,218515.0,968060.0,0.0,0.0,0.0,4235.859,40638.0,180036.0,12187.72,116928.0,518011.0
2014-01-01,18496.308,170527.0,729517.0,0.0,0.0,0.0,10040.645,92570.0,396015.0,10449.047,96335.0,412123.0
2014-02-01,16364.963,151119.0,737116.0,0.0,0.0,0.0,7722.79,71315.0,347852.0,7052.247,65123.0,317650.0
2014-03-01,21812.454,227850.0,1075136.0,0.0,0.0,0.0,5008.809,52321.0,246884.0,7655.737,79971.0,377351.0
2014-04-01,28029.278,264732.0,904729.0,0.0,0.0,0.0,9053.542,85509.0,292230.0,13764.18,130001.0,444280.0
2014-05-01,25114.049,235079.0,768428.0,0.0,0.0,0.0,6217.585,58200.0,190243.0,18856.366,176505.0,576958.0
2014-06-01,14269.45,152972.0,626175.0,0.0,0.0,0.0,2658.867,28504.0,116677.0,12890.683,138192.0,565672.0
2014-07-01,24950.265,233616.0,823231.0,0.0,0.0,0.0,3306.001,30955.0,109081.0,18641.734,174547.0,615082.0
2014-08-01,27759.082,259248.0,815583.0,0.0,0.0,0.0,4378.159,40889.0,128634.0,22398.759,209187.0,658093.0
2014-09-01,23934.092,225210.0,804564.0,0.0,0.0,0.0,4362.705,41051.0,146656.0,18475.203,173844.0,621059.0
2014-10-01,26650.019,245812.0,702723.0,0.0,0.0,0.0,3648.179,33650.0,96197.0,26646.802,245783.0,702638.0
2014-11-01,21435.17,203990.0,730710.0,0.0,0.0,0.0,3075.288,29266.0,104834.0,17008.542,161863.0,579809.0
2014-12-01,35664.543,331118.0,1022489.0,0.0,0.0,0.0,4148.472,38515.0,118935.0,20999.985,194969.0,602062.0
2015-01-01,36450.457,337965.0,1012932.0,0.0,0.0,0.0,8246.212,76458.0,229156.0,22709.331,210558.0,631076.0
2015-02-01,26820.505,255670.0,886780.0,0.0,0.0,0.0,6730.169,64156.0,222523.0,14421.326,137473.0,476819.0
2015-03-01,27055.335,255495.0,923316.0,0.0,0.0,0.0,11721.763,110693.0,400028.0,14509.902,137023.0,495179.0
2015-04-01,32529.127,299982.0,782412.0,0.0,0.0,0.0,3338.02,30783.0,80288.0,23695.853,218522.0,569948.0
2015-05-01,40824.068,373744.0,1012882.0,0.0,0.0,0.0,6351.98,58152.0,157598.0,24585.952,225084.0,610000.0
2015-06-01,43287.634,396422.0,1034110.0,0.0,0.0,0.0,5913.279,54153.0,141264.0,24901.087,228041.0,594869.0
2015-07-01,42055.755,388321.0,1129615.0,0.0,0.0,0.0,6900.257,63713.0,185341.0,20690.988,191050.0,555759.0
2015-08-01,44959.489,412369.0,1118337.0,0.0,0.0,0.0,8096.584,74262.0,201397.0,23702.927,217404.0,589594.0
2015-09-01,38167.839,352373.0,1021586.0,0.0,0.0,0.0,5486.642,50654.0,146853.0,21942.519,202578.0,587305.0
2015-10-01,22410.999,228875.0,769440.0,0.0,0.0,0.0,7365.362,75220.0,252876.0,17266.639,176338.0,592818.0
2015-11-01,30715.043,285758.0,885968.0,0.0,0.0,0.0,10612.868,98737.0,306126.0,18595.089,173000.0,536371.0
2015-12-01,27976.596,259475.0,784205.0,0.0,0.0,0.0,13407.527,124351.0,375823.0,19565.877,181468.0,548446.0
2016-01-01,24450.286,161743.0,769660.0,0.0,0.0,0.0,11058.789,73156.0,348115.0,18031.925,119285.0,567619.0
2016-02-01,27359.744,179461.0,813289.0,0.0,0.0,0.0,7877.753,51673.0,234172.0,19465.503,127680.0,578627.0
2016-03-01,27912.97,198607.0,895160.0,0.0,0.0,0.0,5431.617,38647.0,174190.0,19559.413,139169.0,627264.0
2016-04-01,16708.557,118256.0,599329.0,0.0,0.0,0.0,6987.557,49455.0,250641.0,16415.886,116185.0,588831.0
2016-05-01,26313.734,170579.0,654032.0,0.0,0.0,0.0,11437.505,74144.0,284281.0,25625.761,166119.0,636932.0
2016-06-01,9634.18,64911.0,327545.0,0.0,0.0,0.0,11039.235,74377.0,375314.0,13974.585,94154.0,475110.0
2016-07-01,11503.137,78833.0,417624.0,0.0,0.0,0.0,7400.733,50719.0,268685.0,16371.13,112194.0,594357.0
2016-08-01,26750.88,175862.0,793899.0,0.0,0.0,0.0,4022.851,26446.0,119388.0,19240.269,126487.0,571003.0
2016-09-01,16262.282,107941.0,515722.0,0.0,0.0,0.0,7323.456,48609.0,232247.0,16799.262,111505.0,532752.0
2016-10-01,22836.833,147343.0,614970.0,0.0,0.0,0.0,7826.273,50495.0,210753.0,21185.894,136691.0,570512.0
2016-11-01,22328.524,147961.0,614658.0,0.0,0.0,0.0,8369.932,55464.0,230407.0,19623.544,130037.0,540195.0
2016-12-01,24060.937,158519.0,710495.0,0.0,0.0,0.0,9166.073,60388.0,270665.0,16583.99,109259.0,489708.0
2017-01-01,28955.672,190374.0,965064.0,0.0,0.0,0.0,9942.453,65368.0,331372.0,13987.875,91965.0,466202.0
2017-02-01,17570.053,116906.0,559366.0,0.0,0.0,0.0,7576.618,50413.0,241211.0,16733.329,111338.0,532727.0
2017-03-01,27393.399,178774.0,833485.0,0.0,0.0,0.0,5982.207,39041.0,182018.0,21167.394,138142.0,644049.0
2017-04-01,17652.51,116873.0,558040.0,0.0,0.0,0.0,6490.322,42971.0,205175.0,18065.168,119605.0,571085.0
2017-05-01,12854.413,87888.0,547439.0,0.0,0.0,0.0,3759.993,25708.0,160129.0,14571.594,99629.0,620570.0
2017-06-01,14375.919,96510.0,552786.0,0.0,0.0,0.0,9170.64,61565.0,352632.0,12886.441,86511.0,495513.0
2017-07-01,13731.145,91711.0,516839.0,0.0,0.0,0.0,9783.681,65346.0,368257.0,13530.174,90369.0,509275.0
2017-08-01,25384.278,163780.0,749695.0,0.0,0.0,0.0,9598.292,61928.0,283474.0,21811.43,140728.0,644175.0
2017-09-01,6173.928,41165.0,254469.0,0.0,0.0,0.0,16452.299,109696.0,678111.0,7527.773,50192.0,310271.0
2017-10-01,7380.309,48799.0,290496.0,0.0,0.0,0.0,16649.113,110084.0,655324.0,9981.578,65998.0,392884.0
2017-11-01,4728.29,32447.0,245390.0,0.0,0.0,0.0,11534.153,79151.0,598603.0,6226.557,42728.0,323148.0
2017-12-01,3016.255,20182.0,137685.0,0.0,0.0,0.0,24309.031,162657.0,1109650.0,3080.714,20614.0,140627.0
2018-01-01,2194.634,14983.0,118390.0,0.0,0.0,0.0,16845.26,115007.0,908723.0,5035.106,34376.0,271621.0
2018-02-01,4639.79,30937.0,188431.0,0.0,0.0,0.0,17724.731,118184.0,719836.0,8434.479,56239.0,342541.0
2018-03-01,9394.714,62350.0,373732.0,0.0,0.0,0.0,10649.28,70676.0,423640.0,13138.006,87194.0,522644.0
2018-04-01,10772.287,69807.0,372198.0,0.0,0.0,0.0,15383.064,99687.0,531507.0,20646.649,133796.0,713372.0
2018-05-01,22128.558,141958.0,572869.0,0.0,0.0,0.0,23005.009,147581.0,595559.0,24680.433,158329.0,638933.0
2018-06-01,12508.054,80484.0,318236.0,0.0,0.0,0.0,26001.358,167309.0,661539.0,25298.588,162786.0,643658.0
2018-07-01,12098.995,77458.0,278676.0,0.0,0.0,0.0,33837.875,216632.0,779388.0,27604.13,176723.0,635806.0
2018-08-01,13208.14,85192.0,357178.0,0.0,0.0,0.0,20545.083,132516.0,555585.0,23006.777,148394.0,622155.0
2018-09-01,5862.663,37928.0,164337.0,0.0,0.0,0.0,27052.879,175018.0,758323.0,16928.458,109518.0,474524.0
2018-10-01,7900.132,50714.0,192671.0,0.0,0.0,0.0,34600.395,222115.0,843847.0,22874.473,146841.0,557871.0
2018-11-01,6725.198,43054.0,171954.0,0.0,0.0,0.0,35334.838,226211.0,903462.0,15717.964,100625.0,401886.0
2018-12-01,10240.356,65671.0,267958.0,0.0,0.0,0.0,35092.611,225047.0,918263.0,18452.033,118332.0,482831.0
2019-01-01,18682.848,119793.0,466302.0,0.0,0.0,0.0,29215.932,187330.0,729196.0,21883.22,140313.0,546180.0
2019-02-01,4209.717,31296.0,222139.0,0.0,0.0,0.0,12280.382,91294.0,648013.0,9470.901,70408.0,499762.0
2019-03-01,5268.411,36678.0,268203.0,0.0,0.0,0.0,12722.027,88569.0,647650.0,10216.562,71126.0,520103.0
2019-04-01,4457.565,31116.0,212877.0,0.0,0.0,0.0,10621.58,74144.0,507248.0,12432.855,86787.0,593748.0
2019-05-01,13987.815,92370.0,387598.0,0.0,0.0,0.0,22604.681,149273.0,626369.0,25581.504,168930.0,708855.0
2019-06-01,18127.524,123286.0,500030.0,0.0,0.0,0.0,17114.572,116397.0,472089.0,24501.904,166638.0,675861.0
2019-07-01,15768.67,107805.0,423477.0,0.0,0.0,0.0,23091.874,157872.0,620145.0,21919.456,149856.0,588659.0
2019-08-01,24695.203,159317.0,618052.0,0.0,0.0,0.0,19810.492,127804.0,495802.0,26982.305,174072.0,675292.0
2019-09-01,13277.859,85335.0,359906.0,0.0,0.0,0.0,26152.619,168079.0,708886.0,17924.522,115198.0,485857.0
2019-10-01,11100.908,70677.0,258649.0,0.0,0.0,0.0,37856.056,241020.0,882039.0,22048.036,140375.0,513715.0
