measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2004-01-01,10033.951,59711.72,833273.46,0.0,0.0,576073.34
2004-02-01,8244.352,49061.87,684655.52,0.0,0.0,576073.34
2004-03-01,3917.719,23314.22,325348.55,0.0,0.0,576073.34
2004-04-01,3685.49,21932.24,306063.02,0.0,0.0,576073.34
2004-05-01,6835.943,40680.47,567693.64,0.0,0.0,576073.34
2004-06-01,10098.046,60093.14,838596.29,0.0,0.0,576073.34
2004-07-01,10440.61,62131.73,867044.59,0.0,0.0,576073.34
2004-08-01,7329.159000000001,43615.59,608652.94,0.0,0.0,576073.34
2004-09-01,6026.385,35862.82,500463.58,0.0,0.0,576073.34
2004-10-01,3337.7580000000003,19862.89,277185.47,0.0,0.0,576073.34
2004-11-01,4695.511,27942.83,389940.61,0.0,0.0,576073.34
2004-12-01,8597.253,51161.98,713962.34,0.0,0.0,576073.34
2005-01-01,5790.499000000001,34459.07,357924.28,,,
2005-02-01,5133.428,30548.86,317309.17,,,
2005-03-01,6125.8460000000005,36454.71,378652.86,,,
2005-04-01,6280.495,37375.02,388212.08,,,
2005-05-01,5094.985000000001,30320.09,314932.93,,,
2005-06-01,8668.074,51583.42,535793.94,,,
2005-07-01,11170.033,66472.5,690445.88,,,
2005-08-01,11942.437,71069.05,738189.95,,,
2005-09-01,7900.031,47012.83,488319.43,,,
2005-10-01,5463.283,32511.82,337698.32,,,
2005-11-01,4903.9130000000005,29183.03,303122.32,,,
2005-12-01,5298.357,31530.35,327503.86,,,
2006-01-01,4702.621,27985.14,428669.88,,,
2006-02-01,4688.915,27903.58,427420.44,,,
2006-03-01,5115.353,30441.3,466292.62,,,
2006-04-01,4300.804,25593.94,392041.98,,,
2006-05-01,4172.078,24827.9,380307.93,,,
2006-06-01,5336.892,31759.68,486487.2,,,
2006-07-01,7992.3330000000005,47562.11,728545.21,,,
2006-08-01,7524.567,44778.45,685905.75,,,
2006-09-01,5337.176,31761.35,486512.99,,,
2006-10-01,5952.265,35421.73,542581.74,,,
2006-11-01,5119.743,30467.42,466692.81,,,
2006-12-01,5002.715,29770.99,456025.06,,,
2007-01-01,1675.266,9969.0,28469.0,,,
2007-02-01,1448.8780000000002,8623.0,24622.0,,,
2007-03-01,1561.078,9290.0,26528.0,,,
2007-04-01,1331.4370000000001,7923.0,22625.0,,,
2007-05-01,1367.4370000000001,8137.0,23238.0,,,
2007-06-01,1365.183,8124.0,23200.0,,,
2007-07-01,1351.492,8043.0,22967.0,,,
2007-08-01,1279.0710000000001,7611.0,21736.0,,,
2007-09-01,1332.114,7927.0,22638.0,,,
2007-10-01,1542.612,9180.0,26214.0,,,
2007-11-01,1655.616,9852.0,28134.0,,,
2007-12-01,1777.834,10580.0,30212.0,,,
