measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2010-01-01,,,,,,,0.0,0.0,0.0
2010-02-01,,,,,,,0.0,0.0,0.0
2010-03-01,,,,,,,0.0,0.0,0.0
2010-04-01,,,,,,,0.0,0.0,0.0
2010-05-01,,,,,,,0.0,0.0,0.0
2010-06-01,,,,,,,0.0,0.0,0.0
2010-07-01,,,,,,,0.0,0.0,0.0
2010-08-01,,,,,,,0.0,0.0,0.0
2010-09-01,,,,,,,0.0,0.0,0.0
2010-10-01,,,,,,,0.0,0.0,0.0
2010-11-01,,,,,,,0.0,0.0,0.0
2010-12-01,,,,,,,0.0,0.0,0.0
2011-01-01,,,,,,,449.263,4365.0,4365.0
2011-02-01,,,,,,,407.26,3957.0,3957.0
2011-03-01,,,,,,,406.125,3946.0,3946.0
2011-04-01,,,,,,,484.578,4708.0,4708.0
2011-05-01,,,,,,,542.178,5268.0,5268.0
2011-06-01,,,,,,,435.756,4234.0,4234.0
2011-07-01,,,,,,,321.633,3125.0,3125.0
2011-08-01,,,,,,,369.214,3587.0,3587.0
2011-09-01,,,,,,,358.084,3479.0,3479.0
2011-10-01,,,,,,,550.123,5345.0,5345.0
2011-11-01,,,,,,,600.276,5832.0,5832.0
2011-12-01,,,,,,,617.51,6000.0,6000.0
2012-01-01,,,,,,,571.57,5439.0,5439.0
2012-02-01,,,,,,,495.754,4718.0,4718.0
2012-03-01,,,,,,,511.557,4868.0,4868.0
2012-04-01,,,,,,,501.479,4772.0,4772.0
2012-05-01,,,,,,,388.422,3696.0,3696.0
2012-06-01,,,,,,,444.456,4229.0,4229.0
2012-07-01,,,,,,,317.336,3020.0,3020.0
2012-08-01,,,,,,,394.483,3754.0,3754.0
2012-09-01,,,,,,,316.961,3016.0,3016.0
2012-10-01,,,,,,,430.737,4099.0,4099.0
2012-11-01,,,,,,,449.728,4280.0,4280.0
2012-12-01,,,,,,,614.517,5848.0,5848.0
2013-01-01,,,,,,,484.052,4618.0,4618.0
2013-02-01,,,,,,,514.818,4912.0,4912.0
2013-03-01,,,,,,,497.603,4748.0,4748.0
2013-04-01,,,,,,,409.191,3904.0,3904.0
2013-05-01,,,,,,,413.537,3946.0,3946.0
2013-06-01,,,,,,,425.379,4059.0,4059.0
2013-07-01,,,,,,,364.202,3475.0,3475.0
2013-08-01,,,,,,,274.172,2616.0,2616.0
2013-09-01,,,,,,,393.052,3750.0,3750.0
2013-10-01,,,,,,,479.653,4576.0,4576.0
2013-11-01,,,,,,,448.424,4278.0,4278.0
2013-12-01,,,,,,,506.917,4836.0,4836.0
2014-01-01,,,,,,,22.386,213.0,213.0
2014-02-01,,,,,,,15.351,146.0,146.0
2014-03-01,,,,,,,19.108,182.0,182.0
2014-04-01,,,,,,,21.013,200.0,200.0
2014-05-01,,,,,,,16.724,159.0,159.0
2014-06-01,,,,,,,15.913,151.0,151.0
2014-07-01,,,,,,,11.735,112.0,112.0
2014-08-01,,,,,,,10.366,99.0,99.0
2014-09-01,,,,,,,14.522,138.0,138.0
2014-10-01,,,,,,,18.131,172.0,172.0
2014-11-01,,,,,,,23.034,219.0,219.0
2014-12-01,,,,,,,18.717,178.0,178.0
2015-01-01,,,,,,,391.483,3648.0,3648.0
2015-02-01,,,,,,,322.575,3006.0,3006.0
2015-03-01,,,,,,,351.522,3276.0,3276.0
2015-04-01,,,,,,,342.898,3195.0,3195.0
2015-05-01,,,,,,,322.049,3001.0,3001.0
2015-06-01,,,,,,,218.24,2034.0,2034.0
2015-07-01,,,,,,,229.501,2139.0,2139.0
2015-08-01,,,,,,,286.136,2667.0,2667.0
2015-09-01,,,,,,,242.231,2257.0,2257.0
2015-10-01,,,,,,,342.874,3195.0,3195.0
2015-11-01,,,,,,,339.296,3162.0,3162.0
2015-12-01,,,,,,,448.195,4177.0,4177.0
2016-01-01,,,,,,,97.895,904.0,904.0
2016-02-01,,,,,,,125.266,1156.0,1156.0
2016-03-01,,,,,,,117.21,1082.0,1082.0
2016-04-01,,,,,,,108.063,998.0,998.0
2016-05-01,,,,,,,92.18,851.0,851.0
2016-06-01,,,,,,,69.482,641.0,641.0
2016-07-01,,,,,,,78.912,729.0,729.0
2016-08-01,,,,,,,72.787,672.0,672.0
2016-09-01,,,,,,,91.644,846.0,846.0
2016-10-01,,,,,,,98.925,913.0,913.0
2016-11-01,,,,,,,115.958,1071.0,1071.0
2016-12-01,,,,,,,108.678,1003.0,1003.0
2017-01-01,,,,,,,109.602,1010.0,1010.0
2017-02-01,,,,,,,105.52,972.0,972.0
2017-03-01,,,,,,,114.97,1059.0,1059.0
2017-04-01,,,,,,,118.997,1096.0,1096.0
2017-05-01,,,,,,,111.646,1029.0,1029.0
2017-06-01,,,,,,,82.511,760.0,760.0
2017-07-01,,,,,,,66.234,610.0,610.0
2017-08-01,,,,,,,81.134,747.0,747.0
2017-09-01,,,,,,,76.318,703.0,703.0
2017-10-01,,,,,,,121.791,1122.0,1122.0
2017-11-01,,,,,,,110.349,1017.0,1017.0
2017-12-01,,,,,,,125.928,1160.0,1160.0
2018-01-01,,,,,,,7.461,68.0,68.0
2018-02-01,,,,,,,6.307,57.0,57.0
2018-03-01,,,,,,,8.703,79.0,79.0
2018-04-01,,,,,,,8.557,78.0,78.0
2018-05-01,,,,,,,6.056,55.0,55.0
2018-06-01,,,,,,,6.932,63.0,63.0
2018-07-01,,,,,,,6.412,58.0,58.0
2018-08-01,,,,,,,6.226,57.0,57.0
2018-09-01,,,,,,,6.076,55.0,55.0
2018-10-01,,,,,,,6.303,57.0,57.0
2018-11-01,,,,,,,6.566,60.0,60.0
2018-12-01,,,,,,,7.401,67.0,67.0
2019-01-01,-1.987,0.0,0.0,25.432,226.0,226.0,137.176,1222.0,1222.0
2019-02-01,-1.77,0.0,0.0,26.798,239.0,239.0,124.105,1105.0,1105.0
2019-03-01,-2.483,0.0,0.0,39.921,355.0,355.0,135.607,1208.0,1208.0
2019-04-01,-2.182,0.0,0.0,46.996,418.0,418.0,148.638,1324.0,1324.0
2019-05-01,-2.053,0.0,0.0,50.034,446.0,446.0,127.672,1137.0,1137.0
2019-06-01,-2.069,0.0,0.0,56.278,501.0,501.0,114.538,1020.0,1020.0
2019-07-01,-1.801,0.0,0.0,53.27,474.0,474.0,131.372,1170.0,1170.0
2019-08-01,-2.25,0.0,0.0,54.228,483.0,483.0,115.83,1031.0,1031.0
2019-09-01,-2.104,0.0,0.0,44.763,399.0,399.0,152.664,1359.0,1359.0
2019-10-01,-2.195,0.0,0.0,44.0,392.0,392.0,134.913,1201.0,1201.0
2019-11-01,-1.936,0.0,0.0,27.347,244.0,244.0,137.088,1221.0,1221.0
2019-12-01,-2.17,0.0,0.0,19.933,178.0,178.0,129.397,1152.0,1152.0
