measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,,,,40666.0,430541.0,430541.0,11059.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,,,,36293.0,383973.0,383973.0,10065.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,,,,,,,35029.0,355669.0,355669.0,9619.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,,,,37398.0,380569.0,380569.0,10162.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,,,,36587.0,364663.0,364663.0,10695.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,,,,35784.0,358884.0,358884.0,10495.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,,,,38069.0,369276.0,384947.0,11587.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,,,,37413.0,364364.0,377575.0,11186.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,,,,38314.0,373868.0,386294.0,11278.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,,,,36987.0,372901.0,372901.0,10472.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,,,,40069.0,385604.0,398608.0,10961.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,,,,40982.0,404094.0,404094.0,10840.0,0.0,0.0
