measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2002-01-01,0.6990000000000001,12.0,12.0,2.875,29.25,29.25,0.311,4.0,4.0
2002-02-01,0.631,11.0,11.0,2.592,26.37,26.37,0.28,3.0,3.0
2002-03-01,0.7190000000000001,12.0,12.0,2.955,30.06,30.06,0.319,4.0,4.0
2002-04-01,0.6930000000000001,12.0,12.0,2.8480000000000003,28.97,28.97,0.308,4.0,4.0
2002-05-01,0.643,11.0,11.0,2.645,26.91,26.91,0.28600000000000003,4.0,4.0
2002-06-01,0.771,13.0,13.0,3.169,32.24,32.24,0.343,4.0,4.0
2002-07-01,0.887,15.0,15.0,3.645,37.08,37.08,0.394,5.0,5.0
2002-08-01,0.871,15.0,15.0,3.58,36.42,36.42,0.387,5.0,5.0
2002-09-01,0.78,14.0,14.0,3.208,32.63,32.63,0.34700000000000003,4.0,4.0
2002-10-01,0.751,13.0,13.0,3.0860000000000003,31.39,31.39,0.334,4.0,4.0
2002-11-01,0.767,13.0,13.0,3.1510000000000002,32.06,32.06,0.341,4.0,4.0
2002-12-01,0.789,14.0,14.0,3.244,33.0,33.0,0.35100000000000003,4.0,4.0
2003-01-01,0.365,36.0,36.0,0.183,1.87,1.87,0.091,0.0,0.0
2003-02-01,0.31,30.0,30.0,0.155,1.59,1.59,0.078,0.0,0.0
2003-03-01,0.343,33.0,33.0,0.171,1.75,1.75,0.08600000000000001,0.0,0.0
2003-04-01,0.29700000000000004,29.0,29.0,0.149,1.53,1.53,0.07400000000000001,0.0,0.0
2003-05-01,0.268,26.0,26.0,0.134,1.37,1.37,0.067,0.0,0.0
2003-06-01,0.32,31.0,31.0,0.16,1.64,1.64,0.08,0.0,0.0
2003-07-01,0.387,38.0,38.0,0.194,1.99,1.99,0.097,0.0,0.0
2003-08-01,0.365,36.0,36.0,0.182,1.86,1.86,0.091,0.0,0.0
2003-09-01,0.339,33.0,33.0,0.17,1.74,1.74,0.085,0.0,0.0
2003-10-01,0.332,32.0,32.0,0.166,1.7,1.7,0.083,0.0,0.0
2003-11-01,0.316,31.0,31.0,0.158,1.62,1.62,0.079,0.0,0.0
2003-12-01,0.35700000000000004,35.0,35.0,0.17900000000000002,1.83,1.83,0.08900000000000001,0.0,0.0
2004-01-01,,,,20.702,207.48,207.48,,,
2004-02-01,,,,13.761000000000001,137.91,137.91,,,
2004-03-01,,,,50.541000000000004,506.52,506.52,,,
2004-04-01,,,,32.492000000000004,325.63,325.63,,,
2004-05-01,,,,55.831,559.54,559.54,,,
2004-06-01,,,,24.612000000000002,246.66,246.66,,,
2004-07-01,,,,10.002,100.24,100.24,,,
2004-08-01,,,,7.487,75.03,75.03,,,
2004-09-01,,,,8.699,87.18,87.18,,,
2004-10-01,,,,9.563,95.84,95.84,,,
2004-11-01,,,,14.443000000000001,144.75,144.75,,,
2004-12-01,,,,25.869,259.26,259.26,,,
2005-01-01,5.207,38.93,38.93,32.482,324.79,324.79,0.24200000000000002,1.6,1.6
2005-02-01,1.7890000000000001,13.37,13.37,28.084,280.82,280.82,0.193,1.28,1.28
2005-03-01,1.983,14.82,14.82,30.765,307.62,307.62,0.268,1.77,1.77
2005-04-01,2.402,17.96,17.96,29.387,293.84,293.84,0.255,1.68,1.68
2005-05-01,2.2310000000000003,16.68,16.68,26.583000000000002,265.81,265.81,0.24400000000000002,1.61,1.61
2005-06-01,2.895,21.64,21.64,29.943,299.4,299.4,0.46,3.04,3.04
2005-07-01,2.947,22.04,22.04,32.141,321.37,321.37,0.605,4.0,4.0
2005-08-01,3.462,25.89,25.89,27.195,271.92,271.92,0.601,3.97,3.97
2005-09-01,2.266,16.95,16.95,22.502000000000002,225.0,225.0,0.364,2.4,2.4
2005-10-01,2.517,18.82,18.82,19.205,192.03,192.03,0.258,1.7,1.7
2005-11-01,2.023,15.13,15.13,20.554000000000002,205.52,205.52,0.226,1.49,1.49
2005-12-01,4.2780000000000005,31.99,31.99,25.158,251.55,251.55,0.28300000000000003,1.87,1.87
2006-01-01,3.6430000000000002,37.0,37.0,82.24900000000001,816.0,816.0,0.044000000000000004,1.0,1.0
2006-02-01,1.9060000000000001,19.0,19.0,74.165,736.0,736.0,0.05,1.0,1.0
2006-03-01,1.601,16.0,16.0,65.34,648.0,648.0,0.066,1.0,1.0
2006-04-01,3.068,31.0,31.0,71.12,705.0,705.0,0.055,1.0,1.0
2006-05-01,2.867,29.0,29.0,84.08800000000001,834.0,834.0,0.07200000000000001,1.0,1.0
2006-06-01,2.6060000000000003,27.0,27.0,82.622,820.0,820.0,0.093,1.0,1.0
2006-07-01,3.775,39.0,39.0,86.64,859.0,859.0,0.166,3.0,3.0
2006-08-01,3.6620000000000004,37.0,37.0,86.01400000000001,853.0,853.0,0.14700000000000002,2.0,2.0
2006-09-01,1.6820000000000002,17.0,17.0,55.834,554.0,554.0,0.08700000000000001,1.0,1.0
2006-10-01,1.7770000000000001,18.0,18.0,49.221000000000004,488.0,488.0,0.094,1.0,1.0
2006-11-01,2.093,21.0,21.0,57.654,572.0,572.0,0.063,1.0,1.0
2006-12-01,2.319,24.0,24.0,61.052,606.0,606.0,0.064,1.0,1.0
2007-01-01,0.202,0.0,0.0,63.048,623.0,623.0,0.031,0.0,0.0
2007-02-01,1.095,12.0,12.0,30.144000000000002,298.0,298.0,0.05,1.0,1.0
2007-03-01,0.35900000000000004,6.0,6.0,93.348,923.0,923.0,0.033,0.0,0.0
2007-04-01,0.21300000000000002,0.0,0.0,97.84400000000001,967.0,967.0,0.033,0.0,0.0
2007-05-01,0.5770000000000001,6.0,6.0,56.102000000000004,555.0,555.0,0.042,0.0,0.0
2007-06-01,0.535,6.0,6.0,16.778000000000002,166.0,166.0,0.054,1.0,1.0
2007-07-01,0.541,6.0,6.0,17.181,170.0,170.0,0.05,1.0,1.0
2007-08-01,1.211,12.0,12.0,20.53,203.0,203.0,0.083,1.0,1.0
2007-09-01,0.56,6.0,6.0,13.273000000000001,131.0,131.0,0.04,0.0,0.0
2007-10-01,0.753,6.0,6.0,23.29,230.0,230.0,0.041,0.0,0.0
2007-11-01,0.149,0.0,0.0,16.995,168.0,168.0,0.027,0.0,0.0
2007-12-01,0.28200000000000003,6.0,6.0,57.466,568.0,568.0,0.04,0.0,0.0
2008-01-01,0.402,6.0,6.0,46.552,459.0,459.0,0.057,1.0,1.0
2008-02-01,0.505,6.0,6.0,50.135000000000005,494.0,494.0,0.045000000000000005,1.0,1.0
2008-03-01,0.8210000000000001,6.0,6.0,53.72,529.0,529.0,0.055,1.0,1.0
2008-04-01,0.35000000000000003,6.0,6.0,64.316,634.0,634.0,0.027,0.0,0.0
2008-05-01,0.5,6.0,6.0,33.911,334.0,334.0,0.022000000000000002,0.0,0.0
2008-06-01,1.2,12.0,12.0,50.374,496.0,496.0,0.06,1.0,1.0
2008-07-01,0.683,6.0,6.0,30.618000000000002,302.0,302.0,0.07200000000000001,1.0,1.0
2008-08-01,0.497,6.0,6.0,27.351000000000003,270.0,270.0,0.066,1.0,1.0
2008-09-01,0.48400000000000004,6.0,6.0,54.358000000000004,536.0,536.0,0.036000000000000004,0.0,0.0
2008-10-01,0.23,0.0,0.0,19.119,188.0,188.0,0.023,0.0,0.0
2008-11-01,0.36,6.0,6.0,23.474,231.0,231.0,0.024,0.0,0.0
2008-12-01,0.446,6.0,6.0,43.072,424.0,424.0,0.035,0.0,0.0
2009-01-01,0.882,6.0,6.0,43.01,420.0,420.0,0.0,0.0,0.0
2009-02-01,0.41600000000000004,6.0,6.0,62.425,609.0,609.0,0.0,0.0,0.0
2009-03-01,0.629,6.0,6.0,107.75800000000001,1052.0,1052.0,0.0,0.0,0.0
2009-04-01,0.631,6.0,6.0,169.74200000000002,1657.0,1657.0,0.0,0.0,0.0
2009-05-01,1.0110000000000001,6.0,6.0,64.955,634.0,634.0,0.0,0.0,0.0
2009-06-01,1.12,12.0,12.0,43.039,420.0,420.0,0.0,0.0,0.0
2009-07-01,0.646,6.0,6.0,18.416,180.0,180.0,0.0,0.0,0.0
2009-08-01,0.771,6.0,6.0,20.916,204.0,204.0,0.0,0.0,0.0
2009-09-01,0.442,6.0,6.0,19.504,190.0,190.0,0.0,0.0,0.0
2009-10-01,0.627,6.0,6.0,40.273,393.0,393.0,0.0,0.0,0.0
2009-11-01,0.384,6.0,6.0,48.952000000000005,478.0,478.0,0.0,0.0,0.0
2009-12-01,0.441,6.0,6.0,45.01,439.0,439.0,0.0,0.0,0.0
2010-01-01,0.435,6.0,6.0,58.617000000000004,572.0,572.0,0.0,0.0,0.0
2010-02-01,0.34900000000000003,6.0,6.0,40.626000000000005,396.0,396.0,0.0,0.0,0.0
2010-03-01,0.399,6.0,6.0,110.42800000000001,1077.0,1077.0,0.0,0.0,0.0
2010-04-01,0.403,6.0,6.0,122.141,1192.0,1192.0,0.0,0.0,0.0
2010-05-01,0.86,12.0,12.0,77.71600000000001,758.0,758.0,0.0,0.0,0.0
2010-06-01,0.611,6.0,6.0,118.23700000000001,1154.0,1154.0,0.0,0.0,0.0
