measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2019-01-01,28.662,326.0,491.0,14.923,133.0,133.0
2019-02-01,27.398,312.0,470.0,13.3,118.0,118.0
2019-03-01,25.506,290.0,437.0,15.104,135.0,135.0
2019-04-01,22.443,255.0,385.0,14.393,128.0,128.0
2019-05-01,21.757,247.0,373.0,9.659,86.0,86.0
2019-06-01,28.984,330.0,496.0,10.522,94.0,94.0
2019-07-01,49.326,561.0,845.0,7.775,69.0,69.0
2019-08-01,43.121,490.0,739.0,8.176,73.0,73.0
2019-09-01,30.806,350.0,527.0,8.936,80.0,80.0
2019-10-01,25.975,295.0,445.0,12.609,112.0,112.0
2019-11-01,27.426,312.0,470.0,11.926,106.0,106.0
2019-12-01,30.596,348.0,524.0,15.677,140.0,140.0
2020-01-01,16.298,185.0,280.0,45.988,403.0,403.0
2020-02-01,15.313,174.0,262.0,46.615,409.0,409.0
2020-03-01,14.991,170.0,257.0,56.191,493.0,493.0
2020-04-01,10.697,122.0,184.0,53.684,471.0,471.0
2020-05-01,12.499,142.0,214.0,37.892,332.0,332.0
2020-06-01,19.883,226.0,341.0,28.904,253.0,253.0
2020-07-01,28.629,326.0,490.0,32.518,285.0,285.0
2020-08-01,25.501,290.0,437.0,29.524,259.0,259.0
2020-09-01,20.01,228.0,343.0,41.891,367.0,367.0
2020-10-01,14.986,170.0,257.0,44.788,393.0,393.0
2020-11-01,15.448,176.0,264.0,67.007,587.0,587.0
2020-12-01,15.745,179.0,269.0,53.998,473.0,473.0
2021-01-01,24.805,282.0,891.0,34.848,308.0,308.0
2021-02-01,20.847,237.0,747.0,42.467,376.0,376.0
2021-03-01,20.554,234.0,737.0,76.224,674.0,674.0
2021-04-01,17.482,199.0,626.0,43.875,388.0,388.0
2021-05-01,22.109,251.0,793.0,36.785,325.0,325.0
2021-06-01,31.418,357.0,1127.0,50.287,445.0,445.0
2021-07-01,34.956,398.0,1254.0,26.177,232.0,232.0
2021-08-01,38.034,433.0,1364.0,26.915,238.0,238.0
2021-09-01,25.867,294.0,928.0,41.025,363.0,363.0
2021-10-01,25.592,291.0,917.0,42.04,372.0,372.0
2021-11-01,25.786,293.0,925.0,49.363,437.0,437.0
2021-12-01,25.55,291.0,916.0,62.994,557.0,557.0
2022-01-01,19.078,217.0,924.0,27.129,93.0,93.0
2022-02-01,17.534,199.0,849.0,34.691,118.0,118.0
2022-03-01,19.204,218.0,931.0,38.083,130.0,130.0
2022-04-01,21.026,239.0,1019.0,33.361,114.0,114.0
2022-05-01,24.656,280.0,1194.0,22.305,76.0,76.0
2022-06-01,25.833,294.0,1252.0,24.966,85.0,85.0
2022-07-01,34.869,397.0,1689.0,23.275,79.0,79.0
2022-08-01,34.733,395.0,1683.0,16.462,56.0,56.0
2022-09-01,23.564,268.0,1141.0,17.462,60.0,60.0
2022-10-01,22.154,252.0,1073.0,30.146,103.0,103.0
2022-11-01,20.484,233.0,993.0,37.024,126.0,126.0
2022-12-01,21.865,249.0,1059.0,39.096,133.0,133.0
2023-01-01,33.414,380.0,981.0,0.0,0.0,0.0
2023-02-01,30.12,343.0,885.0,80.0,273.0,273.0
2023-03-01,29.231,332.0,860.0,118.0,403.0,403.0
2023-04-01,25.826,294.0,760.0,87.0,297.0,297.0
2023-05-01,29.191,332.0,858.0,22.0,75.0,75.0
2023-06-01,38.832,442.0,1141.0,25.0,85.0,85.0
2023-07-01,56.498,643.0,1660.0,15.0,51.0,51.0
2023-08-01,44.448,506.0,1307.0,29.0,99.0,99.0
2023-09-01,40.098,456.0,1179.0,15.0,51.0,51.0
2023-10-01,31.445,358.0,925.0,46.0,157.0,157.0
2023-11-01,37.757,429.0,1109.0,86.0,293.0,293.0
2023-12-01,36.14,411.0,1062.0,21.0,72.0,72.0
2024-01-01,48.163,548.0,1417.0,0.0,0.0,0.0
2024-02-01,43.708,497.0,1286.0,0.0,0.0,0.0
2024-03-01,41.997,478.0,1236.0,0.0,0.0,0.0
2024-04-01,36.112,411.0,1063.0,0.0,0.0,0.0
2024-05-01,42.717,486.0,1257.0,0.0,0.0,0.0
2024-06-01,53.011,603.0,1560.0,0.0,0.0,0.0
2024-07-01,67.738,770.0,1994.0,0.0,0.0,0.0
2024-08-01,60.278,686.0,1774.0,0.0,0.0,0.0
2024-09-01,49.726,566.0,1463.0,0.0,0.0,0.0
2024-10-01,42.298,481.0,1245.0,0.0,0.0,0.0
2024-11-01,44.231,503.0,1301.0,0.0,0.0,0.0
2024-12-01,52.021,592.0,1530.0,16.0,55.0,55.0
