measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,,,,6681.258000000001,84117.0,84117.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-02-01,,,,5593.321,70420.0,70420.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-03-01,,,,6266.2,78891.0,78891.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-04-01,,,,5507.118,69334.0,69334.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-05-01,,,,5439.08,68478.0,68478.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-06-01,,,,6120.32,77055.0,77055.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-07-01,,,,6661.887000000001,83873.0,83873.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-08-01,,,,6919.933,87122.0,87122.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-09-01,,,,6025.894,75866.0,75866.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-10-01,,,,6377.162,80288.0,80288.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-11-01,,,,5389.043000000001,67848.0,67848.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2003-12-01,,,,6045.784000000001,76116.0,76116.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2004-01-01,,,,5405.488,68398.0,68398.0,558.7040000000001,7959.0,7959.0,,,,616.93,8570.0,8570.0,35.369,391.0,391.0,,,,349.87600000000003,4601.0,4601.0
2004-02-01,,,,4764.973,60293.0,60293.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,18.047,199.0,199.0,,,,350.40200000000004,4608.0,4608.0
2004-03-01,,,,8259.074,104506.0,104506.0,52.406000000000006,747.0,747.0,,,,2149.444,29860.0,29860.0,18.769000000000002,207.0,207.0,,,,296.192,3895.0,3895.0
2004-04-01,,,,5103.282,64574.0,64574.0,44.956,640.0,640.0,,,,247.644,3440.0,3440.0,20.274,224.0,224.0,,,,277.38,3648.0,3648.0
2004-05-01,,,,3878.77,49080.0,49080.0,311.921,4443.0,4443.0,,,,2294.63,31877.0,31877.0,13.434000000000001,148.0,148.0,,,,256.856,3378.0,3378.0
2004-06-01,,,,5472.327,69244.0,69244.0,196.716,2802.0,2802.0,,,,1774.055,24645.0,24645.0,17.96,198.0,198.0,,,,317.993,4182.0,4182.0
2004-07-01,,,,5518.639,69830.0,69830.0,77.43900000000001,1103.0,1103.0,,,,808.331,11229.0,11229.0,20.857,230.0,230.0,,,,348.839,4588.0,4588.0
2004-08-01,,,,5545.885,70174.0,70174.0,60.981,869.0,869.0,,,,1806.7540000000001,25099.0,25099.0,15.36,170.0,170.0,,,,347.795,4574.0,4574.0
2004-09-01,,,,4374.611,55354.0,55354.0,118.411,1687.0,1687.0,,,,610.826,8485.0,8485.0,13.978000000000002,154.0,154.0,,,,339.002,4458.0,4458.0
2004-10-01,,,,3172.848,40147.0,40147.0,176.447,2513.0,2513.0,,,,869.37,12077.0,12077.0,17.258,191.0,191.0,,,,335.205,4409.0,4409.0
2004-11-01,,,,3407.4750000000004,43116.0,43116.0,59.942,854.0,854.0,,,,47.087,654.0,654.0,7.807,86.0,86.0,,,,311.148,4092.0,4092.0
2004-12-01,,,,1652.6280000000002,20911.0,20911.0,92.078,1312.0,1312.0,,,,146.93,2041.0,2041.0,20.885,231.0,231.0,,,,334.31,4397.0,4397.0
2005-01-01,,,,11204.117,141191.14,141191.14,25.576,367.07,367.07,,,,330.291,4614.71,4614.71,,,,,,,1051.673,13675.84,13675.84
2005-02-01,,,,9755.044,122930.33,122930.33,8.787,126.11,126.11,,,,264.235,3691.8,3691.8,,,,,,,915.6560000000001,11907.09,11907.09
2005-03-01,,,,10120.832,127539.87,127539.87,9.739,139.78,139.78,,,,366.675,5123.05,5123.05,,,,,,,949.99,12353.57,12353.57
2005-04-01,,,,9019.652,113663.12,113663.12,11.797,169.31,169.31,,,,348.06800000000004,4863.09,4863.09,,,,,,,846.628,11009.46,11009.46
2005-05-01,,,,9901.764000000001,124779.25,124779.25,10.957,157.25,157.25,,,,332.836,4650.27,4650.27,,,,,,,929.428,12086.18,12086.18
2005-06-01,,,,11028.512,138978.22,138978.22,14.221,204.09,204.09,,,,628.3,8778.37,8778.37,,,,,,,1035.19,13461.49,13461.49
2005-07-01,,,,11658.304,146914.67,146914.67,14.475,207.74,207.74,,,,827.1270000000001,11556.32,11556.32,,,,,,,1094.305,14230.22,14230.22
2005-08-01,,,,11788.014,148549.24,148549.24,17.005,244.05,244.05,,,,821.668,11480.05,11480.05,,,,,,,1106.48,14388.55,14388.55
2005-09-01,,,,10802.732,136132.99,136132.99,11.131,159.76,159.76,,,,497.46700000000004,6950.43,6950.43,,,,,,,1013.9970000000001,13185.9,13185.9
2005-10-01,,,,10201.157,128552.11,128552.11,12.361,177.41,177.41,,,,352.73400000000004,4928.27,4928.27,,,,,,,957.53,12451.62,12451.62
2005-11-01,,,,9945.656,125332.36,125332.36,9.938,142.62,142.62,,,,309.14300000000003,4319.24,4319.24,,,,,,,933.547,12139.74,12139.74
2005-12-01,,,,11107.215,139969.99,139969.99,21.013,301.57,301.57,,,,386.456,5399.42,5399.42,,,,,,,1042.577,13557.56,13557.56
2006-01-01,,,,3535.1690000000003,47121.0,47121.0,20.214000000000002,250.0,250.0,,,,633.302,7778.0,7778.0,9.299000000000001,127.0,127.0,,,,307.545,4229.0,4229.0
2006-02-01,,,,3366.86,44878.0,44878.0,10.577,131.0,131.0,,,,715.89,8792.0,8792.0,10.512,144.0,144.0,,,,292.903,4028.0,4028.0
2006-03-01,,,,3440.308,45857.0,45857.0,8.885,110.0,110.0,,,,943.3710000000001,11586.0,11586.0,13.852,189.0,189.0,,,,299.29200000000003,4115.0,4115.0
2006-04-01,,,,2926.936,39014.0,39014.0,17.02,211.0,211.0,,,,780.673,9588.0,9588.0,11.463000000000001,157.0,157.0,,,,254.631,3501.0,3501.0
2006-05-01,,,,3127.958,41694.0,41694.0,15.909,197.0,197.0,,,,1028.346,12629.0,12629.0,15.099,206.0,206.0,,,,272.119,3742.0,3742.0
2006-06-01,,,,3388.6730000000002,45169.0,45169.0,14.46,179.0,179.0,,,,1324.626,16268.0,16268.0,19.45,266.0,266.0,,,,294.8,4054.0,4054.0
2006-07-01,,,,3854.6090000000004,51379.0,51379.0,20.946,259.0,259.0,,,,2370.3740000000003,29111.0,29111.0,34.805,476.0,476.0,,,,335.335,4611.0,4611.0
2006-08-01,,,,3882.422,51750.0,51750.0,20.318,252.0,252.0,,,,2106.286,25868.0,25868.0,30.927000000000003,423.0,423.0,,,,337.754,4644.0,4644.0
2006-09-01,,,,3225.824,42998.0,42998.0,9.334,116.0,116.0,,,,1238.96,15216.0,15216.0,18.192,249.0,249.0,,,,280.63300000000004,3859.0,3859.0
2006-10-01,,,,3336.607,44475.0,44475.0,9.86,122.0,122.0,,,,1342.04,16482.0,16482.0,19.706,269.0,269.0,,,,290.271,3991.0,3991.0
2006-11-01,,,,3299.092,43975.0,43975.0,11.611,144.0,144.0,,,,902.2420000000001,11081.0,11081.0,13.248000000000001,181.0,181.0,,,,287.007,3946.0,3946.0
2006-12-01,,,,3571.543,47606.0,47606.0,12.865,159.0,159.0,,,,915.889,11248.0,11248.0,13.448,184.0,184.0,,,,310.709,4272.0,4272.0
2007-01-01,,,,1392.5240000000001,21306.0,21306.0,32.111000000000004,502.0,502.0,,,,611.096,9543.0,9543.0,10.523,161.0,161.0,,,,14.954,229.0,229.0
2007-02-01,,,,11305.265,147722.0,147722.0,71.327,1114.0,1114.0,,,,773.361,12077.0,12077.0,38.878,508.0,508.0,,,,84.857,1109.0,1109.0
2007-03-01,,,,10504.644,140020.0,140020.0,19.323,300.0,300.0,,,,318.9,4980.0,4980.0,57.692,769.0,769.0,,,,476.66400000000004,6354.0,6354.0
2007-04-01,,,,-67.0,0.0,0.0,18.729,294.0,294.0,,,,295.05600000000004,4607.0,4607.0,,,,,,,-67.0,0.0,0.0
2007-05-01,,,,209.025,5006.0,5006.0,21.039,329.0,329.0,,,,484.705,7569.0,7569.0,7.975,191.0,191.0,,,,0.0,0.0,0.0
2007-06-01,,,,9824.971000000001,123493.0,123493.0,59.753,935.0,935.0,,,,424.035,6622.0,6622.0,42.166000000000004,530.0,530.0,,,,359.862,4523.0,4523.0
2007-07-01,,,,15855.216,206006.0,206006.0,37.175,583.0,583.0,,,,465.072,7262.0,7262.0,26.784000000000002,348.0,348.0,,,,0.0,0.0,0.0
2007-08-01,,,,11241.514,153022.0,153022.0,28.909000000000002,450.0,450.0,,,,556.365,8688.0,8688.0,48.486000000000004,660.0,660.0,,,,0.0,0.0,0.0
2007-09-01,,,,-36.667,0.0,0.0,20.498,317.0,317.0,,,,123.85600000000001,1934.0,1934.0,-36.667,0.0,0.0,,,,-36.667,0.0,0.0
2007-10-01,,,,-45.333000000000006,0.0,0.0,33.44,525.0,525.0,,,,396.50600000000003,6192.0,6192.0,-45.333000000000006,0.0,0.0,,,,-45.333000000000006,0.0,0.0
2007-11-01,,,,-78.0,0.0,0.0,19.89,312.0,312.0,,,,298.34,4659.0,4659.0,,,,,,,-78.0,0.0,0.0
2007-12-01,,,,7850.062000000001,103776.0,103776.0,24.674,387.0,387.0,,,,640.839,10007.0,10007.0,49.623000000000005,656.0,656.0,,,,234.316,3098.0,3098.0
2008-01-01,,,,8901.413,116137.0,116137.0,-43.0,0.0,0.0,,,,-43.0,0.0,0.0,63.616,830.0,830.0,,,,428.971,5597.0,5597.0
2008-02-01,,,,9442.132,126642.0,126642.0,-40.0,0.0,0.0,,,,-40.0,0.0,0.0,47.941,643.0,643.0,,,,45.928000000000004,616.0,616.0
2008-03-01,,,,8732.859,115197.0,115197.0,-33.5,0.0,0.0,,,,-33.5,0.0,0.0,16.071,212.0,212.0,,,,1106.07,14590.0,14590.0
2008-04-01,,,,8425.960000000001,110262.0,110262.0,-24.5,0.0,0.0,,,,-24.5,0.0,0.0,23.231,304.0,304.0,,,,170.809,2235.0,2235.0
2008-05-01,,,,-49.989000000000004,24.0,24.0,-19.0,0.0,0.0,,,,-19.0,0.0,0.0,-63.011,30.0,30.0,,,,0.0,0.0,0.0
2008-06-01,,,,9503.83,127078.0,127078.0,110.813,1502.0,1502.0,,,,364.187,4937.0,4937.0,72.17,965.0,965.0,,,,0.0,0.0,0.0
2008-07-01,,,,18890.381,247009.0,247009.0,,,,0.0,0.0,0.0,1484.0,18491.0,18491.0,12.619,165.0,165.0,,,,0.0,0.0,0.0
2008-08-01,,,,11838.071,154964.0,154964.0,,,,0.0,0.0,0.0,601.0,7796.0,7796.0,60.044000000000004,786.0,786.0,,,,627.884,8219.0,8219.0
2008-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,-34.0,0.0,0.0,-125.0,348.0,348.0,,,,0.0,0.0,0.0
2008-10-01,,,,-39.667,0.0,0.0,,,,0.0,0.0,0.0,-42.0,0.0,0.0,-39.667,0.0,0.0,,,,-39.667,0.0,0.0
2008-11-01,,,,-50.333000000000006,0.0,0.0,0.0,0.0,0.0,,,,666.0,8459.0,8459.0,-50.333000000000006,0.0,0.0,,,,-50.333000000000006,0.0,0.0
2008-12-01,,,,-210.0,24.0,24.0,0.0,0.0,0.0,,,,1477.0,18640.0,18640.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-01-01,,,,196.49200000000002,6386.0,6386.0,,,,0.0,0.0,0.0,-80.0,0.0,0.0,11.508000000000001,374.0,374.0,,,,0.0,0.0,0.0
2009-02-01,,,,-53.334,0.0,0.0,,,,0.0,0.0,0.0,-73.0,0.0,0.0,-53.333000000000006,0.0,0.0,,,,-53.333000000000006,0.0,0.0
2009-03-01,,,,-52.666000000000004,0.0,0.0,,,,0.0,0.0,0.0,-60.0,0.0,0.0,-52.667,0.0,0.0,,,,-52.667,0.0,0.0
2009-04-01,,,,-42.0,0.0,0.0,,,,0.0,0.0,0.0,-47.0,0.0,0.0,-42.0,0.0,0.0,,,,-42.0,0.0,0.0
2009-05-01,,,,-35.666000000000004,0.0,0.0,,,,0.0,0.0,0.0,-34.0,0.0,0.0,-35.667,0.0,0.0,,,,-35.667,0.0,0.0
2009-06-01,,,,375.0,6631.0,6631.0,0.0,0.0,0.0,,,,702.0,8858.0,8858.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-07-01,,,,-35.334,0.0,0.0,0.0,0.0,0.0,,,,376.0,4712.0,4712.0,-35.333,0.0,0.0,,,,-35.333,0.0,0.0
2009-08-01,,,,-34.334,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-34.333,0.0,0.0,,,,-34.333,0.0,0.0
2009-09-01,,,,331.0,6009.0,6009.0,131.90900000000002,1668.0,1668.0,,,,6.091,77.0,77.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-10-01,,,,-39.334,0.0,0.0,0.0,0.0,0.0,,,,0.0,41.0,41.0,-39.333,0.0,0.0,,,,-39.333,0.0,0.0
2009-11-01,,,,3322.0,43355.0,43355.0,0.0,0.0,0.0,,,,201.0,2423.0,2423.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-12-01,,,,-185.0,168.0,168.0,0.0,0.0,0.0,,,,372.0,4365.0,4365.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-01-01,,,,1212.0,17692.0,17692.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-02-01,,,,-179.08,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.92,0.0,0.0,,,,0.0,0.0,0.0
2010-03-01,,,,-139.285,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.7150000000000001,0.0,0.0,,,,0.0,0.0,0.0
2010-04-01,,,,6526.798000000001,82114.0,82114.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,534.202,6721.0,6721.0
2010-05-01,,,,15902.762999999999,199324.0,199324.0,0.0,0.0,0.0,,,,351.0,4147.0,4147.0,0.0,0.0,0.0,,,,1037.237,13001.0,13001.0
2010-06-01,,,,-116.402,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.598,0.0,0.0,,,,0.0,0.0,0.0
2010-07-01,,,,-103.46900000000001,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.531,0.0,0.0,,,,0.0,0.0,0.0
2010-08-01,,,,358.0,6560.0,6560.0,109.22200000000001,1337.0,1337.0,,,,1053.778,12904.0,12904.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-09-01,,,,-99.489,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.511,0.0,0.0,,,,0.0,0.0,0.0
2010-10-01,,,,-110.433,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.5670000000000001,0.0,0.0,,,,0.0,0.0,0.0
2010-11-01,,,,-141.275,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.7250000000000001,0.0,0.0,,,,0.0,0.0,0.0
2010-12-01,,,,253.0,6847.0,6847.0,0.0,0.0,0.0,,,,558.0,6415.0,6415.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-01-01,,,,-219.109,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-13.891,0.0,0.0
2011-02-01,,,,408.0,8355.0,8355.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-03-01,,,,-173.03,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-10.97,0.0,0.0
2011-04-01,,,,-120.369,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-7.631,0.0,0.0
2011-05-01,,,,1004.621,15274.0,15274.0,0.0,0.0,0.0,,,,473.0,5822.0,5822.0,0.0,0.0,0.0,,,,82.379,1252.0,1252.0
2011-06-01,,,,-94.038,0.0,0.0,0.0,0.0,0.0,,,,389.0,4794.0,4794.0,0.0,0.0,0.0,,,,-5.962,0.0,0.0
2011-07-01,,,,994.359,14196.0,14196.0,0.0,0.0,0.0,,,,6015.0,77415.0,77415.0,0.0,0.0,0.0,,,,244.641,3493.0,3493.0
2011-08-01,,,,905.74,13335.0,13335.0,0.0,0.0,0.0,,,,794.0,10239.0,10239.0,0.0,0.0,0.0,,,,92.26,1358.0,1358.0
2011-09-01,,,,-93.098,0.0,0.0,212.631,2934.0,2934.0,,,,291.369,4021.0,4021.0,0.0,0.0,0.0,,,,-5.902,0.0,0.0
2011-10-01,,,,-100.621,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-6.379,0.0,0.0
2011-11-01,,,,956.0,14057.0,14057.0,0.0,0.0,0.0,,,,233.0,3161.0,3161.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-12-01,,,,8458.231,110846.0,110846.0,0.0,0.0,0.0,,,,506.0,5937.0,5937.0,0.0,0.0,0.0,,,,469.769,6156.0,6156.0
2012-01-01,,,,104.421,3339.0,3339.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,27.579,882.0,882.0
2012-02-01,,,,-166.452,0.0,0.0,0.0,0.0,0.0,,,,458.0,5403.0,5403.0,0.0,0.0,0.0,,,,-11.548,0.0,0.0
2012-03-01,,,,-124.371,0.0,0.0,0.0,0.0,0.0,,,,462.0,5581.0,5581.0,0.0,0.0,0.0,,,,-8.629,0.0,0.0
2012-04-01,,,,-103.798,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-7.202,0.0,0.0
2012-05-01,,,,-102.863,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-7.137,0.0,0.0
2012-06-01,,,,253.0,5186.0,5186.0,0.0,0.0,0.0,,,,1076.0,13299.0,13299.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-07-01,,,,2546.0,37801.0,37801.0,0.0,0.0,0.0,,,,3609.0,44673.0,44673.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
