measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,9325.0,101640.0,101640.0,134.0,1491.0,1491.0,,,,95215.0,1047200.0,1047200.0,954.0,10304.0,10304.0
2003-02-01,8597.0,93600.0,93600.0,46.0,510.0,510.0,,,,89053.0,986427.0,986427.0,1083.0,11788.0,11788.0
2003-03-01,10708.0,109040.0,109040.0,144.0,1566.0,1566.0,,,,99102.0,1056108.0,1056108.0,1537.0,16184.0,16184.0
2003-04-01,8142.0,91200.0,91200.0,20.0,232.0,232.0,,,,51733.0,602946.0,602946.0,0.0,0.0,0.0
2003-05-01,6481.0,68440.0,68440.0,138.0,1544.0,1544.0,,,,64078.0,703293.0,703293.0,2035.0,21840.0,21840.0
2003-06-01,9525.0,101640.0,101640.0,111.0,1217.0,1217.0,,,,101005.0,1104752.0,1104752.0,1657.0,17528.0,17528.0
2003-07-01,12054.0,132840.0,132840.0,27.0,302.0,302.0,,,,117769.0,1302889.0,1302889.0,2027.0,21784.0,21784.0
2003-08-01,12233.0,193440.0,193440.0,26.0,410.0,410.0,,,,111772.0,1787696.0,1787696.0,1263.0,19320.0,19320.0
2003-09-01,8980.0,102500.0,102500.0,13.0,145.0,145.0,1107.0,12876.0,12876.0,111488.0,1235903.0,1235903.0,1227.0,13440.0,13440.0
2003-10-01,5523.0,63000.0,63000.0,110.0,1235.0,1235.0,1541.0,17760.0,17760.0,101961.0,1120473.0,1120473.0,1266.0,13748.0,13748.0
2003-11-01,7176.0,70180.0,70180.0,19.0,191.0,191.0,0.0,0.0,0.0,108724.0,1072878.0,1072878.0,9003.0,87276.0,87276.0
2003-12-01,5028.0,57500.0,57500.0,19.0,222.0,222.0,0.0,0.0,0.0,114479.0,1249546.0,1249546.0,5920.0,64960.0,64960.0
2004-01-01,0.0,0.0,0.0,136.0,1462.0,1462.0,0.0,0.0,0.0,109265.0,1187102.0,1187102.0,3185.0,34608.0,34608.0
2004-02-01,0.0,0.0,0.0,16.0,174.0,174.0,0.0,0.0,0.0,120175.0,1315353.0,1315353.0,1564.0,17360.0,17360.0
2004-03-01,0.0,0.0,0.0,13.0,146.0,146.0,0.0,0.0,0.0,103798.0,1144049.0,1144049.0,2299.0,25340.0,25340.0
2004-04-01,0.0,0.0,0.0,188.0,2094.0,2094.0,0.0,0.0,0.0,66268.0,737406.0,737406.0,643.0,7168.0,7168.0
2004-05-01,0.0,0.0,0.0,74.0,959.0,959.0,0.0,0.0,0.0,117854.0,1537670.0,1537670.0,3061.0,39928.0,39928.0
2004-06-01,0.0,0.0,0.0,103.0,1065.0,1065.0,0.0,0.0,0.0,111520.0,1151303.0,1151303.0,2063.0,21280.0,21280.0
2004-07-01,0.0,0.0,0.0,15.0,164.0,164.0,0.0,0.0,0.0,126618.0,1387597.0,1387597.0,2342.0,25648.0,25648.0
2004-08-01,0.0,0.0,0.0,2.0,18.0,18.0,0.0,0.0,0.0,129122.0,1406515.0,1406515.0,1392.0,15176.0,15176.0
2004-09-01,0.0,0.0,0.0,12.0,135.0,135.0,0.0,0.0,0.0,119514.0,1289010.0,1289010.0,1344.0,14504.0,14504.0
2004-10-01,0.0,0.0,0.0,173.0,1907.0,1907.0,0.0,0.0,0.0,89502.0,988392.0,988392.0,1541.0,17024.0,17024.0
2004-11-01,0.0,0.0,0.0,133.0,1129.0,1129.0,0.0,0.0,0.0,107995.0,913416.0,913416.0,4054.0,34300.0,34300.0
2004-12-01,0.0,0.0,0.0,9.0,96.0,96.0,0.0,0.0,0.0,130847.0,1406448.0,1406448.0,1375.0,15064.0,15064.0
2005-01-01,25357.0,276705.0,276705.0,21.0,239.85,239.85,0.0,0.0,0.0,104655.0,1212743.49,1212743.49,1290.0,14280.0,14280.0
2005-02-01,23743.0,256284.0,256284.0,2.0,23.4,23.4,0.0,0.0,0.0,95098.0,1099234.74,1099234.74,1760.0,19208.0,19208.0
2005-03-01,20712.0,219020.0,219020.0,213.0,2404.35,2404.35,0.0,0.0,0.0,84478.0,967544.29,967544.29,913.0,9940.0,9940.0
2005-04-01,16162.0,175380.0,175380.0,82.0,930.15,930.15,0.0,0.0,0.0,63923.0,739498.26,739498.26,1739.0,19096.0,19096.0
2005-05-01,5129.0,56976.0,56976.0,124.0,1450.8,1450.8,0.0,0.0,0.0,22338.0,266122.35,266122.35,933.0,10472.0,10472.0
2005-06-01,24579.0,257409.0,257409.0,12.0,140.4,140.4,0.0,0.0,0.0,99822.0,1133904.59,1133904.59,2013.0,21812.0,21812.0
2005-07-01,25800.0,265005.0,265005.0,18.0,198.9,198.9,0.0,0.0,0.0,106846.0,1218752.99,1218752.99,1763.0,19180.0,19180.0
2005-08-01,34402.0,355992.0,355992.0,3.0,35.1,35.1,0.0,0.0,0.0,98812.0,1138844.48,1138844.48,1341.0,14588.0,14588.0
2005-09-01,32965.0,343296.0,343296.0,8.0,93.6,93.6,0.0,0.0,0.0,93965.0,1087265.65,1087265.65,1477.0,16016.0,16016.0
2005-10-01,32221.0,331905.0,331905.0,18.0,198.9,198.9,0.0,0.0,0.0,100427.0,1151172.0,1151172.0,1139.0,12292.0,12292.0
2005-11-01,25964.0,269535.0,269535.0,10.0,117.0,117.0,0.0,0.0,0.0,99703.0,1151289.52,1151289.52,1594.0,17528.0,17528.0
2005-12-01,23289.0,243211.0,243211.0,123.0,1404.0,1404.0,0.0,0.0,0.0,91445.0,1062007.36,1062007.36,1232.0,13580.0,13580.0
