measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed
2019-12-01,588.0,3924.0,3924.0
2020-01-01,1845.388,11984.0,11984.0
2020-02-01,1453.745,9439.0,9439.0
2020-03-01,643.932,4181.0,4181.0
2020-04-01,744.246,4832.0,4832.0
2020-05-01,524.722,3407.0,3407.0
2020-06-01,1397.655,9075.0,9075.0
2020-07-01,2782.634,18069.0,18069.0
2020-08-01,2345.703,15231.0,15231.0
2020-09-01,1365.392,8866.0,8866.0
2020-10-01,1486.587,9653.0,9653.0
2020-11-01,1085.674,7050.0,7050.0
2020-12-01,1587.322,10307.0,10307.0
2021-01-01,1924.42,13286.0,13286.0
2021-02-01,1667.625,11512.0,11512.0
2021-03-01,1047.055,7229.0,7229.0
2021-04-01,738.974,5102.0,5102.0
2021-05-01,776.068,5358.0,5358.0
2021-06-01,1811.574,12506.0,12506.0
2021-07-01,1725.875,11915.0,11915.0
2021-08-01,2009.452,13872.0,13872.0
2021-09-01,1154.533,7970.0,7970.0
2021-10-01,1290.731,8911.0,8911.0
2021-11-01,888.684,6135.0,6135.0
2021-12-01,1127.009,7781.0,7781.0
2022-01-01,1172.417,8413.0,8413.0
2022-02-01,959.682,6886.0,6886.0
2022-03-01,884.347,6345.0,6345.0
2022-04-01,921.066,6610.0,6610.0
2022-05-01,1127.405,8090.0,8090.0
2022-06-01,971.511,6972.0,6972.0
2022-07-01,1858.79,13338.0,13338.0
2022-08-01,1867.947,13404.0,13404.0
2022-09-01,848.43,6088.0,6088.0
2022-10-01,583.155,4184.0,4184.0
2022-11-01,930.616,6678.0,6678.0
2022-12-01,1218.634,8744.0,8744.0
2023-01-01,1031.899,7106.0,7106.0
2023-02-01,1102.746,7594.0,7594.0
2023-03-01,897.855,6183.0,6183.0
2023-04-01,946.751,6519.0,6519.0
2023-05-01,968.032,6666.0,6666.0
2023-06-01,986.657,6794.0,6794.0
2023-07-01,1697.043,11686.0,11686.0
2023-08-01,1200.591,8267.0,8267.0
2023-09-01,1107.657,7627.0,7627.0
2023-10-01,1004.671,6918.0,6918.0
2023-11-01,973.69,6705.0,6705.0
2023-12-01,1211.408,8342.0,8342.0
2024-01-01,1273.0,8768.0,8768.0
2024-02-01,1172.0,7986.0,7986.0
2024-03-01,1392.0,9331.0,9331.0
2024-04-01,1374.0,9159.0,9159.0
2024-05-01,1399.0,9330.0,9330.0
2024-06-01,1340.0,8973.0,8973.0
2024-07-01,1425.0,9536.0,9536.0
2024-08-01,1410.0,9478.0,9478.0
2024-09-01,1358.0,9162.0,9162.0
2024-10-01,1378.0,9352.0,9352.0
2024-11-01,1375.0,9302.0,9302.0
2024-12-01,1448.0,9772.0,9772.0
