measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,0.385,74.0,74.0,0.0,0.0,0.0
2003-02-01,0.341,66.0,66.0,0.0,0.0,0.0
2003-03-01,0.35200000000000004,68.0,68.0,0.0,0.0,0.0
2003-04-01,0.309,59.0,59.0,0.0,0.0,0.0
2003-05-01,0.303,58.0,58.0,0.0,0.0,0.0
2003-06-01,0.28900000000000003,56.0,56.0,0.0,0.0,0.0
2003-07-01,0.309,59.0,59.0,0.0,0.0,0.0
2003-08-01,0.29600000000000004,57.0,57.0,0.0,0.0,0.0
2003-09-01,0.317,61.0,61.0,0.0,0.0,0.0
2003-10-01,0.341,66.0,66.0,0.0,0.0,0.0
2003-11-01,0.35800000000000004,69.0,69.0,0.0,0.0,0.0
2003-12-01,0.4,77.0,77.0,0.0,0.0,0.0
2004-01-01,0.904,17.0,17.0,107.789,1824.0,1824.0
2004-02-01,0.876,17.0,17.0,139.428,2359.0,2359.0
2004-03-01,1.554,29.0,29.0,125.131,2118.0,2118.0
2004-04-01,1.667,31.0,31.0,84.845,1436.0,1436.0
2004-05-01,10.285,194.0,194.0,92.01100000000001,1557.0,1557.0
2004-06-01,0.9890000000000001,19.0,19.0,88.38300000000001,1496.0,1496.0
2004-07-01,3.871,73.0,73.0,140.75400000000002,2382.0,2382.0
2004-08-01,0.452,9.0,9.0,149.008,2522.0,2522.0
2004-09-01,0.509,10.0,10.0,121.348,2054.0,2054.0
2004-10-01,5.312,100.0,100.0,88.754,1502.0,1502.0
2004-11-01,0.7060000000000001,13.0,13.0,51.585,873.0,873.0
2004-12-01,0.876,17.0,17.0,49.964000000000006,846.0,846.0
2005-01-01,0.766,15.99,15.99,358.986,4921.05,4921.05
2005-02-01,0.263,5.49,5.49,123.33600000000001,1690.71,1690.71
2005-03-01,0.29200000000000004,6.09,6.09,136.703,1873.95,1873.95
2005-04-01,0.35300000000000004,7.38,7.38,165.586,2269.88,2269.88
