measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,398.0,10347.0,10347.0,0.0,0.0,0.0
2003-02-01,,,,,,,597.0,12354.0,12354.0,0.0,0.0,0.0
2003-03-01,,,,,,,-39.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,,,,,,,-22.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,,,,-14.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,,,,,,,96.0,1911.0,1911.0,0.0,0.0,0.0
2003-07-01,,,,,,,-22.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,,,,,,,-18.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,,,,,,,-21.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,,,,,,,-16.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,,,,,,,-21.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,,,,,,,-37.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,,,,,,,10.036000000000001,193.0,193.0,0.0,0.0,0.0
2004-02-01,,,,,,,7.091,137.0,137.0,0.0,0.0,0.0
2004-03-01,,,,,,,2.673,52.0,52.0,0.0,0.0,0.0
2004-04-01,,,,,,,0.611,12.0,12.0,0.0,0.0,0.0
2004-05-01,,,,,,,1.524,29.0,29.0,0.0,0.0,0.0
2004-06-01,,,,,,,6.069,117.0,117.0,0.0,0.0,0.0
2004-07-01,,,,,,,1.499,29.0,29.0,0.0,0.0,0.0
2004-08-01,,,,,,,0.9730000000000001,19.0,19.0,0.0,0.0,0.0
2004-09-01,,,,,,,0.993,19.0,19.0,0.0,0.0,0.0
2004-10-01,,,,,,,0.627,12.0,12.0,0.0,0.0,0.0
2004-11-01,,,,,,,1.574,30.0,30.0,0.0,0.0,0.0
2004-12-01,,,,,,,2.3320000000000003,45.0,45.0,0.0,0.0,0.0
2005-01-01,,,,-89.34400000000001,0.0,0.0,-49.927,13.51,13.51,0.0,0.0,0.0
2005-02-01,,,,-77.789,0.0,0.0,-17.153000000000002,4.64,4.64,0.0,0.0,0.0
2005-03-01,,,,-80.706,0.0,0.0,-19.012,5.15,5.15,0.0,0.0,0.0
2005-04-01,,,,-71.925,0.0,0.0,-23.029,6.23,6.23,0.0,0.0,0.0
2005-05-01,,,,-78.959,0.0,0.0,-21.388,5.79,5.79,0.0,0.0,0.0
2005-06-01,,,,-87.944,0.0,0.0,-27.76,7.51,7.51,0.0,0.0,0.0
2005-07-01,,,,-92.96600000000001,0.0,0.0,-28.256,7.64,7.64,0.0,0.0,0.0
2005-08-01,,,,-94.0,0.0,0.0,-33.194,8.98,8.98,0.0,0.0,0.0
2005-09-01,,,,-86.143,0.0,0.0,-21.729000000000003,5.88,5.88,0.0,0.0,0.0
2005-10-01,,,,-81.346,0.0,0.0,-24.131,6.53,6.53,0.0,0.0,0.0
2005-11-01,,,,-79.309,0.0,0.0,-19.399,5.25,5.25,0.0,0.0,0.0
2005-12-01,,,,-88.571,0.0,0.0,-41.019000000000005,11.1,11.1,0.0,0.0,0.0
2006-01-01,,,,-85.022,0.0,0.0,-31.496000000000002,31.0,31.0,0.0,0.0,0.0
2006-02-01,,,,-80.974,0.0,0.0,-16.481,16.0,16.0,0.0,0.0,0.0
2006-03-01,,,,-82.74,0.0,0.0,-13.844000000000001,14.0,14.0,0.0,0.0,0.0
2006-04-01,,,,-70.393,0.0,0.0,-26.519000000000002,26.0,26.0,0.0,0.0,0.0
2006-05-01,,,,-75.22800000000001,0.0,0.0,-24.789,24.0,24.0,0.0,0.0,0.0
2006-06-01,,,,-81.498,0.0,0.0,-22.531000000000002,22.0,22.0,0.0,0.0,0.0
2006-07-01,,,,-92.70400000000001,0.0,0.0,-32.637,32.0,32.0,0.0,0.0,0.0
2006-08-01,,,,-93.373,0.0,0.0,-31.658,31.0,31.0,0.0,0.0,0.0
2006-09-01,,,,-77.58200000000001,0.0,0.0,-14.544,14.0,14.0,0.0,0.0,0.0
2006-10-01,,,,-80.24600000000001,0.0,0.0,-15.363000000000001,15.0,15.0,0.0,0.0,0.0
2006-11-01,,,,-79.34400000000001,0.0,0.0,-18.091,18.0,18.0,0.0,0.0,0.0
2006-12-01,,,,-85.896,0.0,0.0,-20.045,20.0,20.0,0.0,0.0,0.0
2007-01-01,,,,0.0,0.0,0.0,-10.835,329.0,329.0,0.0,0.0,0.0
