measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed
2001-01-01,1739.0,20866.0,131176.0
2001-02-01,1461.0,17531.0,110206.0
2001-03-01,1536.0,18430.0,115863.0
2001-04-01,1440.0,17279.0,108622.0
2001-05-01,1415.0,16979.0,106736.0
2001-06-01,1560.0,18718.0,117673.0
2001-07-01,1718.0,20614.0,129591.0
2001-08-01,1781.0,21370.0,134344.0
2001-09-01,1467.0,17603.0,110658.0
2001-10-01,1362.0,16343.0,102738.0
2001-11-01,1347.0,16163.0,101606.0
2001-12-01,1518.0,18214.0,114505.0
