measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2014-01-01,,,,26.51,422.0,422.0,,,,,,
2014-02-01,,,,26.999,428.0,428.0,,,,,,
2014-03-01,,,,26.03,416.0,416.0,,,,,,
2014-04-01,,,,23.675,376.0,376.0,,,,,,
2014-05-01,,,,26.856,428.0,428.0,,,,,,
2014-06-01,,,,25.645,410.0,410.0,,,,,,
2014-07-01,,,,26.987,428.0,428.0,,,,,,
2014-08-01,,,,29.09,462.0,462.0,,,,,,
2014-09-01,,,,30.321,486.0,486.0,,,,,,
2014-10-01,,,,29.407,468.0,468.0,,,,,,
2014-11-01,,,,25.688,410.0,410.0,,,,,,
2014-12-01,,,,25.792,410.0,410.0,,,,,,
2015-01-01,,,,0.0,289.0,289.0,,,,,,
2015-02-01,,,,0.0,249.0,249.0,,,,,,
2015-03-01,,,,0.0,254.0,254.0,,,,,,
2015-04-01,,,,0.0,277.0,277.0,,,,,,
2015-05-01,,,,0.0,277.0,277.0,,,,,,
2015-06-01,,,,0.0,283.0,283.0,,,,,,
2015-07-01,,,,0.0,318.0,318.0,,,,,,
2015-08-01,,,,0.0,329.0,329.0,,,,,,
2015-09-01,,,,0.0,306.0,306.0,,,,,,
2015-10-01,,,,0.0,318.0,318.0,,,,,,
2015-11-01,,,,0.0,283.0,283.0,,,,,,
2015-12-01,,,,0.0,283.0,283.0,,,,,,
2016-01-01,3492.622,30142.0,30142.0,1.056,18.0,18.0,,,,,,
2016-02-01,2535.505,21900.0,21900.0,0.94,12.0,12.0,,,,,,
2016-03-01,4320.299,37312.0,37312.0,0.964,12.0,12.0,,,,,,
2016-04-01,4093.917,35355.0,35355.0,0.906,12.0,12.0,,,,,,
2016-05-01,4436.677,38316.0,38316.0,1.014,12.0,12.0,,,,,,
2016-06-01,4417.73,38156.0,38156.0,0.967,12.0,12.0,,,,,,
2016-07-01,4359.309,37650.0,37650.0,1.074,12.0,12.0,,,,,,
