measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,61.952000000000005,697.0,716.0,0.0,0.0,0.0,,,,,,,2267.36,26025.0,26749.0,0.0,0.0,0.0,,,
2003-02-01,,,,,,,54.613,614.0,632.0,0.0,0.0,0.0,,,,,,,1998.778,22942.0,23580.0,0.0,0.0,0.0,,,
2003-03-01,,,,,,,54.237,610.0,627.0,0.0,0.0,0.0,,,,,,,1985.026,22784.0,23418.0,0.0,0.0,0.0,,,
2003-04-01,,,,,,,54.7,615.0,633.0,0.0,0.0,0.0,,,,,,,2001.9560000000001,22978.0,23618.0,0.0,0.0,0.0,,,
2003-05-01,,,,,,,65.087,732.0,753.0,0.0,0.0,0.0,,,,,,,2382.097,27341.0,28102.0,0.0,0.0,0.0,,,
2003-06-01,,,,,,,67.95100000000001,764.0,786.0,0.0,0.0,0.0,,,,,,,2486.916,28545.0,29339.0,0.0,0.0,0.0,,,
2003-07-01,,,,,,,74.131,834.0,857.0,0.0,0.0,0.0,,,,,,,2713.1020000000003,31141.0,32007.0,0.0,0.0,0.0,,,
2003-08-01,,,,,,,78.358,882.0,906.0,0.0,0.0,0.0,,,,,,,2867.804,32916.0,33832.0,0.0,0.0,0.0,,,
2003-09-01,,,,,,,64.331,724.0,744.0,0.0,0.0,0.0,,,,,,,2354.4280000000003,27024.0,27776.0,0.0,0.0,0.0,,,
2003-10-01,,,,,,,58.316,656.0,674.0,0.0,0.0,0.0,,,,,,,2134.315,24497.0,25179.0,0.0,0.0,0.0,,,
2003-11-01,,,,,,,55.218,621.0,639.0,0.0,0.0,0.0,,,,,,,2020.905,23196.0,23841.0,0.0,0.0,0.0,,,
2003-12-01,,,,,,,57.109,643.0,660.0,0.0,0.0,0.0,,,,,,,2090.114,23990.0,24658.0,0.0,0.0,0.0,,,
2004-01-01,,,,,,,66.93242,735.27,802.08,,,,,,,,,,1996.59558,21933.04,23926.12,,,,102.05,1023.0,1023.0
2004-02-01,,,,,,,114.55819,1258.45,1372.8,,,,,,,,,,2336.21581,25663.84,27995.92,,,,100.891,1011.0,1011.0
2004-03-01,,,,,,,53.4821,587.51,640.9,,,,,,,,,,1943.4479000000001,21349.19,23289.21,,,,101.286,1015.0,1015.0
2004-04-01,,,,,,,29.95478,329.06,358.96,,,,,,,,,,1015.34322,11153.76,12167.33,,,,64.09100000000001,642.0,642.0
2004-05-01,,,,,,,63.186339999999994,694.12,757.19,,,,,,,,,,2121.67466,23307.05,25424.97,,,,61.825,620.0,620.0
2004-06-01,,,,,,,73.31642,805.4,878.58,,,,,,,,,,2445.55958,26865.01,29306.25,,,,100.891,1011.0,1011.0
2004-07-01,,,,,,,71.54012999999999,785.88,857.3,,,,,,,,,,2301.02687,25277.29,27574.25,,,,55.371,555.0,555.0
2004-08-01,,,,,,,73.8053,810.77,884.44,,,,,,,,,,2127.1407,23367.1,25490.48,,,,0.0,0.0,0.0
2004-09-01,,,,,,,80.58138,885.2,965.64,,,,,,,,,,2449.76862,26911.23,29356.65,,,,63.722,639.0,639.0
2004-10-01,,,,,,,65.91611999999999,724.1,789.9,,,,,,,,,,2480.05988,27244.0,29719.65,,,,85.718,859.0,859.0
2004-11-01,,,,,,,62.237669999999994,683.69,745.82,,,,,,,,,,2338.70233,25691.15,28025.72,,,,97.098,973.0,973.0
2004-12-01,,,,,,,50.844359999999995,558.54,609.29,,,,,,,,,,1557.15064,17105.64,18660.01,,,,98.257,985.0,985.0
2005-01-01,,,,,,,127.18990000000001,1397.21,1550.51,,,,,,,,,,1737.4591,19086.36,21180.57,,,,55.059000000000005,551.0,551.0
2005-02-01,,,,,,,31.03503,340.93,378.33,,,,,,,,,,1568.23797,17227.43,19117.68,,,,55.213,552.0,552.0
2005-03-01,,,,,,,44.347269999999995,487.16,540.62,,,,,,,,,,1692.44473,18591.88,20631.84,,,,67.284,673.0,673.0
2005-04-01,,,,,,,36.42559,400.14,444.05,,,,,,,,,,1700.57441,18681.18,20730.94,,,,61.157000000000004,612.0,612.0
2005-05-01,,,,,,,37.66739,413.78,459.19,,,,,,,,,,1867.75161,20517.65,22768.91,,,,64.687,647.0,647.0
2005-06-01,,,,,,,32.94294,361.89,401.59,,,,,,,,,,2399.02106,26353.76,29245.34,,,,61.96,620.0,620.0
2005-07-01,,,,,,,96.11674,1055.86,1171.72,,,,,,,,,,3071.98626,33746.44,37449.21,,,,73.311,733.0,733.0
2005-08-01,,,,,,,116.33736999999999,1277.99,1418.22,,,,,,,,,,3183.55663,34972.07,38809.29,,,,70.82,708.0,708.0
2005-09-01,,,,,,,96.05018,1055.13,1170.9,,,,,,,,,,2401.08182,26376.41,29270.5,,,,61.339000000000006,613.0,613.0
2005-10-01,,,,,,,40.49832,444.88,493.7,,,,,,,,,,1863.70568,20473.21,22719.56,,,,51.217000000000006,512.0,512.0
2005-11-01,,,,,,,40.58868,445.88,494.8,,,,,,,,,,1662.86832,18266.98,20271.26,,,,60.02,600.0,600.0
2005-12-01,,,,,,,91.5494,1005.69,1116.04,,,,,,,,,,1897.2856000000002,20842.09,23128.92,,,,57.073,571.0,571.0
2006-01-01,,,,,,,33.39691,366.87,409.13,26.702,0.0,0.0,,,,,,,1855.97109,20388.25,22736.75,26.702,0.0,0.0,,,
2006-02-01,,,,,,,40.44173,444.26,495.44,27.7265,0.0,0.0,,,,,,,1636.35927,17975.77,20046.41,27.7265,0.0,0.0,,,
2006-03-01,,,,,,,34.16858,375.35,418.59,26.666500000000003,0.0,0.0,,,,,,,1812.49042,19910.6,22204.11,26.666500000000003,0.0,0.0,,,
2006-04-01,,,,,,,26.30944,289.01,322.31,23.032,0.0,0.0,,,,,,,1726.94756,18970.9,21156.12,23.032,0.0,0.0,,,
2006-05-01,,,,,,,46.49239,510.73,569.56,32.868,0.0,0.0,,,,,,,2012.89661,22112.09,24659.2,32.868,0.0,0.0,,,
2006-06-01,,,,,,,43.74172,480.51,535.86,32.732,0.0,0.0,,,,,,,2133.57528,23437.8,26137.56,32.732,0.0,0.0,,,
2006-07-01,,,,,,,46.19419,507.45,565.91,35.691500000000005,0.0,0.0,,,,,,,2402.31281,26389.92,29429.74,35.691500000000005,0.0,0.0,,,
2006-08-01,,,,,,,72.68343999999999,798.44,890.42,46.37,0.0,0.0,,,,,,,2481.73256,27262.37,30402.72,46.37,0.0,0.0,,,
2006-09-01,,,,,,,47.41092,520.82,580.81,33.277,0.0,0.0,,,,,,,2020.71808,22198.03,24755.0,33.277,0.0,0.0,,,
2006-10-01,,,,,,,25.28678,277.78,309.78,25.593,0.0,0.0,,,,,,,2118.29422,23269.92,25950.36,25.593,0.0,0.0,,,
2006-11-01,,,,,,,20.46706,224.84,250.73,21.278000000000002,0.0,0.0,,,,,,,1789.35494,19656.46,21920.69,21.278000000000002,0.0,0.0,,,
2006-12-01,,,,,,,38.74682,425.64,474.67,29.8725,0.0,0.0,,,,,,,2006.56618,22042.58,24581.65,29.8725,0.0,0.0,,,
2007-01-01,,,,,,,116.775,2459.0,2709.0,0.0,0.0,0.0,,,,,,,1001.005,21087.0,23232.0,0.0,0.0,0.0,,,
2007-02-01,,,,,,,26.228,551.0,609.0,0.0,0.0,0.0,,,,,,,850.534,17918.0,19740.0,0.0,0.0,0.0,,,
2007-03-01,,,,,,,20.331,429.0,470.0,0.0,0.0,0.0,,,,,,,989.7120000000001,20850.0,22969.0,0.0,0.0,0.0,,,
2007-04-01,,,,,,,18.329,389.0,423.0,0.0,0.0,0.0,,,,,,,932.152,19637.0,21634.0,0.0,0.0,0.0,,,
2007-05-01,,,,,,,17.105,360.0,394.0,0.0,0.0,0.0,,,,,,,1015.9680000000001,21404.0,23579.0,0.0,0.0,0.0,,,
2007-06-01,,,,,,,18.693,394.0,435.0,0.0,0.0,0.0,,,,,,,1189.554,25060.0,27607.0,0.0,0.0,0.0,,,
2007-07-01,,,,,,,9.834,209.0,226.0,0.0,0.0,0.0,,,,,,,1284.326,27057.0,29807.0,0.0,0.0,0.0,,,
2007-08-01,,,,,,,14.047,296.0,325.0,0.0,0.0,0.0,,,,,,,1531.058,32254.0,35534.0,0.0,0.0,0.0,,,
2007-09-01,,,,,,,10.171000000000001,215.0,238.0,0.0,0.0,0.0,,,,,,,1251.633,26368.0,29049.0,0.0,0.0,0.0,,,
2007-10-01,,,,,,,13.796000000000001,290.0,319.0,0.0,0.0,0.0,,,,,,,1052.208,22167.0,24420.0,0.0,0.0,0.0,,,
2007-11-01,,,,,,,12.177000000000001,255.0,284.0,0.0,0.0,0.0,,,,,,,832.1080000000001,17530.0,19312.0,0.0,0.0,0.0,,,
2007-12-01,,,,,,,9.659,203.0,226.0,0.0,0.0,0.0,,,,,,,862.5970000000001,18172.0,20020.0,0.0,0.0,0.0,,,
2008-01-01,,,,,,,49.183,982.0,1114.0,0.0,0.0,0.0,,,,,,,999.522,19952.0,22643.0,64.675,650.0,650.0,,,
2008-02-01,,,,,,,43.99,878.0,998.0,0.0,0.0,0.0,,,,,,,844.635,16860.0,19134.0,54.652,548.0,548.0,,,
2008-03-01,,,,,,,9.718,194.0,220.0,0.0,0.0,0.0,,,,,,,969.1510000000001,19346.0,21954.0,62.709,629.0,629.0,,,
2008-04-01,,,,,,,19.734,394.0,447.0,0.0,0.0,0.0,,,,,,,942.4,18812.0,21348.0,60.978,612.0,612.0,,,
2008-05-01,,,,,,,19.081,381.0,435.0,0.0,0.0,0.0,,,,,,,1146.1760000000002,22880.0,25965.0,74.163,745.0,745.0,,,
2008-06-01,,,,,,,19.255000000000003,384.0,435.0,0.0,0.0,0.0,,,,,,,1392.2430000000002,27792.0,31539.0,90.08500000000001,904.0,904.0,,,
2008-07-01,,,,,,,14.532,290.0,331.0,0.0,0.0,0.0,,,,,,,1510.634,30155.0,34220.0,97.745,981.0,981.0,,,
2008-08-01,,,,,,,5.881,117.0,133.0,0.0,0.0,0.0,,,,,,,1488.001,29703.0,33707.0,96.281,966.0,966.0,,,
2008-09-01,,,,,,,7.181,143.0,162.0,0.0,0.0,0.0,,,,,,,1002.9290000000001,20020.0,22720.0,64.894,651.0,651.0,,,
2008-10-01,,,,,,,11.627,232.0,261.0,0.0,0.0,0.0,,,,,,,960.2220000000001,19168.0,21752.0,62.131,624.0,624.0,,,
2008-11-01,,,,,,,12.815000000000001,256.0,290.0,0.0,0.0,0.0,,,,,,,738.0780000000001,14733.0,16720.0,47.757000000000005,479.0,479.0,,,
2008-12-01,,,,,,,8.985000000000001,179.0,203.0,0.0,0.0,0.0,,,,,,,818.027,16329.0,18531.0,52.93,531.0,531.0,,,
2009-01-01,,,,,,,43.828,822.0,951.0,3.54,42.0,951.0,,,,,,,835.565,15669.0,18118.0,67.467,794.0,18118.0,,,
2009-02-01,,,,,,,38.109,715.0,824.0,3.077,36.0,824.0,,,,,,,713.005,13371.0,15459.0,57.572,677.0,15459.0,,,
2009-03-01,,,,,,,36.065,676.0,783.0,2.912,34.0,783.0,,,,,,,917.48,17205.0,19893.0,74.08200000000001,872.0,19893.0,,,
2009-04-01,,,,,,,31.618000000000002,593.0,684.0,2.553,30.0,684.0,,,,,,,800.2320000000001,15006.0,17350.0,64.615,760.0,17350.0,,,
2009-05-01,,,,,,,30.852,579.0,667.0,2.491,29.0,667.0,,,,,,,1071.307,20090.0,23228.0,86.503,1018.0,23228.0,,,
2009-06-01,,,,,,,13.806000000000001,259.0,302.0,1.115,13.0,302.0,,,,,,,1432.625,26865.0,31062.0,115.67800000000001,1361.0,31062.0,,,
2009-07-01,,,,,,,5.923,111.0,128.0,0.47800000000000004,6.0,128.0,,,,,,,1580.3010000000002,29634.0,34264.0,127.602,1501.0,34264.0,,,
2009-08-01,,,,,,,6.295,118.0,139.0,0.508,6.0,139.0,,,,,,,1585.612,29734.0,34379.0,128.031,1506.0,34379.0,,,
2009-09-01,,,,,,,8.425,158.0,180.0,0.68,8.0,180.0,,,,,,,1186.487,22249.0,25725.0,95.80300000000001,1127.0,25725.0,,,
2009-10-01,,,,,,,11.825,222.0,255.0,0.955,11.0,255.0,,,,,,,955.004,17909.0,20706.0,77.11200000000001,907.0,20706.0,,,
2009-11-01,,,,,,,17.593,330.0,383.0,1.421,17.0,383.0,,,,,,,734.6740000000001,13777.0,15929.0,59.322,698.0,15929.0,,,
2009-12-01,,,,,,,23.163,434.0,505.0,1.87,22.0,505.0,,,,,,,961.206,18025.0,20841.0,77.613,913.0,20841.0,,,
2010-01-01,,,,,,,162.99200000000002,1876.0,2186.0,6.88,81.0,2186.0,,,,,,,1670.8790000000001,19228.0,22463.0,70.521,830.0,22463.0,,,
2010-02-01,,,,,,,38.016000000000005,437.0,513.0,1.604,19.0,513.0,,,,,,,1565.843,18019.0,21051.0,66.089,778.0,21051.0,,,
