PLANT ID,PLANT NAME,REPORTED PRIME MOVER,REPORTED FUEL TYPE CODE,MER FUEL TYPE CODE,NUCLEAR UNIT ID,COMBINED HEAT AND POWER PLANT,YEAR,file,variable,value,MONTH,period,energy_type,prime_mover_type,mer_type,common_name,sensor_name
10361,Savannah River Mill,GT,DFO,DFO,,Y,2003,f906920_2003.xls,NETGEN JAN,971,JAN,2003-01-01,Distillate Fuel Oil,Combustion (Gas) Turbine (including jet engine design),Distillate Fuel Oil,generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation
10361,Savannah River Mill,ST,PC,PC,,Y,2003,f906920_2003.xls,NETGEN JAN,48833,JAN,2003-01-01,Petroleum Coke,"Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle)",Petroleum Coke,generation,"Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation"
10361,Savannah River Mill,ST,DFO,DFO,,Y,2003,f906920_2003.xls,NETGEN JAN,47,JAN,2003-01-01,Distillate Fuel Oil,"Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle)",Distillate Fuel Oil,generation,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation"
10361,Savannah River Mill,GT,DFO,DFO,,Y,2003,f906920_2003.xls,ELEC MMBTU JAN,8269,JAN,2003-01-01,Distillate Fuel Oil,Combustion (Gas) Turbine (including jet engine design),Distillate Fuel Oil,quantity-consumed-electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity
10361,Savannah River Mill,GT,NG,NG,,Y,2003,f906920_2003.xls,ELEC MMBTU JAN,24475,JAN,2003-01-01,Natural Gas,Combustion (Gas) Turbine (including jet engine design),Natural Gas,quantity-consumed-electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity
10361,Savannah River Mill,ST,BIT,COL,,Y,2003,f906920_2003.xls,ELEC MMBTU JAN,32868,JAN,2003-01-01,Bituminous Coal,"Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle)",Coal,quantity-consumed-electricity,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity"
10361,Savannah River Mill,ST,DFO,DFO,,Y,2003,f906920_2003.xls,ELEC MMBTU JAN,227,JAN,2003-01-01,Distillate Fuel Oil,"Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle)",Distillate Fuel Oil,quantity-consumed-electricity,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity"
10361,Savannah River Mill,ST,PC,PC,,Y,2003,f906920_2003.xls,ELEC MMBTU JAN,236372,JAN,2003-01-01,Petroleum Coke,"Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle)",Petroleum Coke,quantity-consumed-electricity,"Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity"
10361,Savannah River Mill,ST,WDS,WWW,,Y,2003,f906920_2003.xls,TOT MMBTU JAN,6202,JAN,2003-01-01,Wood Waste Solids,"Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle)",Wood and Wood-derived Fuels,total-fuel-consumed,"Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
10361,Savannah River Mill,ST,WDS,WWW,,Y,2003,f906920_2003.xls,NETGEN JAN,400,JAN,2003-01-01,Wood Waste Solids,"Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle)",Wood and Wood-derived Fuels,generation,"Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation"
10361,Savannah River Mill,ST,WDS,WWW,,Y,2003,f906920_2003.xls,ELEC MMBTU JAN,1937,JAN,2003-01-01,Wood Waste Solids,"Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle)",Wood and Wood-derived Fuels,quantity-consumed-electricity,"Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity"
10361,Savannah River Mill,GT,DFO,DFO,,Y,2003,f906920_2003.xls,TOT MMBTU JAN,19319,JAN,2003-01-01,Distillate Fuel Oil,Combustion (Gas) Turbine (including jet engine design),Distillate Fuel Oil,total-fuel-consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
10361,Savannah River Mill,GT,NG,NG,,Y,2003,f906920_2003.xls,NETGEN JAN,2815.54,JAN,2003-01-01,Natural Gas,Combustion (Gas) Turbine (including jet engine design),Natural Gas,generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation
