measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2012-01-01,,,,3788.451,44145.0,44145.0,0.0,0.0,0.0
2012-02-01,,,,3288.184,38316.0,38316.0,0.0,0.0,0.0
2012-03-01,,,,3341.589,38939.0,38939.0,0.0,0.0,0.0
2012-04-01,,,,2982.122,34750.0,34750.0,0.0,0.0,0.0
2012-05-01,,,,2814.929,32801.0,32801.0,0.0,0.0,0.0
2012-06-01,,,,2588.735,30165.0,30165.0,0.0,0.0,0.0
2012-07-01,,,,2526.434,29440.0,29440.0,0.0,0.0,0.0
2012-08-01,,,,2547.735,29688.0,29688.0,0.0,0.0,0.0
2012-09-01,,,,2527.839,29456.0,29456.0,0.0,0.0,0.0
2012-10-01,,,,3030.998,35320.0,35320.0,0.0,0.0,0.0
2012-11-01,,,,3299.989,38453.0,38453.0,0.0,0.0,0.0
2012-12-01,,,,2821.995,32884.0,32884.0,0.0,0.0,0.0
2013-01-01,,,,6086.518,81989.0,81989.0,0.0,0.0,0.0
2013-02-01,,,,4966.044,66897.0,66897.0,0.0,0.0,0.0
2013-03-01,,,,5403.363,72788.0,72788.0,0.0,0.0,0.0
2013-04-01,,,,4779.558,64384.0,64384.0,0.0,0.0,0.0
2013-05-01,,,,4887.041,65832.0,65832.0,0.0,0.0,0.0
2013-06-01,,,,4290.197,57793.0,57793.0,0.0,0.0,0.0
2013-07-01,,,,4919.825,66274.0,66274.0,0.0,0.0,0.0
2013-08-01,,,,4680.61,63051.0,63051.0,0.0,0.0,0.0
2013-09-01,,,,4923.291,66321.0,66321.0,0.0,0.0,0.0
2013-10-01,,,,4257.044,57346.0,57346.0,0.0,0.0,0.0
2013-11-01,,,,5081.441,68451.0,68451.0,0.0,0.0,0.0
2013-12-01,,,,6225.068,83857.0,83857.0,0.0,0.0,0.0
2014-01-01,0.519,17.0,17.0,6459.195,102660.0,102660.0,,,
2014-02-01,0.492,23.0,23.0,6026.156,95778.0,95778.0,,,
2014-03-01,0.48,23.0,23.0,5914.498,94004.0,94004.0,,,
2014-04-01,0.451,17.0,17.0,5226.842,83073.0,83073.0,,,
2014-05-01,0.381,17.0,17.0,5292.838,84122.0,84122.0,,,
2014-06-01,0.227,12.0,12.0,5239.925,83282.0,83282.0,,,
2014-07-01,0.401,17.0,17.0,5392.48,85706.0,85706.0,,,
2014-08-01,0.323,12.0,12.0,5361.303,85211.0,85211.0,,,
2014-09-01,0.38,17.0,17.0,3916.517,62248.0,62248.0,,,
2014-10-01,0.502,23.0,23.0,5043.778,80164.0,80164.0,,,
2014-11-01,0.367,17.0,17.0,5955.692,94658.0,94658.0,,,
2014-12-01,0.477,23.0,23.0,6269.776,99650.0,99650.0,,,
2015-01-01,0.0,40.0,40.0,9913.67,161798.0,161798.0,,,
2015-02-01,0.0,40.0,40.0,8101.457,132221.0,132221.0,,,
2015-03-01,0.0,40.0,40.0,7964.909,129993.0,129993.0,,,
2015-04-01,0.0,40.0,40.0,6045.88,98673.0,98673.0,,,
2015-05-01,0.0,35.0,35.0,6247.95,101971.0,101971.0,,,
2015-06-01,0.0,35.0,35.0,6125.762,99977.0,99977.0,,,
2015-07-01,0.0,35.0,35.0,6096.425,99498.0,99498.0,,,
2015-08-01,0.0,40.0,40.0,5953.234,97161.0,97161.0,,,
2015-09-01,0.0,35.0,35.0,4992.548,81482.0,81482.0,,,
2015-10-01,0.0,40.0,40.0,5189.095,84689.0,84689.0,,,
2015-11-01,0.0,29.0,29.0,6299.177,102807.0,102807.0,,,
2015-12-01,0.0,29.0,29.0,6989.893,114080.0,114080.0,,,
2016-01-01,0.0,0.0,0.0,7127.759,93697.0,93697.0,,,
2016-02-01,0.0,0.0,0.0,6190.794,81381.0,81381.0,,,
2016-03-01,0.0,0.0,0.0,6518.066,85683.0,85683.0,,,
2016-04-01,0.0,0.0,0.0,6472.863,85089.0,85089.0,,,
2016-05-01,0.0,0.0,0.0,6470.903,85063.0,85063.0,,,
2016-06-01,0.0,0.0,0.0,5928.669,77936.0,77936.0,,,
2016-07-01,0.0,0.0,0.0,6321.045,83094.0,83094.0,,,
2016-08-01,0.0,0.0,0.0,5398.928,70972.0,70972.0,,,
2016-09-01,0.0,0.0,0.0,5014.636,65920.0,65920.0,,,
2016-10-01,0.0,0.0,0.0,4772.138,62733.0,62733.0,,,
2016-11-01,0.0,0.0,0.0,6066.172,79743.0,79743.0,,,
2016-12-01,0.0,0.0,0.0,6420.027,84395.0,84395.0,,,
2017-01-01,0.0,0.0,0.0,5701.003,70925.0,70925.0,,,
2017-02-01,0.0,0.0,0.0,5479.626,68171.0,68171.0,,,
2017-03-01,0.0,0.0,0.0,5864.908,72965.0,72965.0,,,
2017-04-01,0.0,0.0,0.0,4970.502,61838.0,61838.0,,,
2017-05-01,0.0,0.0,0.0,4924.744,61268.0,61268.0,,,
2017-06-01,0.0,0.0,0.0,5130.942,63834.0,63834.0,,,
2017-07-01,0.0,0.0,0.0,5530.828,68808.0,68808.0,,,
2017-08-01,0.0,0.0,0.0,5588.665,69528.0,69528.0,,,
2017-09-01,0.0,0.0,0.0,4702.558,58504.0,58504.0,,,
2017-10-01,0.0,0.0,0.0,5029.166,62567.0,62567.0,,,
2017-11-01,0.0,0.0,0.0,6120.453,76144.0,76144.0,,,
2017-12-01,0.0,0.0,0.0,6268.605,77988.0,77988.0,,,
2018-01-01,0.0,0.0,0.0,6161.942,77602.0,77602.0,,,
2018-02-01,0.0,0.0,0.0,5457.578,68731.0,68731.0,,,
2018-03-01,0.0,0.0,0.0,5783.066,72830.0,72830.0,,,
2018-04-01,0.0,0.0,0.0,4361.727,54930.0,54930.0,,,
2018-05-01,0.0,0.0,0.0,5050.858,63608.0,63608.0,,,
2018-06-01,0.0,0.0,0.0,4832.478,60858.0,60858.0,,,
2018-07-01,0.0,0.0,0.0,5273.733,66415.0,66415.0,,,
2018-08-01,0.0,0.0,0.0,5111.377,64371.0,64371.0,,,
2018-09-01,0.0,0.0,0.0,4794.701,60383.0,60383.0,,,
2018-10-01,0.0,0.0,0.0,3756.672,47310.0,47310.0,,,
2018-11-01,0.0,0.0,0.0,4993.036,62880.0,62880.0,,,
2018-12-01,0.0,0.0,0.0,5430.832,68394.0,68394.0,,,
2019-01-01,0.0,0.0,0.0,6161.751,81856.0,81856.0,,,
2019-02-01,0.0,0.0,0.0,5319.458,70666.0,70666.0,,,
2019-03-01,0.0,0.0,0.0,4948.486,65737.0,65737.0,,,
2019-04-01,0.0,0.0,0.0,5058.968,67205.0,67205.0,,,
2019-05-01,0.0,0.0,0.0,4485.207,59583.0,59583.0,,,
2019-06-01,0.0,0.0,0.0,3960.566,52614.0,52614.0,,,
