measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Generation","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Quantity Consumed For Electricity","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Total Fuel Consumed"
2003-01-01,784.0,9854.0,9854.0,1452.0,14869.93,14869.93
2003-02-01,0.0,0.0,0.0,1045.0,10701.85,10701.85
2003-03-01,0.0,0.0,0.0,4836.0,49525.48,49525.48
2003-04-01,0.0,0.0,0.0,4377.0,44824.86,44824.86
2003-05-01,56.0,911.0,911.0,6101.0,62480.34,62480.34
2003-06-01,3037.0,37230.0,37230.0,8032.0,82255.71,82255.71
2003-07-01,4786.0,57868.0,57868.0,6028.0,61732.75,61732.75
2003-08-01,4947.0,61025.0,61025.0,6142.0,62900.22,62900.22
2003-09-01,3449.0,44154.0,44154.0,5504.0,56366.46,56366.46
2003-10-01,2797.0,36512.0,36512.0,3481.0,35648.92,35648.92
2003-11-01,1005.0,14594.0,14594.0,1368.0,14009.69,14009.69
2003-12-01,1217.0,17028.0,17028.0,788.0,8069.91,8069.91
2004-01-01,0.0,467.0,467.0,972.0,9741.38,9741.38
2004-02-01,1945.0,315.0,315.0,0.0,0.0,0.0
2004-03-01,0.0,702.0,702.0,4715.0,47253.73,47253.73
2004-04-01,1401.0,17852.0,17852.0,3182.0,31890.0,31890.0
2004-05-01,185.0,2505.0,2505.0,7367.0,73832.07,73832.07
2004-06-01,3479.0,43896.0,43896.0,7973.0,79905.41,79905.41
2004-07-01,3699.0,46562.0,46562.0,7479.0,74954.54,74954.54
2004-08-01,3964.0,49634.0,49634.0,6971.0,69863.36,69863.36
2004-09-01,4572.0,56920.0,56920.0,5831.0,58438.28,58438.28
2004-10-01,2813.0,35404.0,35404.0,3075.0,30817.65,30817.65
2004-11-01,2337.0,29660.0,29660.0,1860.0,18640.92,18640.92
