measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-4.3180000000000005,0.0,0.0,-24.249000000000002,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-3.8070000000000004,0.0,0.0,-21.377000000000002,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-3.781,0.0,0.0,-21.23,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-3.813,0.0,0.0,-21.411,0.0,0.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-4.537,0.0,0.0,-25.476000000000003,0.0,0.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-4.736000000000001,0.0,0.0,-26.597,0.0,0.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-5.167,0.0,0.0,-29.016000000000002,0.0,0.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-5.462000000000001,0.0,0.0,-30.671000000000003,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-4.484,0.0,0.0,-25.18,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-4.065,0.0,0.0,-22.826,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-3.849,0.0,0.0,-21.613,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-3.9810000000000003,0.0,0.0,-22.354000000000003,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.083,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.14200000000000002,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.066,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.037000000000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.078,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
