measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,1.249,40.0,40.0,56.802,550.0,550.0,0.0,0.0,0.0
2003-02-01,1.066,34.0,34.0,48.482,470.0,470.0,0.0,0.0,0.0
2003-03-01,0.975,31.0,31.0,44.315,429.0,429.0,0.0,0.0,0.0
2003-04-01,0.8470000000000001,27.0,27.0,38.495,373.0,373.0,0.0,0.0,0.0
2003-05-01,0.894,28.0,28.0,40.647,394.0,394.0,0.0,0.0,0.0
2003-06-01,1.058,34.0,34.0,48.083000000000006,466.0,466.0,0.0,0.0,0.0
2003-07-01,1.306,41.0,41.0,59.365,575.0,575.0,0.0,0.0,0.0
2003-08-01,1.387,44.0,44.0,63.036,611.0,611.0,0.0,0.0,0.0
2003-09-01,1.028,33.0,33.0,46.719,453.0,453.0,0.0,0.0,0.0
2003-10-01,0.945,30.0,30.0,42.975,416.0,416.0,0.0,0.0,0.0
2003-11-01,0.97,31.0,31.0,44.078,427.0,427.0,0.0,0.0,0.0
2003-12-01,1.276,40.0,40.0,58.002,562.0,562.0,0.0,0.0,0.0
