measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed
2014-04-01,2649.251,33801.0,33801.0
2014-05-01,2039.649,26023.0,26023.0
2014-06-01,1138.499,14526.0,14526.0
2014-07-01,1819.085,23209.0,23209.0
2014-08-01,1184.661,15115.0,15115.0
2014-09-01,1078.759,13764.0,13764.0
2014-10-01,1118.816,14275.0,14275.0
2014-11-01,1920.902,24508.0,24508.0
2014-12-01,2048.378,26135.0,26135.0
2015-01-01,1526.188,15083.0,15083.0
2015-02-01,1791.586,17706.0,17706.0
2015-03-01,1408.873,13923.0,13923.0
2015-04-01,1584.592,15660.0,15660.0
2015-05-01,1796.981,17759.0,17759.0
2015-06-01,1959.731,19367.0,19367.0
2015-07-01,1951.874,19289.0,19289.0
2015-08-01,1250.244,12355.0,12355.0
2015-09-01,1314.55,12991.0,12991.0
2015-10-01,1064.97,10525.0,10525.0
2015-11-01,1715.813,16956.0,16956.0
2015-12-01,2077.598,20532.0,20532.0
2016-01-01,1057.188,10947.0,10947.0
2016-02-01,1246.409,12906.0,12906.0
2016-03-01,2008.698,20799.0,20799.0
2016-04-01,1407.31,14572.0,14572.0
2016-05-01,1445.669,14969.0,14969.0
2016-06-01,962.361,9965.0,9965.0
2016-07-01,1450.408,15018.0,15018.0
2016-08-01,1448.431,14998.0,14998.0
2016-09-01,1359.975,14082.0,14082.0
2016-10-01,1592.731,16492.0,16492.0
2016-11-01,1925.519,19938.0,19938.0
2016-12-01,2032.301,21044.0,21044.0
2017-01-01,1432.937,15622.0,15622.0
2017-02-01,1299.627,14168.0,14168.0
2017-03-01,1718.817,18738.0,18738.0
2017-04-01,1677.53,18288.0,18288.0
2017-05-01,1792.884,19546.0,19546.0
2017-06-01,1498.975,16342.0,16342.0
2017-07-01,1497.639,16327.0,16327.0
2017-08-01,1664.441,18146.0,18146.0
2017-09-01,1557.211,16977.0,16977.0
2017-10-01,1381.434,15060.0,15060.0
2017-11-01,1650.468,17993.0,17993.0
2017-12-01,1753.037,19111.0,19111.0
2018-01-01,1749.648,17027.0,17027.0
2018-02-01,1643.207,15991.0,15991.0
2018-03-01,1819.578,17707.0,17707.0
2018-04-01,1589.508,15468.0,15468.0
2018-05-01,1745.395,16986.0,16986.0
2018-06-01,1471.172,14317.0,14317.0
2018-07-01,1536.067,14948.0,14948.0
2018-08-01,1704.504,16587.0,16587.0
2018-09-01,1547.442,15059.0,15059.0
2018-10-01,1533.496,14923.0,14923.0
2018-11-01,1727.318,16809.0,16809.0
2018-12-01,1884.665,18341.0,18341.0
2019-01-01,1442.576,22341.0,22341.0
2019-02-01,1198.892,18568.0,18568.0
2019-03-01,1143.835,17715.0,17715.0
2019-04-01,1107.633,17154.0,17154.0
2019-05-01,1268.991,19653.0,19653.0
2019-06-01,1265.945,19606.0,19606.0
2019-07-01,1331.711,20625.0,20625.0
2019-08-01,1383.334,21424.0,21424.0
2019-09-01,1097.488,16997.0,16997.0
2019-10-01,1265.228,19595.0,19595.0
2019-11-01,1147.544,17772.0,17772.0
2019-12-01,1364.823,21138.0,21138.0
2020-01-01,1240.142,13895.0,13895.0
2020-02-01,1017.367,11399.0,11399.0
2020-03-01,1157.848,12973.0,12973.0
2020-04-01,1029.209,11532.0,11532.0
2020-05-01,1028.785,11527.0,11527.0
2020-06-01,1321.493,14806.0,14806.0
2020-07-01,1198.307,13426.0,13426.0
2020-08-01,1373.462,15389.0,15389.0
2020-09-01,1123.941,12593.0,12593.0
2020-10-01,1166.03,13064.0,13064.0
2020-11-01,1177.503,13193.0,13193.0
2020-12-01,1045.913,11719.0,11719.0
2021-01-01,1081.68,13209.0,13209.0
2021-02-01,831.686,10156.0,10156.0
2021-03-01,1206.972,14739.0,14739.0
2021-04-01,944.515,11534.0,11534.0
2021-05-01,889.904,10867.0,10867.0
2021-06-01,924.873,11294.0,11294.0
2021-07-01,1151.92,14067.0,14067.0
2021-08-01,1129.68,13796.0,13796.0
2021-09-01,1177.34,14378.0,14378.0
2021-10-01,1080.103,13190.0,13190.0
2021-11-01,1219.558,14893.0,14893.0
2021-12-01,1261.769,15408.0,15408.0
2022-01-01,812.377,10408.0,10408.0
2022-02-01,740.287,9484.0,9484.0
2022-03-01,813.243,10419.0,10419.0
2022-04-01,766.059,9814.0,9814.0
2022-05-01,772.28,9894.0,9894.0
2022-06-01,779.659,9989.0,9989.0
2022-07-01,802.714,10284.0,10284.0
2022-08-01,789.43,10114.0,10114.0
2022-09-01,743.218,9522.0,9522.0
2022-10-01,771.975,9890.0,9890.0
2022-11-01,753.606,9655.0,9655.0
2022-12-01,781.152,10008.0,10008.0
2023-01-01,729.491,8208.0,8208.0
2023-02-01,648.757,7300.0,7300.0
2023-03-01,702.122,7900.0,7900.0
2023-04-01,651.42,7329.0,7329.0
2023-05-01,734.062,8259.0,8259.0
2023-06-01,711.235,8003.0,8003.0
2023-07-01,725.284,8160.0,8160.0
2023-08-01,724.81,8155.0,8155.0
2023-09-01,671.612,7557.0,7557.0
2023-10-01,720.838,8111.0,8111.0
2023-11-01,720.085,8102.0,8102.0
2023-12-01,773.284,8701.0,8701.0
2024-01-01,581.713,7636.0,7636.0
2024-02-01,541.158,7104.0,7104.0
2024-03-01,562.776,7387.0,7387.0
2024-04-01,524.141,6880.0,6880.0
2024-05-01,575.717,7557.0,7557.0
2024-06-01,535.201,7025.0,7025.0
2024-07-01,564.216,7406.0,7406.0
2024-08-01,579.107,7602.0,7602.0
2024-09-01,545.887,7166.0,7166.0
2024-10-01,557.754,7321.0,7321.0
2024-11-01,548.385,7198.0,7198.0
2024-12-01,558.945,7337.0,7337.0
