measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2003-01-01,1331.0,14018.0,14018.0,,,
2003-02-01,1726.0,17926.0,17926.0,,,
2003-03-01,2129.0,21919.0,21919.0,,,
2003-04-01,2118.0,22634.0,22634.0,,,
2003-05-01,1925.0,20400.0,20400.0,,,
2003-06-01,1880.0,19643.0,19643.0,,,
2003-07-01,1649.0,17319.0,17319.0,,,
2003-08-01,1721.0,17511.0,17511.0,,,
2003-09-01,1855.0,19989.0,19989.0,,,
2003-10-01,2102.0,21777.0,21777.0,,,
2003-11-01,1734.0,18024.0,18024.0,,,
2003-12-01,1921.0,21300.0,21300.0,,,
2004-01-01,1949.25,20269.0,20269.0,,,
2004-02-01,1949.25,20269.0,20269.0,,,
2004-03-01,1949.25,20269.0,20269.0,,,
2004-04-01,1949.25,20269.0,20269.0,,,
2004-05-01,1949.25,20269.0,20269.0,,,
2004-06-01,1949.25,20269.0,20269.0,,,
2004-07-01,1949.25,20269.0,20269.0,,,
2004-08-01,1949.25,20269.0,20269.0,,,
2004-09-01,1949.25,20269.0,20269.0,,,
2004-10-01,1949.25,20269.0,20269.0,,,
2004-11-01,1949.25,20269.0,20269.0,,,
2004-12-01,1949.25,20269.0,20269.0,,,
2005-01-01,1526.61,16154.67,16154.67,,,
2005-02-01,1548.981,16391.4,16391.4,,,
2005-03-01,1834.2440000000001,19410.07,19410.07,,,
2005-04-01,1781.1270000000002,18847.98,18847.98,,,
2005-05-01,1741.1380000000001,18424.81,18424.81,,,
2005-06-01,1845.171,19525.7,19525.7,,,
2005-07-01,1940.35,20532.89,20532.89,,,
2005-08-01,1883.429,19930.54,19930.54,,,
2005-09-01,1697.7160000000001,17965.33,17965.33,,,
2005-10-01,1387.184,14679.25,14679.25,,,
2005-11-01,1954.1270000000002,20678.67,20678.67,,,
2005-12-01,1681.922,17798.19,17798.19,,,
2006-01-01,1812.0990000000002,19850.0,19850.0,,,
2006-02-01,1674.655,18345.0,18345.0,,,
2006-03-01,1847.257,20235.0,20235.0,,,
2006-04-01,1359.134,14888.0,14888.0,,,
2006-05-01,1661.6570000000002,18202.0,18202.0,,,
2006-06-01,1740.651,19068.0,19068.0,,,
2006-07-01,1806.507,19789.0,19789.0,,,
2006-08-01,1795.643,19670.0,19670.0,,,
2006-09-01,1717.575,18815.0,18815.0,,,
2006-10-01,1782.2820000000002,19524.0,19524.0,,,
2006-11-01,1800.083,19719.0,19719.0,,,
2006-12-01,1734.4560000000001,19000.0,19000.0,,,
2007-01-01,1451.932,15273.0,15273.0,0.0,0.0,0.0
2007-02-01,1291.0410000000002,13581.0,13581.0,0.0,0.0,0.0
2007-03-01,1348.518,14186.0,14186.0,0.0,0.0,0.0
2007-04-01,1193.2730000000001,12553.0,12553.0,0.0,0.0,0.0
2007-05-01,1240.712,13052.0,13052.0,0.0,0.0,0.0
2007-06-01,1487.22,15645.0,15645.0,0.0,0.0,0.0
2007-07-01,1535.863,16156.0,16156.0,0.0,0.0,0.0
2007-08-01,1487.271,15645.0,15645.0,0.0,0.0,0.0
2007-09-01,1358.097,14286.0,14286.0,0.0,0.0,0.0
2007-10-01,1329.063,13981.0,13981.0,0.0,0.0,0.0
2007-11-01,1282.088,13487.0,13487.0,0.0,0.0,0.0
2007-12-01,1506.921,15852.0,15852.0,0.0,0.0,0.0
2008-01-01,1376.2620000000002,13577.0,13577.0,0.0,0.0,0.0
2008-02-01,1083.719,10691.0,10691.0,0.0,0.0,0.0
2008-03-01,1479.816,14599.0,14599.0,0.0,0.0,0.0
2008-04-01,1345.6490000000001,13275.0,13275.0,0.0,0.0,0.0
2008-05-01,1352.875,13346.0,13346.0,0.0,0.0,0.0
2008-06-01,1189.621,11736.0,11736.0,0.0,0.0,0.0
2008-07-01,1138.6490000000001,11233.0,11233.0,0.0,0.0,0.0
2008-08-01,1075.95,10615.0,10615.0,0.0,0.0,0.0
2008-09-01,1130.977,11157.0,11157.0,0.0,0.0,0.0
2008-10-01,1021.123,10074.0,10074.0,0.0,0.0,0.0
2008-11-01,1550.3480000000002,15294.0,15294.0,0.0,0.0,0.0
2008-12-01,1345.011,13269.0,13269.0,0.0,0.0,0.0
2009-01-01,1521.289,16311.0,16311.0,,,
2009-02-01,1449.092,15537.0,15537.0,,,
2009-03-01,1505.7720000000002,16144.0,16144.0,,,
2009-04-01,1191.982,12780.0,12780.0,,,
2009-05-01,1244.794,13346.0,13346.0,,,
2009-06-01,1203.246,12901.0,12901.0,,,
2009-07-01,1199.861,12864.0,12864.0,,,
2009-08-01,1143.483,12260.0,12260.0,,,
2009-09-01,985.9770000000001,10571.0,10571.0,,,
2009-10-01,982.9010000000001,10538.0,10538.0,,,
2009-11-01,1057.462,11338.0,11338.0,,,
2009-12-01,574.1410000000001,6156.0,6156.0,,,
2010-01-01,1535.525,16905.0,16905.0,,,
2010-02-01,1313.805,14463.0,14463.0,,,
2010-03-01,1443.3110000000001,15889.0,15889.0,,,
2010-04-01,1461.457,16089.0,16089.0,,,
2010-05-01,1401.977,15434.0,15434.0,,,
2010-06-01,1396.794,15377.0,15377.0,,,
2010-07-01,1502.1560000000002,16537.0,16537.0,,,
2010-08-01,1429.9460000000001,15742.0,15742.0,,,
