measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,0.0,0.0,0.0,-33.0,0.0,0.0
2003-02-01,,,,-5.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0,,,
2003-05-01,,,,0.0,0.0,0.0,2218.0,18014.0,18014.0
2003-06-01,,,,0.0,0.0,0.0,2747.0,37548.0,37548.0
2003-07-01,,,,0.0,0.0,0.0,1525.0,21526.0,21526.0
2003-08-01,,,,0.0,0.0,0.0,5912.0,74356.0,74356.0
2003-09-01,,,,0.0,0.0,0.0,934.0,13358.0,13358.0
2003-10-01,,,,0.0,0.0,0.0,-154.0,0.0,0.0
2003-11-01,,,,944.0,21831.0,21831.0,296.0,6858.0,6858.0
2003-12-01,,,,0.0,0.0,0.0,-55.0,0.0,0.0
2004-01-01,,,,591.826,8156.0,8156.0,286.574,3947.0,3947.0
2004-02-01,,,,35.473,489.0,489.0,617.619,8507.0,8507.0
2004-03-01,,,,3.0420000000000003,42.0,42.0,992.2180000000001,13666.0,13666.0
2004-04-01,,,,5.2,72.0,72.0,1785.317,24590.0,24590.0
2004-05-01,,,,17.477,241.0,241.0,3167.732,43631.0,43631.0
2004-06-01,,,,9.936,137.0,137.0,1973.421,27181.0,27181.0
2004-07-01,,,,4.132000000000001,57.0,57.0,2041.654,28121.0,28121.0
2004-08-01,,,,23.659000000000002,326.0,326.0,2567.95,35370.0,35370.0
2004-09-01,,,,3.83,53.0,53.0,1326.073,18265.0,18265.0
2004-10-01,,,,0.9710000000000001,13.0,13.0,404.511,5572.0,5572.0
2004-11-01,,,,0.7230000000000001,10.0,10.0,1414.363,19481.0,19481.0
2004-12-01,,,,106.73100000000001,1471.0,1471.0,1846.566,25434.0,25434.0
2005-01-01,,,,4893.893,54988.85,54988.85,160.295,4685.1,4685.1
2005-02-01,,,,1126.478,12657.35,12657.35,142.106,4153.46,4153.46
2005-03-01,,,,966.653,10861.53,10861.53,169.579,4956.43,4956.43
2005-04-01,,,,967.201,10867.68,10867.68,173.86,5081.56,5081.56
2005-05-01,,,,975.176,10957.29,10957.29,141.042,4122.36,4122.36
2005-06-01,,,,1181.2920000000001,13273.25,13273.25,239.954,7013.35,7013.35
2005-07-01,,,,2237.233,25138.03,25138.03,309.214,9037.69,9037.69
2005-08-01,,,,1981.536,22264.97,22264.97,330.596,9662.64,9662.64
2005-09-01,,,,1102.573,12388.75,12388.75,218.693,6391.92,6391.92
2005-10-01,,,,1545.825,17369.22,17369.22,151.237,4420.35,4420.35
2005-11-01,,,,1040.896,11695.74,11695.74,135.752,3967.76,3967.76
2005-12-01,,,,2851.2450000000003,32037.21,32037.21,146.672,4286.91,4286.91
2006-01-01,,,,2232.724,31899.0,31899.0,0.0,3.0,3.0
2006-02-01,,,,1168.314,16692.0,16692.0,0.0,3.0,3.0
2006-03-01,,,,981.395,14021.0,14021.0,0.0,4.0,4.0
2006-04-01,,,,1879.904,26858.0,26858.0,0.0,3.0,3.0
2006-05-01,,,,1757.238,25106.0,25106.0,0.0,4.0,4.0
2006-06-01,,,,1597.207,22819.0,22819.0,0.0,6.0,6.0
2006-07-01,,,,2313.5930000000003,33054.0,33054.0,0.0,10.0,10.0
2006-08-01,,,,2244.172,32062.0,32062.0,0.0,9.0,9.0
2006-09-01,,,,1031.009,14730.0,14730.0,0.0,5.0,5.0
2006-10-01,,,,1089.078,15560.0,15560.0,0.0,6.0,6.0
2006-11-01,,,,1282.423,18322.0,18322.0,0.0,4.0,4.0
2006-12-01,,,,1420.942,20301.0,20301.0,0.0,4.0,4.0
2007-01-01,0.0,0.0,0.0,225.232,3022.0,3022.0,1948.337,26148.0,26148.0
2007-02-01,0.0,0.0,0.0,1787.0230000000001,23984.0,23984.0,1679.883,22545.0,22545.0
2007-03-01,0.0,0.0,0.0,438.00600000000003,5880.0,5880.0,2443.3740000000003,32792.0,32792.0
2007-04-01,0.0,0.0,0.0,128.729,1729.0,1729.0,2472.411,33183.0,33183.0
2007-05-01,0.0,0.0,0.0,28.818,386.0,386.0,2636.228,35381.0,35381.0
2007-06-01,0.0,0.0,0.0,185.323,2489.0,2489.0,3628.857,48703.0,48703.0
2007-07-01,0.0,0.0,0.0,300.656,4037.0,4037.0,4787.981000000001,64259.0,64259.0
2007-08-01,0.0,0.0,0.0,429.88300000000004,5772.0,5772.0,5227.133,70153.0,70153.0
2007-09-01,0.0,0.0,0.0,162.383,2177.0,2177.0,3785.962,50812.0,50812.0
2007-10-01,0.0,0.0,0.0,104.574,1406.0,1406.0,2999.118,40252.0,40252.0
2007-11-01,0.0,0.0,0.0,86.766,1162.0,1162.0,2716.981,36465.0,36465.0
2007-12-01,0.0,0.0,0.0,78.614,1055.0,1055.0,3277.728,43990.0,43990.0
2008-01-01,0.0,0.0,0.0,2465.0550000000003,34417.0,34417.0,1405.586,19631.0,19631.0
2008-02-01,0.0,0.0,0.0,1552.2240000000002,21676.0,21676.0,1371.0140000000001,19148.0,19148.0
2008-03-01,0.0,0.0,0.0,1236.537,17271.0,17271.0,1420.246,19835.0,19835.0
2008-04-01,0.0,0.0,0.0,619.967,8658.0,8658.0,1598.88,22330.0,22330.0
2008-05-01,0.0,0.0,0.0,927.0970000000001,12950.0,12950.0,1282.69,17914.0,17914.0
2008-06-01,0.0,0.0,0.0,1324.164,18496.0,18496.0,2178.161,30421.0,30421.0
2008-07-01,0.0,0.0,0.0,163.431,2285.0,2285.0,2356.902,32917.0,32917.0
2008-08-01,0.0,0.0,0.0,184.24200000000002,2574.0,2574.0,1817.6770000000001,25386.0,25386.0
2008-09-01,0.0,0.0,0.0,407.516,5693.0,5693.0,1875.911,26199.0,26199.0
2008-10-01,0.0,0.0,0.0,372.129,5199.0,5199.0,1181.01,16494.0,16494.0
2008-11-01,0.0,0.0,0.0,460.101,6424.0,6424.0,1339.107,18702.0,18702.0
2008-12-01,0.0,0.0,0.0,1139.857,15921.0,15921.0,973.4960000000001,13596.0,13596.0
2009-01-01,0.0,0.0,0.0,3422.349,44504.0,44504.0,1285.765,16720.0,16720.0
2009-02-01,0.0,0.0,0.0,1323.3870000000002,17210.0,17210.0,1120.313,14568.0,14568.0
2009-03-01,0.0,0.0,0.0,1016.282,13213.0,13213.0,967.618,12582.0,12582.0
2009-04-01,0.0,0.0,0.0,342.03,4448.0,4448.0,1175.931,15291.0,15291.0
2009-05-01,0.0,0.0,0.0,835.046,10860.0,10860.0,1431.582,18616.0,18616.0
2009-06-01,0.0,0.0,0.0,72.423,942.0,942.0,1489.8120000000001,19373.0,19373.0
2009-07-01,0.0,0.0,0.0,68.974,896.0,896.0,1822.884,23704.0,23704.0
2009-08-01,0.0,0.0,0.0,411.46,5350.0,5350.0,2148.245,27936.0,27936.0
2009-09-01,0.0,0.0,0.0,95.337,1239.0,1239.0,1764.678,22947.0,22947.0
2009-10-01,0.0,0.0,0.0,39.766000000000005,520.0,520.0,1611.7620000000002,20959.0,20959.0
2009-11-01,0.0,0.0,0.0,55.354,719.0,719.0,1368.7920000000001,17799.0,17799.0
2009-12-01,0.0,0.0,0.0,97.153,1262.0,1262.0,1338.057,17400.0,17400.0
2010-01-01,0.0,0.0,0.0,251.548,2710.0,2710.0,4408.213000000001,47596.0,47596.0
2010-02-01,0.0,0.0,0.0,380.696,4111.0,4111.0,3839.8790000000004,41459.0,41459.0
2010-03-01,0.0,0.0,0.0,43.295,469.0,469.0,3400.464,36715.0,36715.0
2010-04-01,0.0,0.0,0.0,9.290000000000001,103.0,103.0,4039.983,43620.0,43620.0
2010-05-01,0.0,0.0,0.0,41.71,452.0,452.0,4746.634,51249.0,51249.0
2010-06-01,0.0,0.0,0.0,97.35600000000001,1052.0,1052.0,6101.305,65876.0,65876.0
2010-07-01,0.0,0.0,0.0,296.887,3208.0,3208.0,7774.121,83938.0,83938.0
2010-08-01,0.0,0.0,0.0,128.108,1384.0,1384.0,6691.398,72247.0,72247.0
2010-09-01,0.0,0.0,0.0,21.909000000000002,234.0,234.0,5492.6,59304.0,59304.0
2010-10-01,0.0,0.0,0.0,150.639,1624.0,1624.0,4573.212,49377.0,49377.0
2010-11-01,0.0,0.0,0.0,687.4870000000001,7422.0,7422.0,4395.411,47458.0,47458.0
2010-12-01,0.0,0.0,0.0,318.18100000000004,3437.0,3437.0,4944.674,53388.0,53388.0
2011-01-01,0.0,0.0,0.0,868.759,9633.0,9633.0,3922.917,43494.0,43494.0
2011-02-01,0.0,0.0,0.0,63.531,703.0,703.0,3632.95,40279.0,40279.0
2011-03-01,0.0,0.0,0.0,29.777,329.0,329.0,3682.826,40832.0,40832.0
2011-04-01,0.0,0.0,0.0,55.758,618.0,618.0,4386.945,48638.0,48638.0
2011-05-01,0.0,0.0,0.0,142.296,1576.0,1576.0,4199.998,46566.0,46566.0
2011-06-01,0.0,0.0,0.0,262.343,2909.0,2909.0,4921.762,54569.0,54569.0
2011-07-01,0.0,0.0,0.0,513.866,5698.0,5698.0,6278.419,69610.0,69610.0
2011-08-01,0.0,0.0,0.0,477.344,5290.0,5290.0,5261.473,58335.0,58335.0
2011-09-01,0.0,0.0,0.0,104.174,1157.0,1157.0,4483.251,49707.0,49707.0
2011-10-01,0.0,0.0,0.0,18.752,210.0,210.0,4460.224,49451.0,49451.0
2011-11-01,0.0,0.0,0.0,60.844,675.0,675.0,4676.068,51845.0,51845.0
2011-12-01,0.0,0.0,0.0,34.741,386.0,386.0,4480.982,49682.0,49682.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,469.0,7307.0,7307.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1176.0,13997.0,13997.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-174.0,170.0,170.0
2012-04-01,0.0,0.0,0.0,1.807,23.0,23.0,1033.193,12969.0,12969.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2843.0,34625.0,34625.0
2012-06-01,0.0,0.0,0.0,6.878,85.0,85.0,4178.122,51668.0,51668.0
2012-07-01,0.0,0.0,0.0,926.295,11935.0,11935.0,8390.705,108115.0,108115.0
2012-08-01,0.0,0.0,0.0,195.675,2438.0,2438.0,6355.325,79187.0,79187.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,5280.0,66454.0,66454.0
2012-10-01,0.0,0.0,0.0,1.016,17.0,17.0,1335.984,22367.0,22367.0
2012-11-01,0.0,0.0,0.0,21.982,284.0,284.0,7924.018,102195.0,102195.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,3349.0,35436.0,35436.0
2013-01-01,0.0,0.0,0.0,63.047,970.0,970.0,783.953,12056.0,12056.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1825.0,18699.0,18699.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,6642.0,81573.0,81573.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2819.0,28898.0,28898.0
2013-05-01,0.0,0.0,0.0,182.918,1950.0,1950.0,4948.082,52762.0,52762.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,8764.0,90516.0,90516.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,20104.0,232159.0,232159.0
