measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,8780.5,89798.0,89798.0,5434.0,59281.0,59281.0
2001-02-01,6104.5,63543.5,63543.5,0.0,0.0,0.0
2001-03-01,13749.0,145793.5,145793.5,0.0,0.0,0.0
2001-04-01,15524.5,165178.0,165178.0,0.0,0.0,0.0
2001-05-01,17469.5,189386.0,189386.0,0.0,0.0,0.0
2001-06-01,18695.5,201796.5,201796.5,0.0,0.0,0.0
2001-07-01,13995.5,156833.0,156833.0,0.0,0.0,0.0
2001-08-01,10946.0,124174.5,124174.5,0.0,0.0,0.0
2001-09-01,13153.0,144868.5,144868.5,0.0,0.0,0.0
2001-10-01,22016.5,234136.5,234136.5,0.0,0.0,0.0
2001-11-01,21361.0,222852.5,222852.5,0.0,0.0,0.0
2001-12-01,8814.5,90827.0,90827.0,0.0,0.0,0.0
2002-01-01,2847.0,38707.0,38707.0,7.0,92.0,92.0
2002-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-01,19850.0,213134.0,213134.0,0.0,0.0,0.0
2002-04-01,11847.0,106379.0,106379.0,0.0,0.0,0.0
2002-05-01,16126.0,169101.0,169101.0,0.0,0.0,0.0
2002-06-01,30600.0,323340.0,323340.0,0.0,0.0,0.0
2002-07-01,5610.0,63535.0,63535.0,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-01,1162.0,13220.0,13220.0,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-12-01,0.0,0.0,0.0,0.0,0.0,0.0
