measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,17700.347,181269.25,181269.25
2003-02-01,16331.134,167247.14,167247.14
2003-03-01,18003.104,184369.79,184369.79
2003-04-01,17025.275,174355.84,174355.84
2003-05-01,19493.648,199634.45,199634.45
2003-06-01,20310.432,207999.13,207999.13
2003-07-01,26076.751,267052.01,267052.01
2003-08-01,24498.194,250886.0,250886.0
2003-09-01,22386.707000000002,229262.27,229262.27
2003-10-01,21067.865,215756.01,215756.01
2003-11-01,17833.945,182637.43,182637.43
2003-12-01,18935.289,193916.29,193916.29
2005-01-01,33252.0,332486.75,332486.75
2005-02-01,13967.0,139656.03,139656.03
2005-03-01,32312.0,323087.69,323087.69
2005-04-01,32312.0,323087.69,323087.69
2005-05-01,33588.0,335846.41,335846.41
2005-06-01,29738.0,297350.26,297350.26
2005-07-01,30801.0,307979.2,307979.2
2005-08-01,28980.0,289771.02,289771.02
2005-09-01,30149.0,301459.85,301459.85
2005-10-01,32326.0,323227.67,323227.67
2005-11-01,32226.0,322227.77,322227.77
2005-12-01,32913.0,329097.09,329097.09
2006-01-01,32869.0,326027.61,326027.61
2006-02-01,29617.0,293771.02,293771.02
2006-03-01,32376.0,321137.54,321137.54
2006-04-01,22379.0,221977.3,221977.3
2006-05-01,8832.0,87604.61,87604.61
2006-06-01,30450.0,302033.55,302033.55
2006-07-01,32925.0,326583.08,326583.08
2006-08-01,34043.0,337672.52,337672.52
2006-09-01,32290.0,320284.51,320284.51
2006-10-01,33028.0,327604.73,327604.73
2006-11-01,2918.0,28943.64,28943.64
2006-12-01,33375.0,331046.63,331046.63
2007-01-01,33952.0,335581.57,335581.57
2007-02-01,30115.0,297656.66,297656.66
2007-03-01,32168.0,317948.51,317948.51
2007-04-01,17998.0,177892.23,177892.23
2007-05-01,14381.0,142141.8,142141.8
2007-06-01,31110.0,307491.24,307491.24
2007-07-01,32947.0,325648.15,325648.15
2007-08-01,32776.0,323957.98,323957.98
2007-09-01,31812.0,314429.81,314429.81
2007-10-01,32006.0,316347.3,316347.3
2007-11-01,29812.0,294661.81,294661.81
2007-12-01,32885.0,325035.34,325035.34
2008-01-01,30935.295,304836.4,304836.4
2008-02-01,27982.204,275736.64,275736.64
2008-03-01,29424.847,289952.44,289952.44
2008-04-01,28375.564,279612.81,279612.81
2008-05-01,29397.997000000003,289687.86,289687.86
2008-06-01,29848.442000000003,294126.55,294126.55
2008-07-01,30419.49,299753.65,299753.65
2008-08-01,30054.297,296155.04,296155.04
2008-09-01,29190.336000000003,287641.57,287641.57
2008-10-01,30190.13,297493.54,297493.54
2008-11-01,28834.959000000003,284139.69,284139.69
2008-12-01,29346.439,289179.81,289179.81
2009-01-01,34047.507,332303.67,332303.67
2009-02-01,30841.931,301017.25,301017.25
2009-03-01,34292.28,334692.65,334692.65
2009-04-01,32678.298,318940.19,318940.19
2009-05-01,33338.808,325386.77,325386.77
2009-06-01,32274.641,315000.5,315000.5
2009-07-01,34020.328,332038.4,332038.4
2009-08-01,33709.593,329005.63,329005.63
2009-09-01,32794.128,320070.69,320070.69
2009-10-01,33693.2,328845.63,328845.63
2009-11-01,33012.112,322198.21,322198.21
2009-12-01,35297.174,344500.42,344500.42
2010-01-01,33156.349,323473.0,323473.0
2010-02-01,29784.5,290578.0,290578.0
2010-03-01,32466.595,316744.0,316744.0
2010-04-01,30726.387,299767.0,299767.0
2010-05-01,32267.369,314800.0,314800.0
2010-06-01,31259.573,304968.0,304968.0
2010-07-01,32150.175,313657.0,313657.0
2010-08-01,32360.257,315707.0,315707.0
2010-09-01,31389.649,306237.0,306237.0
2010-10-01,30069.282,293356.0,293356.0
2010-11-01,31467.549,306997.0,306997.0
2010-12-01,32902.315,320995.0,320995.0
2011-01-01,31543.311,306475.0,306475.0
2011-02-01,28619.386,278066.0,278066.0
2011-03-01,31538.856,306432.0,306432.0
2011-04-01,28891.713,280712.0,280712.0
2011-05-01,31001.288,301209.0,301209.0
2011-06-01,28631.118,278180.0,278180.0
2011-07-01,30455.047,295901.0,295901.0
2011-08-01,30468.87,296036.0,296036.0
2011-09-01,29155.211,283272.0,283272.0
2011-10-01,30611.713,297423.0,297423.0
2011-11-01,29940.905,290906.0,290906.0
2011-12-01,31142.582,302581.0,302581.0
2012-01-01,24792.466,235925.0,235925.0
2012-02-01,23307.406,221793.0,221793.0
2012-03-01,25341.505,241150.0,241150.0
2012-04-01,24854.881,236519.0,236519.0
2012-05-01,25597.426,243585.0,243585.0
2012-06-01,24684.493,234898.0,234898.0
2012-07-01,25772.445,245251.0,245251.0
2012-08-01,25495.163,242612.0,242612.0
2012-09-01,25168.925,239507.0,239507.0
2012-10-01,25635.054,243943.0,243943.0
2012-11-01,25565.201,243278.0,243278.0
2012-12-01,26466.035,251851.0,251851.0
2013-01-01,26495.935,252798.0,252798.0
2013-02-01,23544.806,224641.0,224641.0
2013-03-01,26729.32,255024.0,255024.0
2013-04-01,24419.607,232987.0,232987.0
2013-05-01,25709.847,245298.0,245298.0
2013-06-01,24927.908,237837.0,237837.0
2013-07-01,26582.86,253627.0,253627.0
2013-08-01,26400.041,251883.0,251883.0
2013-09-01,25533.731,243617.0,243617.0
2013-10-01,26241.035,250366.0,250366.0
2013-11-01,22945.814,218926.0,218926.0
2013-12-01,25278.096,241178.0,241178.0
2014-01-01,24931.626,237100.0,237100.0
2014-02-01,22501.6,213990.0,213990.0
2014-03-01,25004.294,237791.0,237791.0
2014-04-01,24948.027,237256.0,237256.0
2014-05-01,25544.705,242930.0,242930.0
2014-06-01,25173.584,239401.0,239401.0
2014-07-01,26249.068,249629.0,249629.0
2014-08-01,26166.604,248844.0,248844.0
2014-09-01,25338.935,240973.0,240973.0
2014-10-01,26036.854,247610.0,247610.0
2014-11-01,25654.408,243973.0,243973.0
2014-12-01,25656.295,243991.0,243991.0
2015-01-01,30903.105,287986.0,287986.0
2015-02-01,28161.209,262434.0,262434.0
2015-03-01,30845.26,287447.0,287447.0
2015-04-01,27760.551,258701.0,258701.0
2015-05-01,31081.965,289653.0,289653.0
2015-06-01,30163.095,281090.0,281090.0
2015-07-01,31073.44,289573.0,289573.0
2015-08-01,30907.619,288028.0,288028.0
2015-09-01,25887.624,241247.0,241247.0
2015-10-01,28928.309,269583.0,269583.0
2015-11-01,27783.089,258911.0,258911.0
2015-12-01,28592.734,266456.0,266456.0
2016-01-01,26704.737,246538.0,246538.0
2016-02-01,24990.835,230715.0,230715.0
2016-03-01,26611.858,245681.0,245681.0
2016-04-01,24465.931,225869.0,225869.0
2016-05-01,27933.5,257882.0,257882.0
2016-06-01,26833.259,247725.0,247725.0
2016-07-01,28734.214,265274.0,265274.0
2016-08-01,28812.521,265997.0,265997.0
2016-09-01,28214.227,260474.0,260474.0
2016-10-01,28140.475,259793.0,259793.0
2016-11-01,27879.957,257388.0,257388.0
2016-12-01,29548.486,272792.0,272792.0
2017-01-01,30002.587,276414.0,276414.0
2017-02-01,26265.753,241986.0,241986.0
2017-03-01,29381.274,270690.0,270690.0
2017-04-01,28482.557,262410.0,262410.0
2017-05-01,27633.238,254585.0,254585.0
2017-06-01,27505.648,253410.0,253410.0
2017-07-01,29167.515,268720.0,268720.0
2017-08-01,28989.759,267083.0,267083.0
2017-09-01,28488.188,262462.0,262462.0
2017-10-01,25604.257,235892.0,235892.0
2017-11-01,27731.991,255495.0,255495.0
2017-12-01,28775.233,265106.0,265106.0
2018-01-01,30232.376,275236.0,275236.0
2018-02-01,28790.819,262112.0,262112.0
2018-03-01,30744.435,279897.0,279897.0
2018-04-01,26713.497,243200.0,243200.0
2018-05-01,31434.094,286176.0,286176.0
2018-06-01,30017.488,273279.0,273279.0
