measured_on,"Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,2.0,28.0,28.0,0.0,0.0,0.0,125728.0,2036584.0,2036584.0
2003-02-01,,,,,,,3.0,29.0,29.0,1263.0,15906.0,15906.0,135369.0,2123198.0,2123198.0
2003-03-01,,,,,,,0.0,0.0,0.0,131.0,1652.0,1652.0,85058.0,1341318.0,1341318.0
2003-04-01,,,,,,,0.0,0.0,0.0,49.0,726.0,726.0,12582.0,232474.0,232474.0
2003-05-01,,,,,,,0.0,0.0,0.0,1242.0,13818.0,13818.0,55455.0,768724.0,768724.0
2003-06-01,,,,,,,2.0,22.0,22.0,502.0,5971.0,5971.0,106551.0,1579908.0,1579908.0
2003-07-01,,,,,,,2.0,22.0,22.0,124.0,1493.0,1493.0,142888.0,2133384.0,2133384.0
2003-08-01,,,,,,,44.0,496.0,496.0,125.0,1487.0,1487.0,153477.0,2217754.0,2217754.0
2003-09-01,,,,,,,0.0,0.0,0.0,320.0,4030.0,4030.0,99581.0,1562594.0,1562594.0
2003-10-01,,,,,,,2.0,24.0,24.0,307.0,3664.0,3664.0,115761.0,1722358.0,1722358.0
2003-11-01,,,,,,,2.0,18.0,18.0,27.0,325.0,325.0,126154.0,1901394.0,1901394.0
2003-12-01,,,,,,,2.0,24.0,24.0,398.0,4832.0,4832.0,104898.0,1586948.0,1586948.0
2004-01-01,,,,14655.0,175927.0,175927.0,3.0,29.0,29.0,322.0,4006.0,4006.0,118612.0,1423954.0,1423954.0
2004-02-01,,,,8492.0,100073.0,100073.0,2.0,23.0,23.0,186.0,2295.0,2295.0,112481.0,1325456.0,1325456.0
