measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2008-01-01,-17.854,58.0,58.0,-75.066,244.0,244.0
2008-02-01,-7.5120000000000005,23.0,23.0,-28.204,92.0,92.0
2008-03-01,-8.333,29.0,29.0,-40.777,133.0,133.0
2008-04-01,-10.885,35.0,35.0,-75.56,246.0,246.0
2008-05-01,-18.490000000000002,58.0,58.0,-76.65100000000001,250.0,250.0
2008-06-01,-16.314,53.0,53.0,-122.54100000000001,399.0,399.0
2008-07-01,-11.709000000000001,41.0,41.0,-236.031,769.0,769.0
2008-08-01,-7.314,23.0,23.0,-198.95000000000002,648.0,648.0
2008-09-01,-8.647,29.0,29.0,-80.28800000000001,262.0,262.0
2008-10-01,-9.49,29.0,29.0,-79.25500000000001,258.0,258.0
2008-11-01,-7.0360000000000005,23.0,23.0,-98.81,322.0,322.0
2008-12-01,-7.252000000000001,23.0,23.0,-112.031,365.0,365.0
2010-01-01,-68.977,134.0,134.0,-37.192,73.0,73.0
2010-02-01,-48.926,93.0,93.0,-14.939,29.0,29.0
2010-03-01,-61.154,123.0,123.0,-17.757,35.0,35.0
2010-04-01,-43.826,88.0,88.0,-19.34,38.0,38.0
2010-05-01,-52.988,105.0,105.0,-23.267,45.0,45.0
2010-06-01,-81.49,158.0,158.0,-57.992000000000004,114.0,114.0
2010-07-01,-52.19,105.0,105.0,-90.446,177.0,177.0
2010-08-01,-54.739000000000004,105.0,105.0,-100.867,198.0,198.0
2010-09-01,-40.465,82.0,82.0,-31.888,62.0,62.0
2010-10-01,-80.36200000000001,158.0,158.0,-21.443,42.0,42.0
2010-11-01,-60.9,117.0,117.0,-12.402000000000001,24.0,24.0
2010-12-01,-50.703,99.0,99.0,-19.747,39.0,39.0
2011-01-01,-23.133,64.0,64.0,-16.4,45.0,45.0
2011-02-01,-30.771,82.0,82.0,-21.391,57.0,57.0
2011-03-01,-52.881,140.0,140.0,-20.08,53.0,53.0
2011-04-01,-28.542,76.0,76.0,-22.168,58.0,58.0
2011-05-01,-25.222,64.0,64.0,-20.006,53.0,53.0
2011-06-01,-18.29,47.0,47.0,-83.715,221.0,221.0
2011-07-01,-19.925,53.0,53.0,-131.645,348.0,348.0
2011-08-01,-12.611,35.0,35.0,-94.088,249.0,249.0
2011-09-01,-37.703,99.0,99.0,-31.281,83.0,83.0
2011-10-01,-33.391,88.0,88.0,-16.569,43.0,43.0
2011-11-01,-16.462,41.0,41.0,-13.003,34.0,34.0
2011-12-01,-30.108,82.0,82.0,-14.615,39.0,39.0
2012-01-01,-9.406,29.0,29.0,-38.276,106.0,106.0
2012-02-01,-8.048,23.0,23.0,-32.62,91.0,91.0
2012-03-01,-3.967,12.0,12.0,-42.017,118.0,118.0
2012-04-01,-7.575,23.0,23.0,-53.068,149.0,149.0
2012-05-01,-9.431,29.0,29.0,-94.364,265.0,265.0
2012-06-01,-9.012,23.0,23.0,-86.809,243.0,243.0
2012-07-01,-2.404,6.0,6.0,-156.158,438.0,438.0
2012-08-01,-7.258,18.0,18.0,-96.969,272.0,272.0
2012-09-01,-3.351,12.0,12.0,-46.657,131.0,131.0
2012-10-01,-4.748,12.0,12.0,-21.374,60.0,60.0
2012-11-01,-15.445,41.0,41.0,-17.245,48.0,48.0
2012-12-01,-8.924,23.0,23.0,-12.874,36.0,36.0
2013-01-01,-51.248,70.0,70.0,-10.563,13.0,13.0
2013-02-01,-27.645,35.0,35.0,-23.114,31.0,31.0
2013-03-01,-33.473,47.0,47.0,-29.12,40.0,40.0
2013-04-01,-28.452,41.0,41.0,-21.301,28.0,28.0
2013-05-01,-97.174,128.0,128.0,-34.234,46.0,46.0
2013-06-01,-61.149,82.0,82.0,-47.429,64.0,64.0
2013-07-01,-25.251,35.0,35.0,-46.193,62.0,62.0
2013-08-01,-15.855,23.0,23.0,-41.727,57.0,57.0
2013-09-01,-26.592,35.0,35.0,-39.536,54.0,54.0
2013-10-01,-43.292,58.0,58.0,-22.311,30.0,30.0
2013-11-01,-27.053,35.0,35.0,-15.233,21.0,21.0
2013-12-01,-82.872,111.0,111.0,-18.183,24.0,24.0
2014-01-01,-22.934,158.0,158.0,-30.799,229.0,229.0
2014-02-01,-24.164,181.0,181.0,-23.681,175.0,175.0
2014-03-01,-30.734,228.0,228.0,-12.78,94.0,94.0
2014-04-01,-18.774,140.0,140.0,-23.915,177.0,177.0
2014-05-01,-32.583,239.0,239.0,-41.101,304.0,304.0
2014-06-01,-22.563,169.0,169.0,-29.951,221.0,221.0
2014-07-01,-5.38,41.0,41.0,-35.931,266.0,266.0
2014-08-01,-24.171,181.0,181.0,-40.882,302.0,302.0
2014-09-01,-21.87,163.0,163.0,-21.949,162.0,162.0
2014-10-01,-15.447,117.0,117.0,-17.87,132.0,132.0
2014-11-01,-6.11,47.0,47.0,-22.886,170.0,170.0
2014-12-01,-25.372,187.0,187.0,-17.153,127.0,127.0
2015-01-01,-15.971,99.0,99.0,-17.625,113.0,113.0
2015-02-01,-9.944,64.0,64.0,-31.184,199.0,199.0
2015-03-01,-17.892,117.0,117.0,-38.057,242.0,242.0
2015-04-01,-12.506,82.0,82.0,-32.997,210.0,210.0
2015-05-01,-10.654,70.0,70.0,-35.926,229.0,229.0
2015-06-01,-2.72,18.0,18.0,-58.54,373.0,373.0
2015-07-01,-3.757,23.0,23.0,-106.215,676.0,676.0
2015-08-01,-5.547,35.0,35.0,-67.902,432.0,432.0
2015-09-01,-7.713,47.0,47.0,-49.717,317.0,317.0
2015-10-01,-3.09,18.0,18.0,-18.767,120.0,120.0
2015-11-01,-15.605,99.0,99.0,-23.229,148.0,148.0
2015-12-01,-12.83,82.0,82.0,-21.612,138.0,138.0
2016-01-01,-3.676,82.0,82.0,-5.85,142.0,142.0
2016-02-01,-2.88,70.0,70.0,-5.304,128.0,128.0
2016-03-01,-1.845,47.0,47.0,-11.387,276.0,276.0
2016-04-01,-2.323,58.0,58.0,-12.676,307.0,307.0
2016-05-01,-4.721,117.0,117.0,-24.022,581.0,581.0
2016-06-01,-3.441,82.0,82.0,-36.67,887.0,887.0
2016-07-01,-2.625,64.0,64.0,-33.38,808.0,808.0
2016-08-01,-0.479,12.0,12.0,-33.278,805.0,805.0
2016-09-01,-2.073,53.0,53.0,-30.475,738.0,738.0
2016-10-01,-2.687,64.0,64.0,-13.109,317.0,317.0
2016-11-01,-7.689,187.0,187.0,-15.951,386.0,386.0
2016-12-01,-5.354,128.0,128.0,-14.105,341.0,341.0
2017-01-01,-18.158,88.0,88.0,-35.561,170.0,170.0
2017-02-01,-9.902,47.0,47.0,-23.455,111.0,111.0
2017-03-01,-12.729,58.0,58.0,-46.977,222.0,222.0
2017-04-01,-15.439,76.0,76.0,-51.272,243.0,243.0
2017-05-01,-16.456,76.0,76.0,-37.428,177.0,177.0
