measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,383.0,6319.0,6319.0,-108.0,0.0,0.0
2003-02-01,860.0,13657.0,13657.0,-118.0,0.0,0.0
2003-03-01,650.0,13081.0,13081.0,18353.0,172701.0,172701.0
2003-04-01,-57.0,0.0,0.0,-341.0,0.0,0.0
2003-05-01,293.0,5625.0,5625.0,-384.0,0.0,0.0
2003-06-01,742.0,6480.0,6480.0,-198.0,0.0,0.0
2003-07-01,682.0,9637.0,9637.0,31119.0,318452.0,318452.0
2003-08-01,3006.0,36910.0,36910.0,32939.0,302225.0,302225.0
2003-09-01,-51.0,0.0,0.0,-334.0,0.0,0.0
2003-10-01,-52.0,0.0,0.0,-88.0,0.0,0.0
2003-11-01,,,,-94.0,0.0,0.0
2003-12-01,-8.0,0.0,0.0,-100.0,0.0,0.0
2004-01-01,-69.0,459.0,459.0,-79.0,0.0,0.0
2004-02-01,-6.0,0.0,0.0,-74.0,0.0,0.0
2004-03-01,3503.0,40127.0,40127.0,-106.0,0.0,0.0
2004-04-01,1353.0,18070.0,18070.0,12473.0,119043.0,119043.0
2004-05-01,-41.0,529.0,529.0,-369.0,0.0,0.0
2004-06-01,568.0,12698.0,12698.0,13590.0,146893.0,146893.0
2004-07-01,851.0,12262.0,12262.0,2875.0,36398.0,36398.0
2004-08-01,-15.0,113.0,113.0,1866.0,22716.0,22716.0
2004-09-01,-40.0,485.0,485.0,-230.0,74.0,74.0
2004-10-01,-51.0,113.0,113.0,-90.0,0.0,0.0
2004-11-01,-62.0,320.0,320.0,-93.0,0.0,0.0
2004-12-01,398.0,3197.0,3197.0,-95.0,0.0,0.0
2005-01-01,-70.0,107.1,107.1,-96.0,0.0,0.0
2005-02-01,234.0,7762.5,7762.5,-95.0,0.0,0.0
2005-03-01,-58.0,106.7,106.7,-109.0,0.0,0.0
2005-04-01,-55.0,126.0,126.0,17480.0,186669.0,186669.0
2005-05-01,282.0,4909.5,4909.5,6478.0,67069.8,67069.8
2005-06-01,1329.0,22954.14,22954.14,2380.0,29653.47,29653.47
2005-07-01,2126.0,29651.49,29651.49,-7.0,5346.0,5346.0
2005-08-01,-50.0,131.67,131.67,3375.0,38623.86,38623.86
2005-09-01,-51.0,117.81,117.81,-402.0,0.0,0.0
2005-10-01,265.0,3899.61,3899.61,-123.0,0.0,0.0
2005-11-01,-61.0,121.72,121.72,-94.0,0.0,0.0
2005-12-01,-73.0,122.39,122.39,-102.0,0.0,0.0
2006-01-01,-68.0,125.0,125.0,-101.0,0.0,0.0
2006-02-01,126.0,4187.0,4187.0,-162.0,0.0,0.0
2006-03-01,77.0,2437.0,2437.0,35179.0,351967.0,351967.0
2006-04-01,3327.0,43702.0,43702.0,45348.0,440974.0,440974.0
2006-05-01,794.0,12219.0,12219.0,10176.0,113887.0,113887.0
2006-06-01,1861.0,24635.0,24635.0,-420.0,0.0,0.0
2006-07-01,3660.0,53726.0,53726.0,10401.0,114493.0,114493.0
2006-08-01,3866.0,55055.0,55055.0,-485.0,0.0,0.0
2006-09-01,-55.0,105.0,105.0,-418.0,0.0,0.0
2006-10-01,1327.0,21211.0,21211.0,-119.0,0.0,0.0
