measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2003-01-01,766.8720000000001,10452.0,10452.0
2003-02-01,706.779,9633.0,9633.0
2003-03-01,696.1170000000001,9487.0,9487.0
2003-04-01,699.18,9529.0,9529.0
2003-05-01,610.437,8320.0,8320.0
2003-06-01,737.64,10053.0,10053.0
2003-07-01,957.37,13048.0,13048.0
2003-08-01,951.58,12969.0,12969.0
2003-09-01,786.557,10720.0,10720.0
2003-10-01,871.773,11881.0,11881.0
2003-11-01,788.8860000000001,10752.0,10752.0
2003-12-01,781.808,10655.0,10655.0
2004-01-01,681.917,8500.0,8500.0
2004-02-01,681.917,8500.0,8500.0
2004-03-01,681.917,8500.0,8500.0
2004-04-01,681.917,8500.0,8500.0
2004-05-01,681.917,8500.0,8500.0
2004-06-01,681.917,8500.0,8500.0
2004-07-01,681.917,8500.0,8500.0
2004-08-01,681.917,8500.0,8500.0
2004-09-01,681.917,8500.0,8500.0
2004-10-01,681.917,8500.0,8500.0
2004-11-01,681.917,8500.0,8500.0
2004-12-01,681.917,8500.0,8500.0
2005-01-01,551.658,8228.42,8228.42
2005-02-01,492.122,7340.4,7340.4
2005-03-01,562.071,8383.75,8383.75
2005-04-01,560.909,8366.42,8366.42
2005-05-01,616.638,9197.67,9197.67
2005-06-01,610.91,9112.23,9112.23
2005-07-01,632.565,9435.23,9435.23
2005-08-01,629.706,9392.58,9392.58
2005-09-01,593.179,8847.75,8847.75
2005-10-01,598.77,8931.15,8931.15
2005-11-01,603.063,8995.17,8995.17
2005-12-01,604.408,9015.23,9015.23
2006-01-01,533.176,8908.0,8908.0
2006-02-01,492.73600000000005,8232.0,8232.0
2006-03-01,543.5210000000001,9080.0,9080.0
2006-04-01,399.899,6681.0,6681.0
2006-05-01,488.911,8168.0,8168.0
2006-06-01,512.154,8556.0,8556.0
2006-07-01,531.5310000000001,8880.0,8880.0
2006-08-01,528.3340000000001,8827.0,8827.0
2006-09-01,505.36400000000003,8443.0,8443.0
2006-10-01,524.403,8761.0,8761.0
2006-11-01,529.64,8849.0,8849.0
2006-12-01,510.331,8526.0,8526.0
2007-01-01,436.77,7610.0,7610.0
2007-02-01,361.869,6305.0,6305.0
2007-03-01,446.83,7786.0,7786.0
2007-04-01,290.19300000000004,5056.0,5056.0
2007-05-01,406.446,7082.0,7082.0
2007-06-01,423.22400000000005,7374.0,7374.0
2007-07-01,426.62600000000003,7434.0,7434.0
2007-08-01,430.47200000000004,7501.0,7501.0
2007-09-01,433.742,7558.0,7558.0
2007-10-01,445.06300000000005,7755.0,7755.0
2007-11-01,457.42900000000003,7970.0,7970.0
2007-12-01,458.336,7986.0,7986.0
2008-01-01,360.848,5686.0,5686.0
2008-02-01,354.66900000000004,5589.0,5589.0
2008-03-01,343.42,5413.0,5413.0
2008-04-01,337.259,5315.0,5315.0
2008-05-01,366.998,5784.0,5784.0
2008-06-01,366.608,5778.0,5778.0
2008-07-01,378.499,5965.0,5965.0
2008-08-01,390.901,6161.0,6161.0
2008-09-01,351.45,5539.0,5539.0
2008-10-01,380.913,6003.0,6003.0
2008-11-01,383.90500000000003,6051.0,6051.0
2008-12-01,389.53000000000003,6139.0,6139.0
2009-01-01,302.199,4905.0,4905.0
2009-02-01,276.242,4484.0,4484.0
2009-03-01,360.00100000000003,5843.0,5843.0
2009-04-01,366.93100000000004,5956.0,5956.0
2009-05-01,371.543,6031.0,6031.0
2009-06-01,343.94100000000003,5582.0,5582.0
2009-07-01,366.248,5945.0,5945.0
2009-08-01,347.5,5640.0,5640.0
2009-09-01,336.057,5455.0,5455.0
2009-10-01,336.897,5468.0,5468.0
2009-11-01,316.875,5143.0,5143.0
2009-12-01,349.56600000000003,5674.0,5674.0
2010-01-01,230.14800000000002,3557.0,3557.0
2010-02-01,257.487,3978.0,3978.0
2010-03-01,293.382,4533.0,4533.0
2010-04-01,295.701,4569.0,4569.0
2010-05-01,283.86400000000003,4386.0,4386.0
2010-06-01,296.418,4580.0,4580.0
2010-07-01,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0
