measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed
2002-01-01,,,,15.777000000000001,171.0,171.0,50.061,541.0,541.0,12042.23,130231.0,130231.0
2002-02-01,,,,13.762,149.0,149.0,43.669000000000004,472.0,472.0,10504.629,113603.0,113603.0
2002-03-01,,,,17.484,189.0,189.0,55.479,600.0,600.0,13345.741,144328.0,144328.0
2002-04-01,,,,14.101,153.0,153.0,44.744,484.0,484.0,10763.362000000001,116401.0,116401.0
2002-05-01,,,,14.621,158.0,158.0,46.394000000000005,502.0,502.0,11160.117,120692.0,120692.0
2002-06-01,,,,18.98,205.0,205.0,60.225,651.0,651.0,14487.239000000001,156673.0,156673.0
2002-07-01,,,,22.916,248.0,248.0,72.71600000000001,787.0,787.0,17491.934,189168.0,189168.0
2002-08-01,,,,21.817,236.0,236.0,69.229,749.0,749.0,16653.132,180096.0,180096.0
2002-09-01,,,,19.669,213.0,213.0,62.411,675.0,675.0,15013.194,162361.0,162361.0
2002-10-01,,,,16.672,181.0,181.0,52.903000000000006,572.0,572.0,12725.928,137625.0,137625.0
2002-11-01,,,,15.357000000000001,166.0,166.0,48.73,527.0,527.0,11722.245,126771.0,126771.0
2002-12-01,,,,16.842000000000002,182.0,182.0,53.44,578.0,578.0,12855.249,139024.0,139024.0
2003-01-01,,,,9.601,111.0,111.0,13.516,156.0,156.0,11634.86,134400.0,134400.0
2003-02-01,,,,8.858,103.0,103.0,12.47,144.0,144.0,10734.843,124004.0,124004.0
2003-03-01,,,,9.765,113.0,113.0,13.747,159.0,159.0,11833.869,136699.0,136699.0
2003-04-01,,,,9.235,107.0,107.0,13.0,150.0,150.0,11191.119,129275.0,129275.0
2003-05-01,,,,10.574,122.0,122.0,14.885,172.0,172.0,12813.64,148017.0,148017.0
2003-06-01,,,,11.017000000000001,128.0,128.0,15.509,179.0,179.0,13350.530999999999,154219.0,154219.0
2003-07-01,,,,14.145,164.0,164.0,19.912000000000003,230.0,230.0,17140.87,198003.0,198003.0
2003-08-01,,,,13.289000000000001,154.0,154.0,18.706,216.0,216.0,16103.247,186017.0,186017.0
2003-09-01,,,,12.143,141.0,141.0,17.094,197.0,197.0,14715.315999999999,169984.0,169984.0
2003-10-01,,,,11.428,132.0,132.0,16.087,186.0,186.0,13848.41,159970.0,159970.0
2003-11-01,,,,9.674000000000001,112.0,112.0,13.618,157.0,157.0,11722.677,135415.0,135415.0
2003-12-01,,,,10.271,119.0,119.0,14.458,167.0,167.0,12446.617,143777.0,143777.0
2004-01-01,,,,0.329,4.0,4.0,6.785,80.0,80.0,12112.32,142801.0,142801.0
2004-02-01,,,,1.005,12.0,12.0,8.461,100.0,100.0,10382.343,122405.0,122405.0
2004-03-01,,,,0.595,7.0,7.0,10.738000000000001,127.0,127.0,12508.979,147478.0,147478.0
2004-04-01,,,,17.775,210.0,210.0,10.286000000000001,121.0,121.0,9076.208,107006.0,107006.0
2004-05-01,,,,24.961000000000002,295.0,295.0,11.711,138.0,138.0,11086.351,130705.0,130705.0
2004-06-01,,,,0.5720000000000001,7.0,7.0,10.117,119.0,119.0,14713.765,173471.0,173471.0
2004-07-01,,,,1.265,15.0,15.0,19.448,229.0,229.0,14377.73,169510.0,169510.0
2004-08-01,,,,6.017,71.0,71.0,18.198,215.0,215.0,15148.877,178601.0,178601.0
2004-09-01,,,,19.906000000000002,235.0,235.0,16.262,192.0,192.0,13667.278,161134.0,161134.0
2004-10-01,,,,0.502,6.0,6.0,11.649000000000001,137.0,137.0,10093.434,118999.0,118999.0
2004-11-01,,,,2.001,24.0,24.0,11.502,136.0,136.0,12418.065,146406.0,146406.0
