measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,7750.0,86387.0,143472.0,103.0,1149.0,1908.0,,,,,,,215.0,2395.0,3977.0,78.0,865.0,1436.0,,,,,,
2003-03-01,,,,3024.0,62534.0,95184.0,84.0,1742.0,2651.0,,,,,,,14320.0,296155.0,450780.0,42.0,860.0,1310.0,,,,,,
2003-04-01,,,,1831.0,48203.0,69384.0,91.0,2402.0,3457.0,,,,,,,14201.0,373888.0,538183.0,36.0,937.0,1348.0,,,,,,
2003-05-01,,,,1651.0,34724.0,52224.0,12.0,254.0,383.0,,,,,,,18628.0,391846.0,589318.0,410.0,8625.0,12972.0,,,,,,
2003-06-01,,,,3891.0,113648.0,118512.0,115.0,3365.0,3509.0,,,,,,,15412.0,450137.0,469402.0,104.0,3039.0,3169.0,,,,,,
2003-07-01,,,,691.0,16329.0,24288.0,52.0,1220.0,1815.0,,,,,,,16652.0,393679.0,585544.0,26.0,610.0,907.0,,,,,,
2003-08-01,,,,3081.0,79245.0,114120.0,20.0,519.0,748.0,,,,15.0,397.0,572.0,15023.0,386379.0,556424.0,14.0,354.0,510.0,,,,,,
2003-09-01,,,,1860.0,36205.0,55920.0,140.0,2726.0,4211.0,,,,119.0,2320.0,3583.0,16952.0,329885.0,509521.0,39.0,750.0,1159.0,,,,,,
2003-10-01,,,,2020.0,36465.0,57024.0,168.0,3034.0,4744.0,,,,82.0,1481.0,2316.0,17979.0,324631.0,507655.0,95.0,1720.0,2690.0,,,,,,
2003-11-01,,,,1247.0,29041.0,42912.0,154.0,3595.0,5313.0,,,,39.0,911.0,1346.0,15674.0,365117.0,539523.0,37.0,865.0,1279.0,,,,,,
2003-12-01,,,,4536.0,102993.0,156264.0,110.0,2496.0,3787.0,,,,32.0,734.0,1114.0,8943.0,203064.0,308095.0,246.0,5585.0,8474.0,,,,,,
2004-01-01,,,,3014.35676,29272.54,106945.92,627.90463,6097.61,22277.34,,,,8.89917,86.42,315.73,11706.00988,113677.54,415315.8,67.70054999999999,657.44,2401.94,,,,,,
2004-02-01,,,,3014.34791,29272.45,106945.92,56.61051,549.75,2008.48,,,,8.899149999999999,86.42,315.73,11705.97548,113677.2,415315.8,61.97195,601.81,2198.7,,,,,,
2004-03-01,,,,3014.34738,29272.45,106945.92,36.69245,356.32,1301.81,,,,8.899149999999999,86.42,315.73,11705.97342,113677.18,415315.8,67.09661,651.58,2380.52,,,,,,
2004-04-01,,,,3014.349,29272.46,106945.92,119.36780999999999,1159.19,4235.04,,,,8.899149999999999,86.42,315.73,11705.97974,113677.24,415315.8,68.73029,667.44,2438.48,,,,,,
2004-05-01,,,,3014.34761,29272.45,106945.92,17.08009,165.87,605.98,,,,8.899149999999999,86.42,315.73,11705.97433,113677.19,415315.8,78.40782,761.42,2781.83,,,,,,
2004-06-01,,,,3014.34701,29272.45,106945.92,16.11067,156.45,571.59,,,,8.899149999999999,86.42,315.73,11705.97201,113677.17,415315.8,69.08716,670.91,2451.14,,,,,,
2004-07-01,,,,3014.34896,29272.46,106945.92,127.97652,1242.79,4540.47,,,,8.899149999999999,86.42,315.73,11705.97957,113677.23,415315.8,74.94879,727.83,2659.1,,,,,,
2004-08-01,,,,3014.34762,29272.45,106945.92,43.83804,425.71,1555.33,,,,8.899149999999999,86.42,315.73,11705.97437,113677.19,415315.8,77.83782,755.89,2761.61,,,,,,
2004-09-01,,,,3014.3476,29272.45,106945.92,43.42444,421.7,1540.65,,,,8.899149999999999,86.42,315.73,11705.97429,113677.2,415315.8,74.48352,723.31,2642.6,,,,,,
2004-10-01,,,,3014.34758,29272.45,106945.92,32.59571,316.54,1156.46,,,,8.899149999999999,86.42,315.73,11705.97419,113677.18,415315.8,75.94136999999999,737.47,2694.32,,,,,,
2004-11-01,,,,3014.34762,29272.45,106945.92,40.05027,388.93,1420.94,,,,8.899149999999999,86.42,315.73,11705.97437,113677.19,415315.8,73.57258999999999,714.47,2610.28,,,,,,
2004-12-01,,,,3014.34721,29272.45,106945.92,22.581100000000003,219.29,801.15,,,,8.899149999999999,86.42,315.73,11705.97278,113677.17,415315.8,71.61576,695.46,2540.85,,,,,,
2005-01-01,,,,3978.9096000000004,38639.35,126565.95,374.43482,3636.15,11910.47,,,,2.96216,28.77,94.22,11933.07141,115882.53,379581.52,30.147879999999997,292.77,958.98,214.47713,2082.8,6822.35,,,
2005-02-01,,,,3508.65617,34072.71,110578.41,92.214,895.49,2906.21,,,,2.55084,24.77,80.39,10272.0055,99751.88,323731.36,25.430979999999998,246.96,801.48,52.8205,512.94,1664.69,,,
2005-03-01,,,,3800.5222000000003,36907.02,119906.7,131.62023,1278.17,4152.63,,,,2.8464,27.64,89.8,11462.98992,111317.56,361658.0,25.63355,248.93,808.74,75.3927,732.14,2378.64,,,
2005-04-01,,,,3201.7319,31092.15,100970.75,108.16047,1050.35,3410.98,,,,2.6283399999999997,25.52,82.89,10588.40601,102824.44,333919.04,22.012739999999997,213.77,694.2,61.95355,601.63,1953.79,,,
2005-05-01,,,,3808.08769,36980.5,120053.61,111.88463,1086.52,3527.27,,,,2.88156,27.98,90.84,11605.09626,112697.57,365861.76,24.08111,233.85,759.18,64.08675,622.35,2020.4,,,
