measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,5.246,76.0,76.0,3064.994,43838.0,43838.0
2003-02-01,4.681,67.0,67.0,2734.878,39116.0,39116.0
2003-03-01,4.6370000000000005,67.0,67.0,2709.541,38754.0,38754.0
2003-04-01,3.942,57.0,57.0,2303.47,32946.0,32946.0
2003-05-01,4.227,61.0,61.0,2469.72,35324.0,35324.0
2003-06-01,4.658,67.0,67.0,2721.57,38926.0,38926.0
2003-07-01,5.1240000000000006,74.0,74.0,2994.0350000000003,42823.0,42823.0
2003-08-01,5.4110000000000005,78.0,78.0,3161.8410000000003,45223.0,45223.0
2003-09-01,4.4030000000000005,63.0,63.0,2572.542,36794.0,36794.0
2003-10-01,4.136,60.0,60.0,2416.391,34561.0,34561.0
2003-11-01,4.339,62.0,62.0,2535.292,36262.0,36262.0
2003-12-01,5.197,75.0,75.0,3036.726,43434.0,43434.0
2004-01-01,9.376000000000001,155.0,155.0,2551.667,41831.0,41831.0
2004-02-01,1.062,18.0,18.0,2551.667,41831.0,41831.0
2004-03-01,0.613,10.0,10.0,2551.667,41831.0,41831.0
2004-04-01,1.077,18.0,18.0,2551.667,41831.0,41831.0
2004-05-01,21.027,347.0,347.0,2551.667,41831.0,41831.0
2004-06-01,2.777,46.0,46.0,2551.667,41831.0,41831.0
2004-07-01,0.626,10.0,10.0,2551.667,41831.0,41831.0
2004-08-01,0.611,10.0,10.0,2551.667,41831.0,41831.0
2004-09-01,1.67,28.0,28.0,2551.667,41831.0,41831.0
2004-10-01,0.14600000000000002,2.0,2.0,2551.667,41831.0,41831.0
2004-11-01,0.705,12.0,12.0,2551.667,41831.0,41831.0
2004-12-01,10.309000000000001,170.0,170.0,2551.667,41831.0,41831.0
2005-01-01,0.0,0.0,0.0,2306.462,38363.24,38363.24
