measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2021-01-01,24.278,342.0,342.0
2021-02-01,23.608,331.0,331.0
2021-03-01,18.399,258.0,258.0
2021-04-01,20.959,294.0,294.0
2021-05-01,23.99,337.0,337.0
2021-06-01,32.655,458.0,458.0
2021-07-01,35.975,505.0,505.0
2021-08-01,36.686,515.0,515.0
2021-09-01,31.001,436.0,436.0
2021-10-01,26.232,368.0,368.0
2021-11-01,21.576,304.0,304.0
2021-12-01,22.641,318.0,318.0
2022-01-01,31.776,449.0,449.0
2022-02-01,28.292,400.0,400.0
2022-03-01,22.529,318.0,318.0
2022-04-01,23.485,332.0,332.0
2022-05-01,34.693,491.0,491.0
2022-06-01,42.232,596.0,596.0
2022-07-01,49.766,703.0,703.0
2022-08-01,50.025,707.0,707.0
2022-09-01,42.168,596.0,596.0
2022-10-01,32.59,461.0,461.0
2022-11-01,30.546,432.0,432.0
2022-12-01,33.898,479.0,479.0
2023-01-01,25.709,364.0,364.0
2023-02-01,24.247,343.0,343.0
2023-03-01,23.93,338.0,338.0
2023-04-01,23.111,326.0,326.0
2023-05-01,32.995,467.0,467.0
2023-06-01,38.116,539.0,539.0
2023-07-01,41.801,590.0,590.0
2023-08-01,46.009,650.0,650.0
2023-09-01,38.76,548.0,548.0
2023-10-01,28.61,404.0,404.0
2023-11-01,26.526,374.0,374.0
2023-12-01,28.186,398.0,398.0
2024-01-01,24.886,367.0,367.0
2024-02-01,17.18,253.0,253.0
2024-03-01,19.497,288.0,288.0
2024-04-01,18.317,270.0,270.0
2024-05-01,24.474,361.0,361.0
2024-06-01,27.611,408.0,408.0
2024-07-01,29.845,440.0,440.0
2024-08-01,33.723,498.0,498.0
2024-09-01,27.981,413.0,413.0
2024-10-01,24.238,358.0,358.0
2024-11-01,19.418,287.0,287.0
2024-12-01,20.83,307.0,307.0
