measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2007-01-01,5.659000000000001,52.0,52.0,0.042,0.0,0.0,453.45300000000003,3985.0,3985.0
2007-02-01,21.571,191.0,191.0,0.036000000000000004,0.0,0.0,1728.383,15179.0,15179.0
2007-03-01,6.297000000000001,58.0,58.0,0.039,0.0,0.0,504.55,4431.0,4431.0
2007-04-01,4.541,41.0,41.0,0.037000000000000005,0.0,0.0,363.87800000000004,3196.0,3196.0
2007-05-01,0.936,6.0,6.0,0.041,0.0,0.0,74.97,661.0,661.0
2007-06-01,2.862,23.0,23.0,0.04,0.0,0.0,229.31300000000002,2013.0,2013.0
2007-07-01,1.2630000000000001,12.0,12.0,0.044000000000000004,0.0,0.0,101.203,887.0,887.0
2007-08-01,6.0,52.0,52.0,0.041,0.0,0.0,480.74,4222.0,4222.0
2007-09-01,0.755,6.0,6.0,0.038,0.0,0.0,60.508,534.0,534.0
2007-10-01,1.483,12.0,12.0,0.04,0.0,0.0,118.789,1044.0,1044.0
2007-11-01,0.47200000000000003,6.0,6.0,0.038,0.0,0.0,37.82,331.0,331.0
2007-12-01,0.993,12.0,12.0,0.043000000000000003,0.0,0.0,79.604,702.0,702.0
2008-01-01,2.077,29.0,29.0,80.483,811.0,811.0,685.392,6902.0,6902.0
2008-02-01,0.8140000000000001,6.0,6.0,70.52300000000001,710.0,710.0,268.563,2703.0,2703.0
2008-03-01,0.11800000000000001,0.0,0.0,64.851,653.0,653.0,38.78,389.0,389.0
2008-04-01,0.24500000000000002,0.0,0.0,77.49600000000001,781.0,781.0,80.99900000000001,818.0,818.0
2008-05-01,0.20500000000000002,0.0,0.0,88.345,890.0,890.0,67.697,684.0,684.0
2008-06-01,2.204,23.0,23.0,92.458,931.0,931.0,727.091,7325.0,7325.0
2008-07-01,1.075,12.0,12.0,90.095,907.0,907.0,354.826,3573.0,3573.0
2008-08-01,0.42700000000000005,6.0,6.0,88.863,895.0,895.0,140.79,1415.0,1415.0
2008-09-01,0.546,6.0,6.0,76.551,771.0,771.0,180.17100000000002,1815.0,1815.0
2008-10-01,0.157,0.0,0.0,80.08800000000001,807.0,807.0,51.731,522.0,522.0
2008-11-01,2.34,23.0,23.0,82.61200000000001,832.0,832.0,772.1020000000001,7778.0,7778.0
2008-12-01,1.885,17.0,17.0,88.548,892.0,892.0,621.852,6264.0,6264.0
2009-01-01,0.0,0.0,0.0,16.887,164.0,164.0,915.5880000000001,8897.0,8897.0
2009-02-01,0.0,0.0,0.0,14.667,143.0,143.0,336.07300000000004,3265.0,3265.0
2009-03-01,0.0,0.0,0.0,14.551,141.0,141.0,265.56800000000004,2581.0,2581.0
2009-04-01,0.0,0.0,0.0,17.006,165.0,165.0,24.61,238.0,238.0
2009-05-01,0.0,0.0,0.0,17.333000000000002,168.0,168.0,69.516,673.0,673.0
2009-06-01,0.0,0.0,0.0,17.29,168.0,168.0,47.913000000000004,464.0,464.0
2009-07-01,0.0,0.0,0.0,15.787,153.0,153.0,86.504,841.0,841.0
2009-08-01,0.0,0.0,0.0,16.236,158.0,158.0,171.312,1665.0,1665.0
2009-09-01,0.0,0.0,0.0,14.13,137.0,137.0,21.964000000000002,215.0,215.0
2009-10-01,0.0,0.0,0.0,14.392000000000001,140.0,140.0,28.166,273.0,273.0
2009-11-01,0.0,0.0,0.0,14.402000000000001,140.0,140.0,36.162,354.0,354.0
2009-12-01,0.0,0.0,0.0,14.326,139.0,139.0,44.617000000000004,435.0,435.0
2010-01-01,23.574,238.0,238.0,36.635000000000005,366.0,366.0,284.91,2859.0,2859.0
2010-02-01,12.571,128.0,128.0,26.932000000000002,269.0,269.0,151.92600000000002,1520.0,1520.0
2010-03-01,2.948,29.0,29.0,31.342000000000002,313.0,313.0,35.633,354.0,354.0
2010-04-01,2.92,29.0,29.0,40.472,405.0,405.0,35.287,354.0,354.0
2010-05-01,6.876,70.0,70.0,43.849000000000004,438.0,438.0,83.102,829.0,829.0
2010-06-01,35.062000000000005,348.0,348.0,45.076,451.0,451.0,423.74100000000004,4234.0,4234.0
2010-07-01,49.503,493.0,493.0,46.358000000000004,464.0,464.0,598.27,5980.0,5980.0
2010-08-01,27.619,278.0,278.0,44.386,444.0,444.0,333.79900000000004,3335.0,3335.0
2010-09-01,22.047,220.0,220.0,37.032000000000004,370.0,370.0,266.45,2662.0,2662.0
2010-10-01,4.79,46.0,46.0,33.442,334.0,334.0,57.895,580.0,580.0
2010-11-01,8.543000000000001,87.0,87.0,48.241,482.0,482.0,103.251,1032.0,1032.0
2010-12-01,54.17,539.0,539.0,41.674,417.0,417.0,654.674,6542.0,6542.0
2011-01-01,51.314,559.0,559.0,7.281,79.0,79.0,0.0,0.0,0.0
2011-02-01,6.899,74.0,74.0,6.523,71.0,71.0,0.0,0.0,0.0
2011-03-01,14.67,160.0,160.0,6.471,71.0,71.0,0.0,0.0,0.0
2011-04-01,6.244,68.0,68.0,6.773,74.0,74.0,0.0,0.0,0.0
