measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.0,0.0,0.0,,,
2003-02-01,151.0,3654.0,3654.0,413.0,7175.0,7175.0,50.0,1228.0,1228.0,669.0,11667.0,11667.0,,,
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,46.0,46.0,-119.0,0.0,0.0,,,
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,-14.0,0.0,0.0,,,
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,415.0,9763.0,9763.0,5681.0,83103.0,83103.0,,,
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,150.0,3511.0,3511.0,,,,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-152.0,0.0,0.0,,,
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,252.0,4963.0,4963.0,1554.0,28404.0,28404.0,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.0,23083.0,23083.0,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6973.0,96664.0,96664.0,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,454.0,11544.0,11544.0,405.0,7299.0,7299.0,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,119.483,2249.0,2249.0,1249.309,19036.0,19036.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,115.94200000000001,2182.0,2182.0,1290.021,19656.0,19656.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,123.79100000000001,2330.0,2330.0,1257.352,19158.0,19158.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,129.03400000000002,2429.0,2429.0,1374.883,20949.0,20949.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,121.975,2296.0,2296.0,1769.373,26960.0,26960.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,141.68200000000002,2667.0,2667.0,2218.068,33797.0,33797.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,135.082,2542.0,2542.0,2916.656,44441.0,44441.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,130.674,2459.0,2459.0,2777.3250000000003,42318.0,42318.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,132.602,2496.0,2496.0,1960.402,29871.0,29871.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,136.567,2570.0,2570.0,1801.1190000000001,27444.0,27444.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,115.20200000000001,2168.0,2168.0,963.081,14675.0,14675.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,136.965,2578.0,2578.0,1083.411,16508.0,16508.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,217.437,2681.05,2681.05,757.316,15827.22,15827.22,10362.57,149817.29,149817.29,,,
2005-02-01,0.0,0.0,0.0,110.355,1360.7,1360.7,628.681,13138.86,13138.86,8602.416000000001,124369.8,124369.8,,,
2005-03-01,0.0,0.0,0.0,133.561,1646.84,1646.84,778.57,16271.4,16271.4,10653.39,154021.83,154021.83,,,
2005-04-01,0.0,0.0,0.0,139.173,1716.04,1716.04,767.1320000000001,16032.36,16032.36,10496.881,151759.1,151759.1,,,
2005-05-01,0.0,0.0,0.0,163.99200000000002,2022.05,2022.05,904.3240000000001,18899.56,18899.56,12374.126,178899.46,178899.46,,,
2005-06-01,0.0,0.0,0.0,148.477,1830.75,1830.75,1141.2820000000002,23851.76,23851.76,15616.488000000001,225776.04,225776.04,,,
2005-07-01,0.0,0.0,0.0,237.75,2931.51,2931.51,1430.3680000000002,29893.39,29893.39,19572.129,282964.88,282964.88,,,
2005-08-01,0.0,0.0,0.0,263.106,3244.15,3244.15,1481.7060000000001,30966.31,30966.31,20274.603,293120.94,293120.94,,,
2005-09-01,0.0,0.0,0.0,261.28,3221.64,3221.64,1127.486,23563.43,23563.43,15427.706,223046.72,223046.72,,,
2005-10-01,0.0,0.0,0.0,155.905,1922.34,1922.34,900.724,18824.3,18824.3,12324.854,178187.1,178187.1,,,
2005-11-01,0.0,0.0,0.0,124.268,1532.24,1532.24,768.466,16060.25,16060.25,10515.141,152023.1,152023.1,,,
2005-12-01,0.0,0.0,0.0,270.696,3337.74,3337.74,749.9440000000001,15673.15,15673.15,10261.697,148358.92,148358.92,,,
