measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,82786.0,1033763.0,1033763.0,0.0,0.0,0.0
2003-02-01,393.0,4095.0,4095.0,38542.0,401347.0,401347.0,0.0,0.0,0.0
2003-03-01,4133.0,57472.0,57472.0,38973.0,541947.0,541947.0,0.0,0.0,0.0
2003-04-01,2324.0,28192.0,28192.0,87061.0,1056102.0,1056102.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,143101.0,1614812.0,1614812.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,64680.0,813349.0,813349.0,,,
2003-07-01,2042.0,23972.0,23972.0,111845.0,1312947.0,1312947.0,0.0,0.0,0.0
2003-08-01,2000.0,23575.0,23575.0,130527.0,1538686.0,1538686.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,60686.0,742489.0,742489.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,54685.0,681803.0,681803.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,34189.0,408762.0,408762.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,12719.0,182223.0,182223.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,14612.0,228803.0,228803.0,-235.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,12248.0,202973.0,202973.0,0.0,0.0,0.0
2004-03-01,392.0,0.0,0.0,25578.0,343711.0,343711.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,58342.0,686984.0,686984.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,101299.0,1174827.0,1174827.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,91050.0,1082997.0,1082997.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,84685.0,1044829.0,1044829.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,103002.0,1205092.0,1205092.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,5243.0,73290.0,73290.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,19145.0,231812.0,231812.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,755.0,755.0,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,574.0,22777.0,22777.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,6478.0,92655.0,92655.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,21707.0,239807.0,239807.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,45995.0,484109.0,484109.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,84.0,84.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,2985.0,22600.0,22600.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,46413.0,555297.0,555297.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,99369.0,1138116.0,1138116.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,41274.0,386976.0,386976.0,0.0,0.0,0.0
