measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2005-01-01,9287.0,123270.92,123270.92,33700.0,363934.47,363934.47,,,,0.0,0.0,0.0
2005-02-01,1870.0,26751.63,26751.63,-211.0,0.0,0.0,,,,0.0,0.0,0.0
2005-03-01,7075.0,95070.96,95070.96,-346.0,0.0,0.0,,,,0.0,0.0,0.0
2005-04-01,791.0,12685.4,12685.4,-185.0,0.0,0.0,,,,0.0,0.0,0.0
2005-05-01,18703.0,246200.08,246200.08,-222.0,0.0,0.0,,,,0.0,0.0,0.0
2005-06-01,4084.0,55626.34,55626.34,17512.0,208548.46,208548.46,,,,0.0,0.0,0.0
2005-07-01,2367.0,33458.46,33458.46,8237.0,99836.58,99836.58,,,,0.0,0.0,0.0
2005-08-01,-179.0,11.25,11.25,48806.0,528528.81,528528.81,,,,0.0,0.0,0.0
2005-09-01,631.0,10758.63,10758.63,52469.0,568889.49,568889.49,,,,0.0,0.0,0.0
2005-10-01,-154.0,40.47,40.47,74161.0,809891.85,809891.85,,,,0.0,0.0,0.0
2005-11-01,8.0,2101.21,2101.21,70556.0,736964.98,736964.98,,,,0.0,0.0,0.0
2005-12-01,513.0,9392.28,9392.28,81144.0,843136.7,843136.7,,,,0.0,0.0,0.0
2006-01-01,103.0,3605.0,3605.0,74535.0,780878.0,780878.0,,,,0.0,0.0,0.0
2006-02-01,5446.0,74105.0,74105.0,58519.0,616472.0,616472.0,,,,0.0,0.0,0.0
2006-03-01,898.0,13939.0,13939.0,66278.0,693565.0,693565.0,,,,0.0,0.0,0.0
2006-04-01,244.0,5362.0,5362.0,26511.0,293449.0,293449.0,,,,0.0,0.0,0.0
2006-05-01,9.0,2308.0,2308.0,38158.0,445027.0,445027.0,,,,0.0,0.0,0.0
2006-06-01,-37.0,1952.0,1952.0,39860.0,458676.0,458676.0,,,,0.0,0.0,0.0
2006-07-01,1907.0,29928.0,29928.0,39368.0,460840.0,460840.0,,,,0.0,0.0,0.0
2006-08-01,63.0,3169.0,3169.0,36752.0,438210.0,438210.0,,,,0.0,0.0,0.0
2006-09-01,893.0,14106.0,14106.0,38816.0,454716.0,454716.0,,,,0.0,0.0,0.0
2006-10-01,12171.0,161552.0,161552.0,48672.0,537885.0,537885.0,,,,0.0,0.0,0.0
2006-11-01,11000.0,146614.0,146614.0,8688.0,100566.0,100566.0,,,,0.0,0.0,0.0
2006-12-01,618.0,10483.0,10483.0,45287.0,504987.0,504987.0,,,,0.0,0.0,0.0
2007-01-01,3422.0,48156.0,48156.0,40573.0,456358.0,456358.0,,,,0.0,0.0,0.0
2007-02-01,1371.0,20019.0,20019.0,48583.0,532141.0,532141.0,,,,0.0,0.0,0.0
2007-03-01,1787.0,25725.0,25725.0,52112.0,559676.0,559676.0,,,,0.0,0.0,0.0
2007-04-01,3477.0,47392.0,47392.0,22012.0,251024.0,251024.0,,,,0.0,0.0,0.0
