measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2003-01-01,3.0,69.0,69.0,,,,15631.55,320674.75,320674.75,12789.45,262370.25,262370.25,,,,,,
2003-02-01,5.0,129.0,129.0,,,,8339.65,221380.5,221380.5,6823.35,181129.5,181129.5,,,,,,
2003-03-01,2.0,47.0,47.0,,,,12098.35,307547.35,307547.35,9898.65,251629.65,251629.65,,,,,,
2003-04-01,2.0,55.0,55.0,,,,15621.1,355617.9,355617.9,12780.9,290960.1,290960.1,,,,,,
2003-05-01,4.0,94.0,94.0,,,,13830.85,356527.6,356527.6,11316.15,291704.4,291704.4,,,,,,
2003-06-01,4.0,110.0,110.0,,,,14246.1,366869.25,366869.25,11655.9,300165.75,300165.75,,,,,,
2003-07-01,6.0,105.0,105.0,,,,18003.7,333773.55,333773.55,14730.3,273087.45,273087.45,,,,,,
2003-08-01,4.0,85.0,85.0,,,,16333.27575,357608.9,357608.9,13363.58925,292589.1,292589.1,,,,,,
2003-09-01,3.0,85.0,85.0,,,,11752.95,324386.7,324386.7,9616.05,265407.3,265407.3,,,,,,
2003-10-01,3.0,68.0,68.0,,,,12447.6,330410.3,330410.3,10184.4,270335.7,270335.7,,,,,,
2003-11-01,3.0,90.0,90.0,,,,10027.05,260334.25,260334.25,8203.95,213000.75,213000.75,,,,,,
2003-12-01,2.0,40.0,40.0,,,,11996.05,296027.05,296027.05,9814.95,242203.95,242203.95,,,,,,
2004-01-01,1.0,30.0,30.0,,,,11598.95,281246.9,281246.9,9490.05,230111.1,230111.1,,,,,,
2004-02-01,1.0,15.0,15.0,,,,11200.75,288997.5,288997.5,9164.25,236452.5,236452.5,,,,,,
2004-03-01,1.0,25.0,25.0,,,,10462.1,272489.25,272489.25,8559.9,222945.75,222945.75,,,,,,
2004-04-01,2.0,45.0,45.0,,,,11446.05,305853.9,305853.9,9364.95,250244.1,250244.1,,,,,,
2004-05-01,1.0,35.0,35.0,,,,12958.55,339276.3,339276.3,10602.45,277589.7,277589.7,,,,,,
2004-06-01,1.0,23.0,23.0,,,,11740.85,328436.9,328436.9,9606.15,268721.1,268721.1,,,,,,
2004-07-01,1.0,15.0,15.0,,,,12157.2,340946.1,340946.1,9946.8,278955.9,278955.9,,,,,,
