measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,1140.0,13340.0,13340.0,1215.0,14214.0,14214.0
2003-02-01,,,,742.0,7962.0,7962.0,7760.0,83260.0,83260.0
2003-03-01,0.0,0.0,0.0,4855.0,52264.0,52264.0,8567.0,92229.0,92229.0
2003-04-01,0.0,0.0,0.0,1721.0,21654.0,21654.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,34679.0,375225.0,375225.0,305.0,3300.0,3300.0
2003-06-01,0.0,0.0,0.0,33408.0,401523.0,401523.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,40403.0,505814.0,505814.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,64251.0,731850.0,731850.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,52632.0,611840.0,611840.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,42250.0,459280.0,459280.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,53225.0,610269.0,610269.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,47080.0,522126.0,522126.0,5064.0,56160.0,56160.0
2004-01-01,0.0,0.0,0.0,32648.0,388200.0,388200.0,1433.0,17124.0,17124.0
2004-02-01,0.0,0.0,0.0,32648.0,380588.0,380588.0,1433.0,17124.0,17124.0
2004-03-01,0.0,0.0,0.0,50234.0,610222.0,610222.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,26404.0,331021.0,331021.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,27859.0,335138.0,335138.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,26514.0,331212.0,331212.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,36935.0,435263.0,435263.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,31688.0,391708.0,391708.0,1081.0,13655.0,13655.0
2004-09-01,0.0,0.0,0.0,37990.0,477162.0,477162.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,31688.0,399542.0,399542.0,1081.0,13637.0,13637.0
2004-11-01,0.0,0.0,0.0,31688.0,393180.0,393180.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,20122.0,218577.0,218577.0,39360.0,431118.0,431118.0
2005-01-01,,,,,,,0.0,0.0,0.0
2005-02-01,,,,,,,0.0,0.0,0.0
2005-03-01,,,,,,,0.0,0.0,0.0
2005-04-01,,,,,,,0.0,0.0,0.0
2005-05-01,,,,,,,0.0,0.0,0.0
2005-06-01,,,,,,,0.0,0.0,0.0
2005-07-01,,,,,,,0.0,0.0,0.0
2005-08-01,,,,,,,0.0,0.0,0.0
2005-09-01,,,,,,,0.0,0.0,0.0
2005-10-01,,,,,,,0.0,0.0,0.0
2005-11-01,,,,,,,0.0,0.0,0.0
2005-12-01,,,,,,,0.0,0.0,0.0
