measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,133061.0,1325065.0,1325065.0,114.0,1919.0,1919.0,294.0,2925.0,2925.0,0.0,0.0,0.0,,,
2003-02-01,,,,111747.0,1239114.0,1239114.0,141.0,2387.0,2387.0,545.0,6043.0,6043.0,1.0,10.0,10.0,,,
2003-03-01,,,,130755.0,1376095.0,1376095.0,,,,306.0,3218.0,3218.0,0.0,0.0,0.0,,,
2003-04-01,,,,106566.0,1075525.0,1075525.0,18.0,392.0,392.0,180.0,1814.0,1814.0,10.0,206.0,206.0,,,
2003-05-01,,,,59505.0,680614.0,680614.0,,,,494.0,5645.0,5645.0,,,,,,
2003-06-01,,,,69452.0,766491.0,766491.0,0.0,0.0,0.0,591.0,6517.0,6517.0,19.0,464.0,464.0,,,
2003-07-01,,,,121693.0,1358647.0,1358647.0,0.0,0.0,0.0,66.0,737.0,737.0,187.0,3275.0,3275.0,,,
2003-08-01,,,,112623.0,1273390.0,1273390.0,3.0,47.0,47.0,264.0,2984.0,2984.0,2015.0,35473.0,35473.0,,,
2003-09-01,,,,82900.0,913575.0,913575.0,0.0,0.0,0.0,820.0,9032.0,9032.0,674.0,11872.0,11872.0,,,
2003-10-01,,,,94607.0,1007692.0,1007692.0,0.0,0.0,0.0,186.0,1977.0,1977.0,0.0,0.0,0.0,,,
2003-11-01,,,,59285.0,730949.0,730949.0,0.0,0.0,0.0,312.0,3849.0,3849.0,0.0,0.0,0.0,,,
2003-12-01,,,,112010.0,1203944.0,1203944.0,0.0,0.0,0.0,659.0,7084.0,7084.0,0.0,0.0,0.0,,,
2004-01-01,,,,128295.0,1313052.0,1313052.0,22.0,105.0,105.0,386.0,3955.0,3955.0,0.0,0.0,0.0,,,
2004-02-01,,,,112439.0,1165349.0,1165349.0,0.0,0.0,0.0,283.0,2937.0,2937.0,0.0,0.0,0.0,,,
2004-03-01,,,,91987.0,928069.0,928069.0,0.0,0.0,0.0,474.0,4779.0,4779.0,0.0,0.0,0.0,,,
