measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2015-05-01,1183.092,11025.0,11025.0
2015-06-01,1102.778,10277.0,10277.0
2015-07-01,1181.533,11011.0,11011.0
2015-08-01,1053.404,9817.0,9817.0
2015-09-01,719.882,6709.0,6709.0
2015-10-01,646.74,6027.0,6027.0
2015-11-01,476.029,4436.0,4436.0
2015-12-01,713.542,6649.0,6649.0
2016-01-01,468.979,4330.0,4330.0
2016-02-01,482.665,4456.0,4456.0
2016-03-01,951.785,8787.0,8787.0
2016-04-01,800.154,7387.0,7387.0
2016-05-01,702.325,6484.0,6484.0
2016-06-01,830.353,7666.0,7666.0
2016-07-01,860.646,7945.0,7945.0
2016-08-01,1132.295,10453.0,10453.0
2016-09-01,812.474,7501.0,7501.0
2016-10-01,625.179,5772.0,5772.0
2016-11-01,445.564,4113.0,4113.0
2016-12-01,720.581,6652.0,6652.0
2017-01-01,645.729,5949.0,5949.0
2017-02-01,788.293,7263.0,7263.0
2017-03-01,970.469,8941.0,8941.0
2017-04-01,1057.063,9739.0,9739.0
2017-05-01,1155.589,10646.0,10646.0
2017-06-01,988.373,9106.0,9106.0
2017-07-01,1102.983,10162.0,10162.0
2017-08-01,995.769,9174.0,9174.0
2017-09-01,956.251,8810.0,8810.0
2017-10-01,832.681,7671.0,7671.0
2017-11-01,735.485,6776.0,6776.0
2017-12-01,601.315,5540.0,5540.0
2018-01-01,670.719,6106.0,6106.0
2018-02-01,587.897,5352.0,5352.0
2018-03-01,849.261,7732.0,7732.0
2018-04-01,1042.81,9494.0,9494.0
2018-05-01,1035.862,9430.0,9430.0
2018-06-01,1114.375,10145.0,10145.0
2018-07-01,1052.194,9579.0,9579.0
2018-08-01,1074.386,9781.0,9781.0
2018-09-01,711.313,6476.0,6476.0
2018-10-01,765.851,6972.0,6972.0
2018-11-01,555.392,5056.0,5056.0
2018-12-01,458.94,4178.0,4178.0
2019-01-01,609.228,5425.0,5425.0
2019-02-01,587.159,5229.0,5229.0
2019-03-01,972.866,8663.0,8663.0
2019-04-01,999.753,8903.0,8903.0
2019-05-01,1135.79,10114.0,10114.0
2019-06-01,1100.703,9802.0,9802.0
2019-07-01,1223.665,10897.0,10897.0
2019-08-01,1089.689,9704.0,9704.0
2019-09-01,993.715,8849.0,8849.0
2019-10-01,787.944,7017.0,7017.0
2019-11-01,678.574,6043.0,6043.0
2019-12-01,601.914,5360.0,5360.0
2020-01-01,604.408,5299.0,5299.0
2020-02-01,621.149,5446.0,5446.0
2020-03-01,794.511,6965.0,6965.0
2020-04-01,1079.154,9461.0,9461.0
2020-05-01,1080.012,9468.0,9468.0
2020-06-01,1050.717,9212.0,9212.0
2020-07-01,1175.307,10304.0,10304.0
2020-08-01,943.723,8274.0,8274.0
2020-09-01,799.256,7007.0,7007.0
2020-10-01,810.306,7104.0,7104.0
2020-11-01,677.71,5941.0,5941.0
2020-12-01,572.747,5021.0,5021.0
2021-01-01,544.571,4816.0,4816.0
2021-02-01,531.975,4705.0,4705.0
2021-03-01,872.697,7718.0,7718.0
2021-04-01,1172.666,10371.0,10371.0
2021-05-01,1181.758,10451.0,10451.0
2021-06-01,1088.64,9628.0,9628.0
2021-07-01,1176.283,10403.0,10403.0
2021-08-01,1072.091,9482.0,9482.0
2021-09-01,1002.87,8869.0,8869.0
2021-10-01,823.416,7282.0,7282.0
2021-11-01,774.344,6848.0,6848.0
2021-12-01,565.689,5003.0,5003.0
2022-01-01,544.98,1859.0,1859.0
2022-02-01,608.111,2075.0,2075.0
2022-03-01,792.928,2705.0,2705.0
2022-04-01,1029.262,3512.0,3512.0
2022-05-01,975.617,3329.0,3329.0
2022-06-01,1031.049,3518.0,3518.0
2022-07-01,917.946,3132.0,3132.0
2022-08-01,892.944,3047.0,3047.0
2022-09-01,836.003,2852.0,2852.0
2022-10-01,700.949,2392.0,2392.0
2022-11-01,547.393,1868.0,1868.0
2022-12-01,428.818,1463.0,1463.0
2023-01-01,559.0,1907.0,1907.0
2023-02-01,610.0,2081.0,2081.0
2023-03-01,975.0,3327.0,3327.0
2023-04-01,1072.0,3658.0,3658.0
2023-05-01,1127.0,3845.0,3845.0
2023-06-01,1150.0,3924.0,3924.0
2023-07-01,1112.0,3794.0,3794.0
2023-08-01,1054.0,3596.0,3596.0
2023-09-01,832.0,2839.0,2839.0
2023-10-01,881.0,3006.0,3006.0
2023-11-01,267.0,911.0,911.0
2023-12-01,496.0,1692.0,1692.0
2024-01-01,576.0,1965.0,1965.0
2024-02-01,733.0,2501.0,2501.0
2024-03-01,959.0,3272.0,3272.0
2024-04-01,1061.0,3620.0,3620.0
2024-05-01,1117.0,3811.0,3811.0
2024-06-01,1137.0,3879.0,3879.0
2024-07-01,400.0,1365.0,1365.0
2024-08-01,586.0,1999.0,1999.0
2024-09-01,485.0,1655.0,1655.0
2024-10-01,486.0,1658.0,1658.0
2024-11-01,431.0,1471.0,1471.0
2024-12-01,348.0,1187.0,1187.0
