measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2001-01-01,12545.0,129627.49,129627.49,,,
2001-02-01,11167.0,115388.61,115388.61,,,
2001-03-01,11545.0,119294.49,119294.49,,,
2001-04-01,10767.0,111255.41,111255.41,,,
2001-05-01,9846.0,101738.72,101738.72,,,
2001-06-01,9126.0,94298.96,94298.96,,,
2001-07-01,8895.0,91912.04,91912.04,,,
2001-08-01,8638.0,89256.45,89256.45,,,
2001-09-01,9266.0,95745.58,95745.58,,,
2001-10-01,10557.0,109085.48,109085.48,,,
2001-11-01,11496.0,118788.17,118788.17,,,
2001-12-01,12360.0,127715.88,127715.88,,,
2002-01-01,12320.0,125331.36,125331.36,,,
2002-02-01,10909.0,110977.26,110977.26,,,
2002-03-01,11462.0,116602.93,116602.93,,,
2002-04-01,10721.0,109064.73,109064.73,,,
2002-05-01,10300.0,104781.9,104781.9,,,
2002-06-01,8721.0,88718.73,88718.73,,,
2002-07-01,7978.0,81160.19,81160.19,,,
2002-08-01,7429.0,75575.22,75575.22,,,
2002-09-01,8362.0,85066.63,85066.63,,,
2002-10-01,8808.0,89603.78,89603.78,,,
2002-11-01,9734.0,99023.98,99023.98,,,
2002-12-01,11358.0,115544.93,115544.93,,,
2003-01-01,10812.0,110725.69,110725.69,,,
2003-02-01,10893.0,111555.21,111555.21,,,
2003-03-01,11307.0,115794.99,115794.99,,,
2003-04-01,10968.0,112323.29,112323.29,,,
2003-05-01,10077.0,103198.56,103198.56,,,
2003-06-01,8401.0,86034.64,86034.64,,,
2003-07-01,7043.0,72127.36,72127.36,,,
2003-08-01,8463.0,86669.58,86669.58,,,
2003-09-01,8658.0,88666.58,88666.58,,,
2003-10-01,10125.0,103690.13,103690.13,,,
2003-11-01,11614.0,118938.97,118938.97,,,
2003-12-01,12093.0,123844.41,123844.41,,,
2004-01-01,10790.49,108142.29,108142.29,,,
2004-02-01,10185.211,102076.18,102076.18,,,
2004-03-01,10781.006,108047.24,108047.24,,,
2004-04-01,10089.108,101113.04,101113.04,,,
2004-05-01,9976.988000000001,99989.37,99989.37,,,
2004-06-01,9637.256000000001,96584.58,96584.58,,,
2004-07-01,10132.312,101546.03,101546.03,,,
2004-08-01,10109.129,101313.69,101313.69,,,
2004-09-01,10072.88,100950.4,100950.4,,,
2004-10-01,10154.23,101765.69,101765.69,,,
2004-11-01,9494.788,95156.77,95156.77,,,
2004-12-01,10698.602,107221.39,107221.39,,,
2005-01-01,9488.652,94877.03,94877.03,,,
2005-02-01,8011.961,80111.6,80111.6,,,
2005-03-01,9070.256000000001,90693.49,90693.49,,,
