measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2021-09-01,92.277,816.0,816.0
2021-10-01,68.194,603.0,603.0
2021-11-01,67.444,596.0,596.0
2021-12-01,36.085,319.0,319.0
2022-01-01,661.084,2256.0,2256.0
2022-02-01,435.054,1484.0,1484.0
2022-03-01,649.289,2215.0,2215.0
2022-04-01,793.302,2707.0,2707.0
2022-05-01,892.876,3046.0,3046.0
2022-06-01,898.088,3064.0,3064.0
2022-07-01,991.353,3382.0,3382.0
2022-08-01,874.497,2984.0,2984.0
2022-09-01,724.999,2474.0,2474.0
2022-10-01,574.677,1961.0,1961.0
2022-11-01,474.006,1617.0,1617.0
2022-12-01,307.775,1050.0,1050.0
2023-01-01,256.0,873.0,873.0
2023-02-01,495.0,1689.0,1689.0
2023-03-01,700.0,2388.0,2388.0
2023-04-01,792.0,2702.0,2702.0
2023-05-01,1047.0,3572.0,3572.0
2023-06-01,815.0,2781.0,2781.0
2023-07-01,907.0,3095.0,3095.0
2023-08-01,872.0,2975.0,2975.0
2023-09-01,683.0,2330.0,2330.0
2023-10-01,616.0,2102.0,2102.0
2023-11-01,552.0,1883.0,1883.0
2023-12-01,328.0,1119.0,1119.0
2024-01-01,156.0,532.0,532.0
2024-02-01,683.0,2330.0,2330.0
2024-03-01,638.0,2177.0,2177.0
2024-04-01,742.0,2532.0,2532.0
2024-05-01,901.0,3074.0,3074.0
2024-06-01,894.0,3050.0,3050.0
2024-07-01,951.0,3245.0,3245.0
2024-08-01,844.0,2880.0,2880.0
2024-09-01,819.0,2794.0,2794.0
2024-10-01,786.0,2682.0,2682.0
2024-11-01,541.0,1846.0,1846.0
2024-12-01,365.0,1245.0,1245.0
