measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2003-01-01,1090.788,11951.0,11951.0
2003-02-01,865.774,9486.0,9486.0
2003-03-01,984.748,10790.0,10790.0
2003-04-01,968.8570000000001,10615.0,10615.0
2003-05-01,1173.281,12855.0,12855.0
2003-06-01,1183.122,12963.0,12963.0
2003-07-01,1273.6280000000002,13955.0,13955.0
2003-08-01,1244.0330000000001,13631.0,13631.0
2003-09-01,1194.816,13091.0,13091.0
2003-10-01,1016.791,11141.0,11141.0
2003-11-01,978.34,10719.0,10719.0
2003-12-01,992.821,10878.0,10878.0
2004-01-01,1090.985,11879.19,11879.19
2004-02-01,1090.985,11879.19,11879.19
2004-03-01,1090.985,11879.19,11879.19
2004-04-01,1090.985,11879.19,11879.19
2004-05-01,1090.985,11879.19,11879.19
2004-06-01,1090.985,11879.19,11879.19
2004-07-01,1090.985,11879.19,11879.19
2004-08-01,1090.985,11879.19,11879.19
2004-09-01,1090.985,11879.19,11879.19
2004-10-01,1090.985,11879.19,11879.19
2004-11-01,1090.985,11879.19,11879.19
2004-12-01,1090.985,11879.19,11879.19
2005-01-01,1268.607,13343.1,13343.1
2005-02-01,1081.949,11379.85,11379.85
2005-03-01,1208.704,12713.04,12713.04
2005-04-01,1115.997,11737.97,11737.97
2005-05-01,1222.7540000000001,12860.82,12860.82
2005-06-01,1185.623,12470.28,12470.28
2005-07-01,1273.7820000000002,13397.53,13397.53
2005-08-01,1227.002,12905.5,12905.5
2005-09-01,1168.189,12286.91,12286.91
2005-10-01,1008.1370000000001,10603.5,10603.5
2005-11-01,1122.556,11806.95,11806.95
2005-12-01,1256.1390000000001,13211.97,13211.97
2006-01-01,1449.8790000000001,15885.84,18296.16
2006-02-01,1298.5240000000001,14227.48,16386.19
