measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,14087.0,242758.0,242758.0
2001-02-01,96.0,1489.0,1489.0,11930.0,207162.0,207162.0
2001-03-01,0.0,0.0,0.0,14291.0,247146.0,247146.0
2001-04-01,0.0,0.0,0.0,11761.0,227009.0,227009.0
2001-05-01,193.0,2983.0,2983.0,10335.0,179865.0,179865.0
2001-06-01,55.0,852.0,852.0,13058.0,230672.0,230672.0
2001-07-01,10.0,152.0,152.0,12888.0,231831.0,231831.0
2001-08-01,21.0,321.0,321.0,12941.0,234790.0,234790.0
2001-09-01,32.0,485.0,485.0,12552.0,222394.0,222394.0
2001-10-01,49.0,753.0,753.0,9143.0,158734.0,158734.0
2001-11-01,43.0,665.0,665.0,-92.0,0.0,0.0
2001-12-01,51.0,788.0,788.0,0.0,0.0,0.0
2002-01-01,118.0,1811.0,1811.0,8122.0,111340.0,111340.0
2002-02-01,41.0,637.0,637.0,11044.0,149056.0,149056.0
2002-03-01,159.0,2520.0,2520.0,8731.0,120204.0,120204.0
2002-04-01,57.0,897.0,897.0,12828.0,177001.0,177001.0
2002-05-01,18.0,282.0,282.0,13971.0,194400.0,194400.0
2002-06-01,17.0,270.0,270.0,11826.0,169658.0,169658.0
2002-07-01,3.0,42.0,42.0,12954.0,189846.0,189846.0
2002-08-01,12.0,183.0,183.0,13343.0,192991.0,192991.0
2002-09-01,66.0,1021.0,1021.0,13029.0,185765.0,185765.0
2002-10-01,0.0,0.0,0.0,13551.0,186041.0,186041.0
2002-11-01,93.0,1451.0,1451.0,12162.0,169727.0,169727.0
2002-12-01,77.0,1198.0,1198.0,13027.0,180079.0,180079.0
2003-01-01,77.0,1204.0,1204.0,12543.0,175106.0,175106.0
2003-02-01,0.0,0.0,0.0,12546.0,170768.0,170768.0
2003-03-01,56.0,867.0,867.0,13491.0,186912.0,186912.0
2003-04-01,33.0,519.0,519.0,13053.0,181456.0,181456.0
2003-05-01,73.0,1156.0,1156.0,8825.0,122987.0,122987.0
2003-06-01,17.0,260.0,260.0,13144.0,185792.0,185792.0
2003-07-01,33.0,519.0,519.0,11654.0,174701.0,174701.0
2003-08-01,10.0,148.0,148.0,12275.0,180640.0,180640.0
2003-09-01,13.0,207.0,207.0,13097.0,181728.0,181728.0
2003-10-01,50.0,773.0,773.0,13371.0,184133.0,184133.0
2003-11-01,2.0,24.0,24.0,13183.0,175056.0,175056.0
2003-12-01,155.0,2419.0,2419.0,11941.0,160736.0,160736.0
2004-01-01,136.233,2056.0,2056.0,13446.145,185539.0,185539.0
2004-02-01,101.34100000000001,1529.0,1529.0,12636.311,174364.0,174364.0
2004-03-01,123.56400000000001,1864.0,1864.0,12842.509,177210.0,177210.0
2004-04-01,150.445,2270.0,2270.0,11444.602,157920.0,157920.0
2004-05-01,123.034,1856.0,1856.0,9789.83,135087.0,135087.0
2004-06-01,99.73,1505.0,1505.0,12454.6,171857.0,171857.0
2004-07-01,138.537,2090.0,2090.0,12903.137,178046.0,178046.0
2004-08-01,74.119,1118.0,1118.0,13808.262,190536.0,190536.0
2004-09-01,43.36,654.0,654.0,13710.208,189183.0,189183.0
2004-10-01,152.70600000000002,2304.0,2304.0,12827.332,177000.0,177000.0
2004-11-01,82.281,1242.0,1242.0,13420.693,185188.0,185188.0
2004-12-01,92.649,1398.0,1398.0,13417.369,185142.0,185142.0
2005-01-01,152.99800000000002,2389.09,2389.09,12994.272,169215.23,169215.23
2005-02-01,52.565,820.81,820.81,11313.671,147329.96,147329.96
2005-03-01,58.262,909.77,909.77,11737.903,152854.43,152854.43
2005-04-01,70.572,1101.99,1101.99,10460.78,136223.36,136223.36
2005-05-01,65.543,1023.47,1023.47,11483.834,149545.86,149545.86
2005-06-01,85.069,1328.37,1328.37,12790.609,166563.08,166563.08
2005-07-01,86.589,1352.12,1352.12,13521.027,176074.8,176074.8
2005-08-01,101.72200000000001,1588.4,1588.4,13671.462,178033.8,178033.8
2005-09-01,66.58800000000001,1039.79,1039.79,12528.755000000001,163153.13,163153.13
2005-10-01,73.947,1154.7,1154.7,11831.063,154067.58,154067.58
2005-11-01,59.447,928.28,928.28,11534.738,150208.75,150208.75
2005-12-01,125.69900000000001,1962.82,1962.82,12881.886,167751.71,167751.71
2006-01-01,89.20100000000001,1373.0,1373.0,12894.613000000001,171261.0,171261.0
2006-02-01,46.676,718.0,718.0,12280.703,163107.0,163107.0
2006-03-01,39.208,603.0,603.0,12548.607,166666.0,166666.0
2006-04-01,75.105,1156.0,1156.0,10676.07,141795.0,141795.0
2006-05-01,70.20400000000001,1080.0,1080.0,11409.301,151534.0,151534.0
2006-06-01,63.811,982.0,982.0,12360.265,164164.0,164164.0
2006-07-01,92.432,1423.0,1423.0,14059.779,186736.0,186736.0
2006-08-01,89.658,1380.0,1380.0,14161.228,188084.0,188084.0
2006-09-01,41.19,634.0,634.0,11766.272,156275.0,156275.0
2006-10-01,43.51,670.0,670.0,12170.355,161642.0,161642.0
2006-11-01,51.235,789.0,789.0,12033.519,159824.0,159824.0
2006-12-01,56.769000000000005,874.0,874.0,13027.288,173023.0,173023.0
2007-01-01,0.0,0.0,0.0,13901.0,196012.0,196012.0
2007-02-01,224.46800000000002,3146.0,3146.0,11881.532,166532.0,166532.0
2007-03-01,29.085,404.0,404.0,12341.915,171579.0,171579.0
2007-04-01,12.491000000000001,172.0,172.0,13644.509,187573.0,187573.0
2007-05-01,100.45400000000001,1440.0,1440.0,11162.546,160030.0,160030.0
2007-06-01,37.876000000000005,576.0,576.0,12381.124,188304.0,188304.0
2007-07-01,89.022,1346.0,1346.0,8521.978000000001,128848.0,128848.0
2007-08-01,35.319,521.0,521.0,12866.681,189677.0,189677.0
2007-09-01,28.821,427.0,427.0,13044.179,193034.0,193034.0
2007-10-01,15.193000000000001,199.0,199.0,13731.807,180224.0,180224.0
2007-11-01,1.8860000000000001,28.0,28.0,12958.114,190276.0,190276.0
2007-12-01,142.833,2105.0,2105.0,11637.167,171488.0,171488.0
2008-01-01,37.423,578.0,578.0,11760.577,181487.0,181487.0
2008-02-01,142.55100000000002,2206.0,2206.0,10637.449,164580.0,164580.0
2008-03-01,27.562,413.0,413.0,12653.438,189372.0,189372.0
2008-04-01,83.583,1166.0,1166.0,6711.417,93626.0,93626.0
2008-05-01,143.57,2002.0,2002.0,10283.43,143396.0,143396.0
2008-06-01,55.991,721.0,721.0,10351.009,133198.0,133198.0
2008-07-01,46.868,644.0,644.0,11613.132,159448.0,159448.0
2008-08-01,35.055,484.0,484.0,10528.945,145374.0,145374.0
2008-09-01,89.51,1073.0,1073.0,12768.49,152991.0,152991.0
2008-10-01,1.862,22.0,22.0,14172.137999999999,167433.0,167433.0
2008-11-01,13.806000000000001,182.0,182.0,13819.194,181677.0,181677.0
2008-12-01,32.65,435.0,435.0,13827.35,184011.0,184011.0
2009-01-01,19.43,264.0,264.0,13471.57,183044.0,183044.0
2009-02-01,8.528,110.0,110.0,12595.472,162462.0,162462.0
2009-03-01,76.745,930.0,930.0,13618.255000000001,164939.0,164939.0
2009-04-01,34.805,402.0,402.0,13460.195,155271.0,155271.0
2009-05-01,5.837000000000001,88.0,88.0,157.163,2369.0,2369.0
2009-06-01,214.604,2904.0,2904.0,6800.396000000001,92022.0,92022.0
2009-07-01,3.567,50.0,50.0,13979.433,194018.0,194018.0
2009-08-01,75.77600000000001,1106.0,1106.0,12431.224,181360.0,181360.0
2009-09-01,116.02600000000001,1733.0,1733.0,11210.974,167402.0,167402.0
2009-10-01,26.323,374.0,374.0,14263.677,202659.0,202659.0
2009-11-01,35.409,495.0,495.0,12654.591,176904.0,176904.0
2009-12-01,20.391000000000002,319.0,319.0,14024.609,219401.0,219401.0
2010-01-01,84.08800000000001,1247.0,1247.0,13375.912,198281.0,198281.0
2010-02-01,123.58200000000001,1922.0,1922.0,11509.418,179035.0,179035.0
2010-03-01,53.732,803.0,803.0,13046.268,195042.0,195042.0
2010-04-01,20.815,288.0,288.0,13795.185000000001,190929.0,190929.0
2010-05-01,371.887,5368.0,5368.0,8622.113000000001,124462.0,124462.0
2010-06-01,30.147000000000002,416.0,416.0,13212.853,182106.0,182106.0
2010-07-01,38.814,576.0,576.0,12857.186,190853.0,190853.0
2010-08-01,20.228,305.0,305.0,13366.772,201347.0,201347.0
2010-09-01,11.082,161.0,161.0,12995.918,188409.0,188409.0
2010-10-01,10.432,144.0,144.0,13562.568,187263.0,187263.0
2010-11-01,6.559,94.0,94.0,13144.441,188743.0,188743.0
2010-12-01,50.024,737.0,737.0,12581.976,185323.0,185323.0
2011-01-01,20.863,321.0,321.0,13234.137,203789.0,203789.0
2011-02-01,105.446,1623.0,1623.0,9794.554,150749.0,150749.0
2011-03-01,1.532,22.0,22.0,13615.468,196965.0,196965.0
2011-04-01,10.254,144.0,144.0,13191.746,185277.0,185277.0
2011-05-01,321.386,4830.0,4830.0,6989.614,105045.0,105045.0
2011-06-01,28.581,410.0,410.0,12142.419,174138.0,174138.0
2011-07-01,26.445,382.0,382.0,11404.555,164819.0,164819.0
2011-08-01,72.627,1041.0,1041.0,12799.373,183518.0,183518.0
2011-09-01,15.034,222.0,222.0,12616.966,185934.0,185934.0
2011-10-01,155.057,2260.0,2260.0,11695.943,170465.0,170465.0
2011-11-01,36.871,515.0,515.0,12336.129,172348.0,172348.0
2011-12-01,21.645,294.0,294.0,13621.355,184743.0,184743.0
2012-01-01,12.701,183.0,183.0,13662.299,196652.0,196652.0
2012-02-01,11.502,177.0,177.0,12559.498,193581.0,193581.0
2012-03-01,15.55,222.0,222.0,13445.45,191612.0,191612.0
2012-04-01,48.289,693.0,693.0,11633.711,166835.0,166835.0
2012-05-01,15.881,222.0,222.0,13620.119,190053.0,190053.0
2012-06-01,11.832,166.0,166.0,12576.168,176654.0,176654.0
2012-07-01,38.068,543.0,543.0,11697.932,166835.0,166835.0
2012-08-01,35.126,493.0,493.0,11097.874,155778.0,155778.0
2012-09-01,13.288,183.0,183.0,13004.712,178928.0,178928.0
2012-10-01,22.108,294.0,294.0,12984.892,172452.0,172452.0
2012-11-01,21.263,299.0,299.0,13323.737,187461.0,187461.0
2012-12-01,18.241,266.0,266.0,13745.759,200385.0,200385.0
2013-01-01,64.359,941.0,941.0,11526.641,168442.0,168442.0
2013-02-01,33.806,490.0,490.0,10934.194,158323.0,158323.0
2013-03-01,58.452,913.0,913.0,11505.548,179711.0,179711.0
2013-04-01,84.255,1216.0,1216.0,10012.745,144448.0,144448.0
2013-05-01,21.218,303.0,303.0,13345.782,190268.0,190268.0
2013-06-01,220.113,3229.0,3229.0,9273.887,136025.0,136025.0
2013-07-01,29.843,446.0,446.0,12701.157,189608.0,189608.0
2013-08-01,59.299,880.0,880.0,12238.701,181624.0,181624.0
2013-09-01,49.654,737.0,737.0,11018.346,163542.0,163542.0
2013-10-01,47.186,660.0,660.0,12602.814,176278.0,176278.0
2013-11-01,26.335,385.0,385.0,12914.665,188802.0,188802.0
2013-12-01,192.518,3036.0,3036.0,8998.482,141906.0,141906.0
2014-01-01,136.472,2409.0,2409.0,8885.528,156847.0,156847.0
2014-02-01,97.39,1612.0,1612.0,10511.61,173934.0,173934.0
2014-03-01,222.697,3047.0,3047.0,5576.303,76296.0,76296.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0
