measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2019-03-01,-0.31,0.0,0.0
2019-04-01,-0.296,0.0,0.0
2019-05-01,-0.265,0.0,0.0
2019-06-01,-0.267,0.0,0.0
2019-07-01,-0.29,0.0,0.0
2019-08-01,-0.322,0.0,0.0
2019-09-01,-0.311,0.0,0.0
2019-10-01,-0.309,0.0,0.0
2019-11-01,-0.307,0.0,0.0
2019-12-01,-0.323,0.0,0.0
2020-01-01,-0.451,0.0,0.0
2020-02-01,-0.384,0.0,0.0
2020-03-01,-0.426,0.0,0.0
2020-04-01,-0.417,0.0,0.0
2020-05-01,-0.43,0.0,0.0
2020-06-01,-0.316,0.0,0.0
2020-07-01,-0.413,0.0,0.0
2020-08-01,-0.433,0.0,0.0
2020-09-01,-0.427,0.0,0.0
2020-10-01,-0.44,0.0,0.0
2020-11-01,-0.43,0.0,0.0
2020-12-01,-0.433,0.0,0.0
2021-01-01,-12.031,0.0,0.0
2021-02-01,-11.059,0.0,0.0
2021-03-01,-12.071,0.0,0.0
2021-04-01,-10.513,0.0,0.0
2021-05-01,-11.89,0.0,0.0
2021-06-01,-11.545,0.0,0.0
2021-07-01,-12.183,0.0,0.0
2021-08-01,-11.661,0.0,0.0
2021-09-01,-11.526,0.0,0.0
2021-10-01,-12.292,0.0,0.0
2021-11-01,-11.37,0.0,0.0
2021-12-01,-12.859,0.0,0.0
2022-01-01,-11.267,0.0,0.0
2022-02-01,-9.351,0.0,0.0
2022-03-01,-9.671,0.0,0.0
2022-04-01,-11.576,0.0,0.0
2022-05-01,-11.578,0.0,0.0
2022-06-01,-11.764,0.0,0.0
2022-07-01,-11.267,0.0,0.0
2022-08-01,-11.039,0.0,0.0
2022-09-01,-11.251,0.0,0.0
2022-10-01,-11.605,0.0,0.0
2022-11-01,-11.192,0.0,0.0
2022-12-01,-11.439,0.0,0.0
2023-01-01,-9.0,0.0,0.0
2023-02-01,-4.0,0.0,0.0
2023-03-01,-2.0,0.0,0.0
2023-04-01,-1.0,0.0,0.0
2023-05-01,-1.0,0.0,0.0
2023-06-01,-5.0,0.0,0.0
2023-07-01,-5.0,0.0,0.0
2023-08-01,-4.0,0.0,0.0
2023-09-01,-5.0,0.0,0.0
2023-10-01,-4.0,0.0,0.0
2023-11-01,-5.0,0.0,0.0
2023-12-01,-6.0,0.0,0.0
2024-01-01,-3.0,0.0,0.0
2024-02-01,-3.0,0.0,0.0
2024-03-01,-3.0,0.0,0.0
2024-04-01,-8.0,0.0,0.0
2024-05-01,-8.0,0.0,0.0
2024-06-01,-9.0,0.0,0.0
2024-07-01,-2.0,0.0,0.0
2024-08-01,-6.0,0.0,0.0
2024-09-01,-9.0,0.0,0.0
2024-10-01,-2.0,0.0,0.0
2024-11-01,-5.0,0.0,0.0
2024-12-01,0.0,0.0,0.0
