measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2001-01-01,3059.0,29655.0,29655.0,,,
2001-02-01,2935.0,28558.0,28558.0,,,
2001-03-01,3481.0,33683.0,33683.0,,,
2001-04-01,2905.0,28091.0,28091.0,,,
2001-05-01,3363.0,32224.0,32224.0,,,
2001-06-01,3173.0,30700.0,30700.0,,,
2001-07-01,3516.0,34092.0,34092.0,,,
2001-08-01,3502.0,34069.0,34069.0,,,
2001-09-01,3430.0,33683.0,33683.0,,,
2001-10-01,3303.0,32358.0,32358.0,,,
2001-11-01,3239.0,31202.0,31202.0,,,
2001-12-01,3184.0,30858.0,30858.0,,,
2002-01-01,6240.0,59810.0,59810.0,,,
2002-02-01,5526.0,53650.0,53650.0,,,
2002-03-01,6416.0,60970.0,60970.0,,,
2002-04-01,6014.0,57316.0,57316.0,,,
2002-05-01,6488.0,61712.0,61712.0,,,
2002-06-01,6602.0,61628.0,61628.0,,,
2002-07-01,6584.0,62906.0,62906.0,,,
2002-08-01,6898.0,64798.0,64798.0,,,
2002-09-01,6874.0,66096.0,66096.0,,,
2002-10-01,6626.0,63940.0,63940.0,,,
2002-11-01,6192.0,59634.0,59634.0,,,
2002-12-01,6560.0,63580.0,63580.0,,,
2003-01-01,1583.5,15031.0,15031.0,,,
2003-02-01,1441.0,13972.5,13972.5,,,
2003-03-01,1628.5,15776.0,15776.0,,,
2003-04-01,1585.0,14959.5,14959.5,,,
2003-05-01,1736.0,16421.5,16421.5,,,
2003-06-01,1653.5,15996.5,15996.5,,,
2003-07-01,1748.5,17029.0,17029.0,,,
2003-08-01,1759.0,16701.0,16701.0,,,
2003-09-01,1688.5,16431.5,16431.5,,,
2003-10-01,1753.5,16838.0,16838.0,,,
2003-11-01,1623.5,16040.0,16040.0,,,
2003-12-01,1623.0,15461.0,15461.0,,,
2004-01-01,1664.296,16480.0,16480.0,,,
2004-02-01,1630.318,16141.5,16141.5,,,
2004-03-01,1520.507,15054.0,15054.0,,,
2004-04-01,1380.0655000000002,13663.5,13663.5,,,
2004-05-01,1597.2745000000002,15819.0,15819.0,,,
2004-06-01,1820.7315,18031.5,18031.5,,,
2004-07-01,1902.2945,18839.0,18839.0,,,
2004-08-01,1803.9080000000001,17865.0,17865.0,,,
2004-09-01,1774.02,17572.5,17572.5,,,
2004-10-01,1758.2820000000002,17409.5,17409.5,,,
2004-11-01,1007.686,9978.5,9978.5,,,
2004-12-01,1585.6154999999999,15697.5,15697.5,,,
2005-01-01,1923.7255,18990.14,18990.14,,,
2005-02-01,976.3415,9638.0,9638.0,,,
2005-03-01,1181.6495,11664.705,11664.705,,,
2005-04-01,1231.3025,12154.865,12154.865,,,
2005-05-01,1450.8790000000001,14322.42,14322.42,,,
2005-06-01,1313.6105,12967.365000000002,12967.365000000002,,,
2005-07-01,2103.438,20764.184999999998,20764.184999999998,,,
2005-08-01,2327.7635,22978.625,22978.625,,,
2005-09-01,2311.6095,22819.16,22819.16,,,
2005-10-01,1379.3315000000002,13616.13,13616.13,,,
