measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2003-01-01,,,,,,,185.994,1726.0,1726.0,3533.712,71328.0,71328.0,,,
2003-02-01,,,,,,,174.121,1616.0,1616.0,3308.128,66774.0,66774.0,,,
2003-03-01,,,,,,,168.215,1561.0,1561.0,3195.936,64510.0,64510.0,,,
2003-04-01,,,,,,,161.065,1495.0,1495.0,3060.092,61768.0,61768.0,,,
2003-05-01,,,,,,,163.41,1517.0,1517.0,3104.645,62667.0,62667.0,,,
2003-06-01,,,,,,,170.52100000000002,1583.0,1583.0,3239.748,65394.0,65394.0,,,
2003-07-01,,,,,,,196.643,1825.0,1825.0,3736.038,75412.0,75412.0,,,
2003-08-01,,,,,,,199.371,1850.0,1850.0,3787.869,76458.0,76458.0,,,
2003-09-01,,,,,,,172.76,1603.0,1603.0,3282.273,66252.0,66252.0,,,
2003-10-01,,,,,,,179.13400000000001,1663.0,1663.0,3403.3740000000003,68697.0,68697.0,,,
2003-11-01,,,,,,,183.86,1706.0,1706.0,3493.16,70509.0,70509.0,,,
2003-12-01,,,,,,,191.906,1781.0,1781.0,3646.027,73595.0,73595.0,,,
2004-01-01,,,,0.0,0.0,0.0,55.348000000000006,1110.0,1110.0,4112.59,81531.0,81531.0,,,
2004-02-01,,,,0.0,0.0,0.0,50.25,1008.0,1008.0,3429.701,67993.0,67993.0,,,
2004-03-01,,,,0.0,0.0,0.0,51.929,1041.0,1041.0,3113.3520000000003,61721.0,61721.0,,,
2004-04-01,,,,0.0,0.0,0.0,49.466,992.0,992.0,2881.237,57120.0,57120.0,,,
2004-05-01,,,,0.0,0.0,0.0,54.805,1099.0,1099.0,3047.763,60421.0,60421.0,,,
2004-06-01,,,,0.0,0.0,0.0,50.749,1018.0,1018.0,3418.326,67767.0,67767.0,,,
2004-07-01,,,,0.0,0.0,0.0,40.39,810.0,810.0,3701.7940000000003,73387.0,73387.0,,,
2004-08-01,,,,0.0,0.0,0.0,36.859,739.0,739.0,3701.0460000000003,73372.0,73372.0,,,
2004-09-01,,,,0.0,0.0,0.0,43.813,879.0,879.0,3696.0040000000004,73272.0,73272.0,,,
