measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed
2019-01-01,741.393,4848.0,4848.0
2019-02-01,708.713,4635.0,4635.0
2019-03-01,659.776,4314.0,4314.0
2019-04-01,580.553,3796.0,3796.0
2019-05-01,562.806,3680.0,3680.0
2019-06-01,749.75,4903.0,4903.0
2019-07-01,1275.937,8343.0,8343.0
2019-08-01,1115.434,7294.0,7294.0
2019-09-01,796.859,5210.0,5210.0
2019-10-01,671.907,4394.0,4394.0
2019-11-01,709.444,4639.0,4639.0
2019-12-01,791.428,5175.0,5175.0
2020-01-01,736.676,5121.0,5121.0
2020-02-01,692.146,4813.0,4813.0
2020-03-01,677.581,4712.0,4712.0
2020-04-01,483.491,3362.0,3362.0
2020-05-01,564.956,3929.0,3929.0
2020-06-01,898.708,6249.0,6249.0
2020-07-01,1294.051,8999.0,8999.0
2020-08-01,1152.645,8016.0,8016.0
2020-09-01,904.462,6290.0,6290.0
2020-10-01,677.352,4710.0,4710.0
2020-11-01,698.248,4856.0,4856.0
2020-12-01,711.684,4949.0,4949.0
2021-01-01,669.112,4974.0,4974.0
2021-02-01,562.34,4180.0,4180.0
2021-03-01,554.433,4121.0,4121.0
2021-04-01,471.556,3505.0,3505.0
2021-05-01,596.372,4432.0,4432.0
2021-06-01,847.476,6298.0,6298.0
2021-07-01,942.918,7008.0,7008.0
2021-08-01,1025.94,7625.0,7625.0
2021-09-01,697.739,5186.0,5186.0
2021-10-01,690.34,5130.0,5130.0
2021-11-01,695.564,5170.0,5170.0
2021-12-01,689.21,5122.0,5122.0
2022-01-01,432.489,3264.0,3264.0
2022-02-01,397.503,2999.0,2999.0
2022-03-01,435.355,3286.0,3286.0
2022-04-01,476.671,3597.0,3597.0
2022-05-01,558.947,4218.0,4218.0
2022-06-01,585.645,4420.0,4420.0
2022-07-01,790.492,5966.0,5966.0
2022-08-01,787.413,5942.0,5942.0
2022-09-01,534.2,4031.0,4031.0
2022-10-01,502.234,3790.0,3790.0
2022-11-01,464.367,3504.0,3504.0
2022-12-01,495.684,3741.0,3741.0
2023-01-01,596.263,4323.0,4323.0
2023-02-01,537.508,3895.0,3895.0
2023-03-01,521.632,3781.0,3781.0
2023-04-01,460.87,3340.0,3340.0
2023-05-01,520.927,3776.0,3776.0
2023-06-01,692.976,5022.0,5022.0
2023-07-01,1008.217,7308.0,7308.0
2023-08-01,793.192,5749.0,5749.0
2023-09-01,715.554,5186.0,5186.0
2023-10-01,561.153,4067.0,4067.0
2023-11-01,673.788,4883.0,4883.0
2023-12-01,644.92,4674.0,4674.0
2024-01-01,701.0,5048.0,5048.0
2024-02-01,638.0,4614.0,4614.0
2024-03-01,701.0,5027.0,5027.0
2024-04-01,731.0,5132.0,5132.0
2024-05-01,728.0,5148.0,5148.0
2024-06-01,700.0,4953.0,4953.0
2024-07-01,708.0,5066.0,5066.0
2024-08-01,701.0,5029.0,5029.0
2024-09-01,717.0,5106.0,5106.0
2024-10-01,821.0,5782.0,5782.0
2024-11-01,798.0,5636.0,5636.0
2024-12-01,812.0,5833.0,5833.0
