measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,19.0,196.0,241.0,285.0,2975.0,3651.0,64237.0,669650.0,821777.0
2003-02-01,,,,7.0,66.0,82.0,204.0,1888.0,2340.0,56070.0,518569.0,642849.0
2003-03-01,,,,0.0,0.0,0.0,277.0,2404.0,3234.0,40083.0,348186.0,468367.0
2003-04-01,,,,0.0,0.0,0.0,1571.0,16386.0,19317.0,53217.0,555067.0,654367.0
2003-05-01,,,,0.0,0.0,0.0,134.0,1446.0,1592.0,72136.0,780692.0,859655.0
2003-06-01,,,,26.0,277.0,294.0,1269.0,13702.0,14562.0,68080.0,735371.0,781498.0
2003-07-01,,,,64.34,728.0,753.0,368.755,4153.0,4298.0,64670.443,727963.0,753290.0
2003-08-01,,,,83.546,974.0,1023.0,924.769,10727.0,11264.0,64678.126000000004,750153.0,787775.0
2003-09-01,,,,24.0,259.0,270.0,317.0,3482.0,3639.0,45715.082,523319.0,546946.0
2003-10-01,,,,14.0,151.0,165.0,131.0,1378.0,1508.0,69397.04,763071.0,834756.0
2003-11-01,,,,5.0,47.0,53.0,104.0,1087.0,1219.0,69280.844,753570.0,845399.0
2003-12-01,,,,9.0,93.0,106.0,242.0,2460.0,2789.0,71545.231,756990.0,858345.0
2004-01-01,0.0,0.0,0.0,602.51738,5569.22,7180.99,326.16571,3014.83,3887.34,79171.55091,731802.48,943590.69
2004-02-01,0.0,0.0,0.0,687.19585,6351.92,8190.22,296.12251,2737.13,3529.28,66025.16165,610287.11,786908.74
2004-03-01,0.0,0.0,0.0,409.16948,3782.06,4876.62,306.01957,2828.62,3647.24,59935.02295,553994.44,714325.85
2004-04-01,0.0,0.0,0.0,1085.89048,10037.16,12942.02,291.50634,2694.47,3474.27,55466.56818,512691.39,661069.67
2004-05-01,0.0,0.0,0.0,628.13729,5806.03,7486.36,322.96621,2985.26,3849.23,58672.2995,542322.76,699277.12
2004-06-01,0.0,0.0,0.0,1729.46477,15985.88,20612.31,299.06473,2764.33,3564.35,65806.16249,608262.84,784298.91
