measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed
2009-01-01,930.142,9528.0,9528.0
2009-02-01,842.269,8629.0,8629.0
2009-03-01,867.432,8886.0,8886.0
2009-04-01,1028.862,10540.0,10540.0
2009-05-01,628.562,6439.0,6439.0
2009-06-01,732.9540000000001,7508.0,7508.0
2009-07-01,841.76,8623.0,8623.0
2009-08-01,894.296,9161.0,9161.0
2009-09-01,754.288,7727.0,7727.0
2009-10-01,807.606,8273.0,8273.0
2009-11-01,943.417,9664.0,9664.0
2009-12-01,1027.412,10525.0,10525.0
2010-01-01,970.964,9844.0,9844.0
2010-02-01,712.514,7223.0,7223.0
2010-03-01,1198.944,12154.0,12154.0
2010-04-01,1060.012,10746.0,10746.0
2010-05-01,743.6610000000001,7539.0,7539.0
2010-06-01,762.6740000000001,7732.0,7732.0
2010-07-01,879.015,8911.0,8911.0
2010-08-01,813.592,8248.0,8248.0
2010-09-01,771.0880000000001,7817.0,7817.0
2010-10-01,1114.559,11299.0,11299.0
2010-11-01,1109.596,11249.0,11249.0
2010-12-01,1335.381,13538.0,13538.0
2011-01-01,1062.375,11197.0,11197.0
2011-02-01,1169.457,12325.0,12325.0
2011-03-01,1119.515,11799.0,11799.0
2011-04-01,504.283,5315.0,5315.0
2011-05-01,822.018,8663.0,8663.0
2011-06-01,785.56,8279.0,8279.0
2011-07-01,714.421,7529.0,7529.0
2011-08-01,822.418,8668.0,8668.0
2011-09-01,786.927,8293.0,8293.0
2011-10-01,959.753,10115.0,10115.0
2011-11-01,1224.503,12905.0,12905.0
2011-12-01,1128.77,11896.0,11896.0
2012-01-01,1462.71,15052.0,15052.0
2012-02-01,959.707,9876.0,9876.0
2012-03-01,1619.881,16670.0,16670.0
2012-04-01,1001.146,10303.0,10303.0
2012-05-01,899.002,9252.0,9252.0
2012-06-01,421.491,4337.0,4337.0
2012-07-01,878.163,9037.0,9037.0
2012-08-01,1011.145,10405.0,10405.0
2012-09-01,974.915,10033.0,10033.0
2012-10-01,1254.158,12907.0,12907.0
2012-11-01,1446.152,14882.0,14882.0
2012-12-01,1598.53,16450.0,16450.0
2013-01-01,1550.869,16096.0,16096.0
2013-02-01,1546.368,16049.0,16049.0
2013-03-01,1748.327,18145.0,18145.0
