measured_on,"Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2016-05-01,4885.49,45103.0,45103.0
2016-06-01,4236.672,39113.0,39113.0
2016-07-01,4492.54,41475.0,41475.0
2016-08-01,3998.202,36911.0,36911.0
2016-09-01,4359.357,40246.0,40246.0
2016-10-01,4545.334,41963.0,41963.0
2016-11-01,4783.204,44159.0,44159.0
2016-12-01,4807.201,44380.0,44380.0
2017-01-01,4107.967,37847.0,37847.0
2017-02-01,4315.517,39759.0,39759.0
2017-03-01,4722.028,43504.0,43504.0
2017-04-01,4513.501,41583.0,41583.0
2017-05-01,4134.228,38089.0,38089.0
2017-06-01,3918.476,36101.0,36101.0
2017-07-01,4366.575,40229.0,40229.0
2017-08-01,4583.401,42227.0,42227.0
2017-09-01,4339.24,39977.0,39977.0
2017-10-01,4969.898,45788.0,45788.0
2017-11-01,4548.158,41902.0,41902.0
2017-12-01,4398.011,40519.0,40519.0
2018-01-01,4823.514,43913.0,43913.0
2018-02-01,4312.601,39262.0,39262.0
2018-03-01,4667.357,42492.0,42492.0
2018-04-01,4483.084,40814.0,40814.0
2018-05-01,4206.168,38293.0,38293.0
2018-06-01,4271.545,38888.0,38888.0
2018-07-01,4518.97,41141.0,41141.0
2018-08-01,4439.497,40417.0,40417.0
2018-09-01,3894.593,35456.0,35456.0
2018-10-01,4450.571,40518.0,40518.0
2018-11-01,4303.27,39177.0,39177.0
2018-12-01,4732.83,43088.0,43088.0
2019-01-01,3884.5,34591.0,34591.0
2019-02-01,3459.523,30807.0,30807.0
2019-03-01,4853.337,43219.0,43219.0
2019-04-01,4264.677,37977.0,37977.0
2019-05-01,4012.539,35732.0,35732.0
2019-06-01,4043.792,36010.0,36010.0
2019-07-01,3520.172,31347.0,31347.0
2019-08-01,4397.84,39163.0,39163.0
2019-09-01,4113.125,36627.0,36627.0
2019-10-01,4290.068,38203.0,38203.0
2019-11-01,3784.227,33699.0,33699.0
2019-12-01,4241.2,37768.0,37768.0
2020-01-01,4800.907,42090.0,42090.0
2020-02-01,5212.235,45696.0,45696.0
2020-03-01,5071.235,44460.0,44460.0
2020-04-01,4743.6,41587.0,41587.0
2020-05-01,3459.99,30334.0,30334.0
2020-06-01,2965.208,25996.0,25996.0
2020-07-01,4097.832,35926.0,35926.0
2020-08-01,4143.442,36326.0,36326.0
2020-09-01,3804.427,33353.0,33353.0
2020-10-01,4906.981,43020.0,43020.0
2020-11-01,4541.521,39816.0,39816.0
2020-12-01,5457.622,47847.0,47847.0
2021-01-01,3075.124,27196.0,27196.0
2021-02-01,2758.227,24394.0,24394.0
2021-03-01,2900.266,25650.0,25650.0
2021-04-01,2158.225,19087.0,19087.0
2021-05-01,2390.161,21139.0,21139.0
2021-06-01,2541.005,22473.0,22473.0
2021-07-01,2934.012,25948.0,25948.0
2021-08-01,2774.502,24538.0,24538.0
2021-09-01,2298.352,20327.0,20327.0
2021-10-01,2107.992,18643.0,18643.0
2021-11-01,2956.689,26149.0,26149.0
2021-12-01,2820.445,24944.0,24944.0
2022-01-01,4131.99,14098.0,14098.0
2022-02-01,4092.418,13963.0,13963.0
2022-03-01,4844.761,16530.0,16530.0
2022-04-01,3842.201,13110.0,13110.0
2022-05-01,3394.368,11582.0,11582.0
2022-06-01,3874.07,13218.0,13218.0
2022-07-01,4335.446,14793.0,14793.0
2022-08-01,3856.174,13157.0,13157.0
2022-09-01,4142.821,14135.0,14135.0
2022-10-01,4267.511,14561.0,14561.0
2022-11-01,3729.177,12724.0,12724.0
2022-12-01,3773.063,12874.0,12874.0
2023-01-01,3671.92,12529.0,12529.0
2023-02-01,3473.613,11852.0,11852.0
2023-03-01,3648.813,12450.0,12450.0
2023-04-01,3340.077,11396.0,11396.0
2023-05-01,3569.758,12180.0,12180.0
2023-06-01,4201.939,14337.0,14337.0
2023-07-01,3970.519,13547.0,13547.0
2023-08-01,3758.269,12823.0,12823.0
2023-09-01,3907.24,13332.0,13332.0
2023-10-01,4113.176,14034.0,14034.0
2023-11-01,3940.167,13444.0,13444.0
2023-12-01,4165.509,14213.0,14213.0
2024-01-01,3182.44,10858.0,10858.0
2024-02-01,3079.78,10508.0,10508.0
2024-03-01,3454.28,11786.0,11786.0
2024-04-01,3116.182,10632.0,10632.0
2024-05-01,3390.674,11569.0,11569.0
2024-06-01,3383.022,11543.0,11543.0
2024-07-01,3295.103,11243.0,11243.0
2024-08-01,3366.424,11486.0,11486.0
2024-09-01,3017.979,10297.0,10297.0
2024-10-01,3182.903,10860.0,10860.0
2024-11-01,3383.417,11544.0,11544.0
2024-12-01,3108.796,10607.0,10607.0
